gene_symbol,AnCg_DLPFC_Female_directions,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p
TCEB1P23,--,0.4569746176737539,0.7602995588659791,0.3572323534344998,-1,0.7144647068689997
TCEB1P24,-+,0.13963189983242025,0.1573852920070827,0.8042235244665115,1,0.3147705840141654
TCEB1P26,++,0.9007670824456954,0.5301978982315096,0.6602256867256722,1,1.0603957964630193
TCEB1P28,++,0.5583498055832836,0.4048985175432216,0.7406660916221894,1,0.8097970350864432
TCEB1P29,++,0.07648252361833763,0.09043376519961899,0.8522623898938037,1,0.18086753039923797
TCEB1P3,++,0.20779585477328655,0.15328461656313444,0.9022424471562818,1,0.3065692331262689
TCEB1P30,-+,0.20779585477328655,0.21261223408675448,0.7907110628333054,1,0.42522446817350895
TCEB1P31,+-,0.11567745369596438,0.4659753961926724,0.19248889394492477,-1,0.38497778788984954
TCEB1P32,+-,0.06026782773355605,0.08381995141376461,0.8028400784010677,1,0.16763990282752922
TCEB1P33,+-,0.15519199608034479,0.6015314966361609,0.21817109282354677,-1,0.43634218564709354
TCEB1P34,++,0.9007670824456954,0.5301978982315096,0.6602256867256722,1,1.0603957964630193
TCEB1P35,++,0.9007670824456954,0.5301978982315096,0.6602256867256722,1,1.0603957964630193
TCEB1P4,++,0.9007670824456954,0.5301978982315096,0.6602256867256722,1,1.0603957964630193
TCEB1P5,++,0.9007670824456954,0.5301978982315096,0.6602256867256722,1,1.0603957964630193
TCEB1P6,++,0.9007670824456954,0.5301978982315096,0.6602256867256722,1,1.0603957964630193
TCEB1P7,++,0.9007670824456954,0.5301978982315096,0.6602256867256722,1,1.0603957964630193
TCEB1P8,++,0.9007670824456954,0.5301978982315096,0.6602256867256722,1,1.0603957964630193
TCEB1P9,++,0.9007670824456954,0.5301978982315096,0.6602256867256722,1,1.0603957964630193
TCEB2,--,0.013618523142300734,0.9444662670008994,0.015093761787369887,-1,0.030187523574739774
TCEB2P1,++,0.07456928074764325,0.05515769201001781,0.9530002772021444,1,0.11031538402003561
TCEB2P2,--,0.30692250418847983,0.9484316273525953,0.1252109365029963,-1,0.2504218730059926
TCEB2P3,++,0.1526584677690415,0.1532671855081341,0.8443167612941229,1,0.3065343710162682
TCEB2P4,+-,0.19878236846592265,0.5979286243889865,0.2606304459802133,-1,0.5212608919604266
TCEB3,-+,0.3036564029015719,0.3259046363645097,0.6612549780876414,1,0.6518092727290195
TCEB3B,--,0.234589067863664,0.8495762524497186,0.20060942885669902,-1,0.40121885771339805
TCEB3C,--,0.04392065057091552,0.998462613374822,0.006077520895401461,-1,0.012155041790802922
TCEB3CL,++,0.08754034435583678,0.06596272339939323,0.9459126357780543,1,0.13192544679878646
TCEB3CL2,++,0.10961283378432009,0.11581909949369634,0.8604257943458866,1,0.23163819898739268
TCERG1,++,0.23716408183908974,0.14214894699627073,0.9271996695684945,1,0.28429789399254146
TCERG1L,+-,0.006662033937553533,0.7806553173824646,0.014064589588197429,-1,0.028129179176394858
