gene_symbol,nAcc.F_nAcc.M,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p,meta_Up,meta_Down,empirical_meta_p
C1orf109,--,0.6752932678677461,0.768302193455086,0.40079663172806573,-1,0.8015932634561315,0.40244111104773855,0.35477983116586814,0.7095596623317363
CDCA8,-+,0.6957827498495311,0.5412266220863182,0.602450094677092,1,1.0824532441726364,0.5119210586356376,0.45040780242970396,0.9008156048594079
EPHA10,+-,0.2078771868105554,0.302519159991417,0.4055906972753233,1,0.605038319982834,0.30116358658453113,0.2734272514686591,0.5468545029373182
MANEAL,+-,0.21232810886870895,0.4245559493408119,0.3042267737804064,-1,0.6084535475608128,0.3030285746877317,0.27475473420031943,0.5495094684006389
YRDC,+-,0.23514858151551385,0.3323045586106795,0.38538263662539457,1,0.664609117221359,0.33601414556240017,0.29846575029943534,0.5969315005988707
MTF1,-+,0.9090733512493683,0.6142438228533154,0.5758840879539137,-1,1.1517681759078273,0.527006216848229,0.4648642482318047,0.9297284964636094
INPP5B,-+,0.19398860352192313,0.3833547524921022,0.291192621887341,-1,0.582385243774682,0.2889978896937204,0.2624914442162902,0.5249828884325805
SF3A3,+-,0.4946586713019633,0.4875738835019856,0.5327618861644965,1,0.9751477670039712,0.47610084417065934,0.4159014429932128,0.8318028859864256
FHL3,++,0.008148486492987207,0.011087294331930581,0.9235981690137038,1,0.022174588663861163,0.004791238877481177,0.002167341584440769,0.004334683168881538
UTP11,++,0.20096157856648858,0.1528174139453579,0.8985918463960999,1,0.3056348278907158,0.1361510381017568,0.12627616494610164,0.2525523298922033
POU3F1,++,0.639285375410642,0.3903280775518602,0.7744323492299272,1,0.7806561551037204,0.39368012776637007,0.3461472651571323,0.6922945303142646
RRAGC,+-,0.7547901389538814,0.5612133230596991,0.59762425964549315,1,1.1224266461193981,0.5213894592744696,0.4596475218160041,0.9192950436320082
MYCBP,--,0.31512615392173254,0.9437784786250901,0.1339121110967424,-1,0.2678242221934848,0.11646609251126447,0.10780287474332649,0.21560574948665298
GJA9,--,0.11890365066211145,0.9548208806659234,0.07488955517321477,-1,0.14977911034642954,0.057206410768265555,0.04671457905544148,0.09342915811088295
RHBDL2,-+,0.050565092447620655,0.5533710866903443,0.09655995391294188,-1,0.19311990782588376,0.07848057947869731,0.06793292265571527,0.13586584531143053
AKIRIN1,+-,0.4320824210730002,0.6202415483229825,0.41980379160206416,-1,0.8396075832041283,0.420692408600924,0.36778462240474563,0.7355692448094913
NDUFS5,++,0.03800424744761762,0.01979337735103158,0.9849755420177713,1,0.03958675470206316,0.009696554871092859,0.005589459875663036,0.011178919751326072
MACF1,+-,0.07599360371811525,0.5309633929014428,0.1347496832244233,-1,0.2694993664488466,0.11703644555980151,0.10871549167237052,0.21743098334474104
BMP8A,+-,0.6058777350871922,0.5028067060980547,0.6151272967061715,1,1.0056134121961093,0.48722336299338354,0.4262248331717333,0.8524496663434666
PABPC4,++,0.6753099460286471,0.37604541146813847,0.7890492311748651,1,0.7520908229362769,0.3788501026694045,0.3363371927222951,0.6726743854445902
HEYL,+-,0.7941557750323813,0.6526494518843133,0.5284900082000352,-1,1.0569800164000704,0.504249130211601,0.4431895961670089,0.8863791923340179
NT5C1A,-+,0.6594921882345823,0.5812127201385797,0.5410319861568231,-1,1.0820639723136463,0.5118348257571437,0.4503194159251654,0.9006388318503308
HPCAL4,+-,0.1310656884770496,0.42640092546677083,0.21543070912086315,-1,0.4308614182417263,0.20424342668111561,0.189596167008898,0.379192334017796
PPIE,-+,0.24724027905744053,0.24470726310046864,0.7758028197622877,1,0.4894145262009373,0.23876340406114532,0.21844521758968802,0.43689043517937604
