gene_symbol,sex,nAcc_Female_directions,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p
GOT2,female,+,0.5907167377287941,0.29535836886439704,0.704641631135603,1,0.5907167377287941
GOT2P1,female,+,0.8435630255686446,0.4217815127843223,0.5782184872156777,1,0.8435630255686446
GOT2P2,female,-,0.9034213605694065,0.5482893197152967,0.45171068028470324,-1,0.9034213605694065
GOT2P3,female,-,0.6343166314713973,0.6828416842643014,0.31715831573569864,-1,0.6343166314713973
GOT2P5,female,+,0.82134870380883,0.410674351904415,0.5893256480955851,1,0.82134870380883
GP1BA,female,+,0.02356941335069027,0.011784706675345135,0.9882152933246549,1,0.02356941335069027
GP1BB,female,-,0.09270272969296212,0.9536486351535189,0.04635136484648106,-1,0.09270272969296212
GP2,female,-,0.13310557469957057,0.9334472126502147,0.06655278734978529,-1,0.13310557469957057
GP5,female,+,0.5344178008590951,0.26720890042954754,0.7327910995704525,1,0.5344178008590951
GP6,female,-,0.8470376853504893,0.5764811573247554,0.42351884267524464,-1,0.8470376853504893
GP9,female,-,0.7931662260355996,0.6034168869822002,0.3965831130177998,-1,0.7931662260355996
GPA33,female,+,0.20755606321602926,0.10377803160801463,0.8962219683919854,1,0.20755606321602926
GPAA1,female,+,0.7407369118464843,0.37036845592324213,0.6296315440767579,1,0.7407369118464843
GPAA1P1,female,+,0.87476439250682,0.43738219625341,0.56261780374659,1,0.87476439250682
GPAA1P2,female,-,0.4899477556351848,0.7550261221824076,0.2449738778175924,-1,0.4899477556351848
GPALPP1,female,-,0.9670669066857548,0.5164665466571225,0.4835334533428774,-1,0.9670669066857548
GPAM,female,-,0.40817430102653884,0.7959128494867306,0.20408715051326942,-1,0.40817430102653884
GPANK1,female,-,0.847632808602285,0.5761835956988575,0.4238164043011425,-1,0.847632808602285
GPAT2,female,-,0.731532613557184,0.634233693221408,0.365766306778592,-1,0.731532613557184
GPAT3,female,+,0.4944176372897243,0.24720881864486216,0.7527911813551378,1,0.4944176372897243
GPAT4,female,+,0.5658189410516442,0.2829094705258221,0.7170905294741778,1,0.5658189410516442
GPATCH1,female,+,0.7296609370281042,0.3648304685140521,0.6351695314859479,1,0.7296609370281042
GPATCH11,female,+,0.6972118224863231,0.34860591124316154,0.6513940887568385,1,0.6972118224863231
GPATCH2,female,+,0.5276743483189732,0.2638371741594866,0.7361628258405134,1,0.5276743483189732
