gene_symbol,AnCg_nAcc_DLPFC_Male_directions,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p,meta_Up,meta_Down,empirical_meta_p
CDH13,+++,0.3080985485303565,0.1431309402578999,0.9661536183201164,1,0.2862618805157998,0.11943874058863792,0.11498317458506815,0.2299663491701363
CDH15,-+-,0.00855553464904957,0.043086493818814936,0.7178566100496929,1,0.08617298763762987,0.030914898471366643,0.024297039867678092,0.048594079735356184
CDH16,+++,0.46936636417540223,0.3922117732506083,0.833637800960312,1,0.7844235465012166,0.3662445813369838,0.35635658472594534,0.7127131694518907
CDH17,-++,0.383042744470956,0.5128065301079014,0.5651081739240507,1,1.025613060215803,0.4603011635865845,0.44481834255404096,0.8896366851080819
CDH18,+-+,0.41718756425114545,0.36549694202529603,0.7035635985010219,1,0.7309938840505921,0.3449121606205795,0.3322306507728284,0.6644613015456567
CDH19,---,0.33829096260078484,0.8708316344729132,0.2969831351013519,-1,0.5939662702027038,0.2794159584782981,0.26676933607118414,0.5335386721423683
CDH2,--+,0.05937570943567769,0.6639133583015591,0.16789155927787183,-1,0.33578311855574366,0.14555409798665375,0.13871777321469314,0.2774355464293863
CDH20,---,0.5833650013849079,0.8909076719748442,0.328378146687757,-1,0.656756293375514,0.31209718815947074,0.29745608031028975,0.5949121606205795
CDH22,++-,0.3423402165545899,0.3062847710021772,0.8003093502760147,1,0.6125695420043544,0.28850102669404515,0.2768493697598814,0.5536987395197628
CDH23,-++,0.4994206966801982,0.46090898155548776,0.7617435068279542,1,0.9218179631109755,0.4256787588409765,0.4128785718359665,0.825757143671933
CDH24,++-,0.46665690200093435,0.46525836688635863,0.7632029534515576,1,0.9305167337727173,0.42870180241843486,0.4158444076883591,0.8316888153767182
CDH26,-+-,0.010301064244982953,0.753005363885242,0.04023122094528285,-1,0.0804624418905657,0.028802828951120744,0.02213096052931782,0.04426192105863564
CDH3,-++,0.4443175323006415,0.5009631927047893,0.6096192756367302,1,1.0019263854095786,0.45220168834131874,0.4376889294473279,0.8753778588946558
CDH4,+--,0.6198490892242896,0.6858473974525068,0.5653565763342949,-1,1.1307131526685898,0.4862830091826841,0.47193702943189597,0.9438740588637919
CDH5,++-,0.2854359694848618,0.6401553499274572,0.4515296192350763,-1,0.9030592384701526,0.4184680317116295,0.40600045630846454,0.8120009126169291
CDH6,+++,0.3719482440789319,0.20428013276164766,0.9420078889155206,1,0.40856026552329533,0.18548939082819987,0.178121257058119,0.356242514116238
CDH7,+-+,0.4777804137269329,0.49656821026393805,0.6363560247169819,1,0.9931364205278761,0.44992014601870867,0.4354075172531797,0.8708150345063594
CDH8,+-+,0.19702356118936815,0.2611640342659447,0.5036951586669729,1,0.5223280685318894,0.24503764544832307,0.23150630240118633,0.46301260480237266
CDH9,+-+,0.035470745536150025,0.09304945696261743,0.43156145625452436,1,0.18609891392523487,0.07249600730093543,0.06770090686134718,0.13540181372269436
CDHR1,+-+,0.11860295053567856,0.18616192305694446,0.6079188737257347,1,0.3723238461138889,0.16461327857631758,0.1591285005418354,0.3182570010836708
CDHR2,-+-,0.7350051553290053,0.7279079045951,0.5558774629098864,-1,1.1117549258197728,0.48200536131865623,0.46771617613506733,0.9354323522701347
CDHR3,+-+,0.23666950702550318,0.16168251972812714,0.905653376856864,1,0.3233650394562543,0.1392311202372804,0.13312040152854618,0.26624080305709236
CDHR4,-++,0.35486445747743367,0.44273349657908634,0.5899513976861425,1,0.8854669931581727,0.40999315537303216,0.39822049848856444,0.7964409969771289
CDHR5,---,0.2533823700488475,0.9759517737391876,0.10386159908666891,-1,0.20772319817333781,0.08281526264757885,0.07745836185261236,0.15491672370522472
CDIP1,++-,0.053091849214658426,0.15272248389593918,0.5123337779515372,1,0.30544496779187835,0.1294775268081223,0.1244510351907831,0.2489020703815662
CDIPT,++-,0.09060885175320552,0.15075775449119488,0.7996734504919425,1,0.30151550898238977,0.1271959844855122,0.12216962299663492,0.24433924599326984
CDK1,+++,0.548318685203267,0.29172419794438753,0.9089883230974309,1,0.5834483958887751,0.27401323294547114,0.26207722580277193,0.5241544516055439
CDK10,-+-,0.3726306619170988,0.5256551239359256,0.5751484614245963,1,1.0513102478718512,0.46697467488021904,0.4517766497461929,0.9035532994923858
CDK11A,-+-,0.08204213351488768,0.2871615776438538,0.4029269688510085,1,0.5743231552877076,0.27030572667122976,0.25768550732903667,0.5153710146580733
CDK12,--+,0.17348947716954954,0.8858803394315489,0.139148694440768,-1,0.278297388881536,0.11629498659670336,0.1111111111111111,0.2222222222222222
CDK13,---,0.24497479154924331,0.9447342602094324,0.17283424984657034,-1,0.3456684996931407,0.15005988707009638,0.14362308920830483,0.28724617841660965
CDK14,+-+,0.16799354157042087,0.25286886039322787,0.6834249229985594,1,0.5057377207864557,0.23625370750627425,0.22403467746535105,0.4480693549307021
CDK15,+++,0.31055858697388766,0.21419423950559285,0.9324608266648056,1,0.4283884790111857,0.19541409993155373,0.1875891176638339,0.3751782353276678
CDK17,--+,0.023757251262010504,0.8119672543474832,0.07317503338797668,-1,0.14635006677595336,0.05566645753721554,0.0487109285877253,0.0974218571754506
CDK18,-+-,0.3160302679889004,0.7284253583023588,0.27093700961186873,-1,0.5418740192237375,0.25454856556208294,0.24121606205795118,0.48243212411590236
CDK19,---,0.8074767260782287,0.7657826843815935,0.5283038302224616,-1,1.0566076604449233,0.4686590999828894,0.45328542094455854,0.9065708418891171
CDK2,---,0.4825810017692497,0.8818933383903733,0.32590585953631923,-1,0.6518117190726385,0.3099298465750299,0.2951745379876797,0.5903490759753593
CDK20,+-+,0.13253925636440175,0.6225524374397456,0.3007080110233644,-1,0.6014160220467288,0.2834654651229111,0.27110426648414326,0.5422085329682865
CDK2AP1,++-,0.28421043810770064,0.2541476661814373,0.7215095669735524,1,0.5082953323628746,0.23756559434177504,0.22506131295271772,0.45012262590543545
CDK2AP2,-+-,0.3062377651755363,0.5020156706721639,0.48206985774505906,-1,0.9641397154901181,0.44088290651913536,0.42681953000228157,0.8536390600045631
CDK3,---,0.09078756475872586,0.9663591619814558,0.07877317391389241,-1,0.15754634782778482,0.061541093937147094,0.053958475929728494,0.10791695185945699
CDK4,-+-,0.407311666973761,0.5520286433004863,0.5692536917347701,1,1.1040572866009726,0.479865389002966,0.46523698169166716,0.9304739633833343
CDK5,++-,0.13721829097226187,0.24187066874583196,0.6930445783026062,1,0.4837413374916639,0.2255874971480721,0.21445274624992872,0.42890549249985743
CDK5R1,+-+,0.07172068591267493,0.17612330016424324,0.6568379082887141,1,0.3522466003284865,0.15428929956650697,0.14680887469343523,0.29361774938687046
CDK5R2,++-,0.5213726730195364,0.4964619493185907,0.6687863769739396,1,0.9929238986371814,0.44969199178644764,0.43535048194832604,0.8707009638966521
CDK5RAP1,+--,0.4673851556607719,0.8046031232543926,0.42049770059712743,-1,0.8409954011942549,0.3927451092226088,0.38078941364362306,0.7615788272872461
CDK5RAP2,-+-,0.04587686543792819,0.7815612092983736,0.04226260358101672,-1,0.08452520716203343,0.030342782182170763,0.02344284736481862,0.04688569472963724
CDK5RAP3,-+-,0.2135700336369237,0.4603298592638333,0.4672194438539685,1,0.9206597185276666,0.42510837326032397,0.4123082187874294,0.8246164375748588
CDK6,---,0.22949081566312352,0.961103354039245,0.10537319934012043,-1,0.21074639868024087,0.08418410996406776,0.07911248003650467,0.15822496007300935
CDK7,+-+,0.3633802525852373,0.4567731629030578,0.5886193377930031,1,0.9135463258061156,0.42259867670545287,0.4100268065932812,0.8200536131865624
