gene_symbol,AnCg.F_nAcc.F_DLPFC.F_AnCg.M_nAcc.M_DLPFC.M,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p,meta_Up,meta_Down,empirical_meta_p
SPOP,--++++,0.13420445747190832,0.9912354263853017,0.053426010060732027,-1,0.10685202012146405,0.07055267210403239,0.08025325119780972,0.14110534420806478
SLC35B1,+++++-,0.06418445440274405,0.3233876304099585,0.4568427994592569,1,0.646775260819917,0.3503308236367785,0.3144356356584726,0.6288712713169452
FAM117A,+++---,0.16821913470347347,0.09530818670997966,0.990577828718883,1,0.19061637341995932,0.12297513118868356,0.12353847031312383,0.2459502623773671
KAT7,++++-+,0.11490594588277159,0.1758763693711211,0.8344000933912832,1,0.3517527387422422,0.21241159023499886,0.1991672845491359,0.3983345690982718
TAC4,+-+---,0.1012210174720742,0.20667755640484026,0.7963754949800568,1,0.4133551128096805,0.24401095140314852,0.22500427764786401,0.45000855529572803
DLX4,++++-+,0.007343294087198905,0.01161601506938496,0.9061590032494529,1,0.02323203013876992,0.01403148528405202,0.02526664005019107,0.02806297056810404
DLX3,+-----,0.3696956748585159,0.6621582437201726,0.6916556998229728,1,1.3243164874403452,0.5200205338809035,0.47179604174984313,0.9435920834996863
ITGA3,+++++-,0.09288996145913,0.38767641936450864,0.41743687963104487,1,0.7753528387290173,0.3971594798083504,0.3566417612502139,0.7132835225004278
PDK2,++++--,0.04346588968740952,0.08030149674945472,0.6273827562683774,1,0.16060299349890944,0.10403832991101986,0.10762562025894028,0.2080766598220397
SAMD14,+--++-,0.04181233582513997,0.6791784993057093,0.1322534441571769,-1,0.2645068883143538,0.1668853020019392,0.16084873374401096,0.3216974674880219
PPP1R9B,++-++-,0.05858526878189586,0.44699682016085845,0.2926962524406757,-1,0.5853925048813514,0.3245308846175783,0.291181838923112,0.582363677846224
SGCA,----+-,0.06767816425371546,0.9290870457949341,0.05158210140328531,-1,0.10316420280657063,0.06889864826327496,0.07785763175906914,0.13779729652654993
COL1A1,---+++,0.2612828619802288,0.9945774821851991,0.09328438147817952,-1,0.18656876295635905,0.12051559915587749,0.12114989733059549,0.24103119831175498
TMEM92,+--+++,0.09595389996273102,0.9240664350192099,0.11181903381328287,-1,0.22363806762656574,0.1436719329264815,0.14071412274697695,0.2814282454939539
XYLT2,++-++-,0.44876565008958225,0.6329891941769675,0.7241193288569054,1,1.265978388353935,0.5150581793292266,0.4670621114469857,0.9341242228939713
MRPL27,---++-,0.05419735132178649,0.9174031412722279,0.04140781815779906,-1,0.08281563631559812,0.0538983630867507,0.06587953456536619,0.1077967261735014
EME1,-+-+-+,0.15245848125479616,0.636586987969278,0.4056407950902319,-1,0.8112815901804638,0.41190897165345347,0.3686402007757244,0.7372804015514488
LRRC59,++++--,0.17679237457911273,0.11048345516154415,0.8730521587725852,1,0.2209669103230883,0.14168377823408623,0.13939428506245366,0.2787885701249073
ACSF2,+++---,0.14467717837170943,0.07676027552957915,0.9942318750754153,1,0.1535205510591583,0.09936116814966918,0.10420350196771802,0.19872233629933836
CHAD,+++---,6.755943732043269e-4,5.720511128881158e-5,0.9997725983547,1,1.1441022257762316e-4,2.851927903262606e-4,8.555295728055666e-4,5.703855806525211e-4
RSAD1,+-+++-,0.08718492233172895,0.3228280038053756,0.5160229419282423,1,0.6456560076107511,0.3498174766141912,0.3136941766953744,0.6273883533907488
MYCBPAP,+---+-,0.19857749418419018,0.453964585677772,0.7034677284940227,1,0.907929171355544,0.4416495550992471,0.3974220042206126,0.7948440084412252
EPN3,+-+++-,0.0665949734908719,0.2703059839417318,0.19758858094563375,-1,0.3951771618912675,0.23430103233901786,0.2173739447866758,0.4347478895733516
SPATA20,+--++-,0.014543073409979587,0.9107653918294767,0.0044342112761869,-1,0.0088684225523738,0.007129413106713055,0.012833675564681724,0.01425882621342611
CACNA1G,++--+-,0.23953685375937822,0.7192526636645635,0.5958246311596702,-1,1.1916492623193404,0.5052187303941139,0.45870408396075746,0.9174081679215149
ABCC3,----+-,0.013026877333696315,0.7781893622549858,0.05287980968483758,-1,0.10575961936967516,0.06986824844578794,0.0795687885010267,0.13973649689157588
ANKRD40,----+-,0.1743452426792565,0.6128350710548385,0.5170282313676661,-1,1.0340564627353321,0.4761307249187247,0.42915811088295686,0.8583162217659137
LUC7L3,+---+-,0.10612105427694371,0.7929304735379922,0.21620325619111488,-1,0.43240651238222977,0.25483374208635146,0.23328770248688113,0.46657540497376226
WFIKKN2,-+-+--,0.0634285661061979,0.8503942043085726,0.10900781495344859,-1,0.21801562990689718,0.1400216734158444,0.1380333105179101,0.2760666210358202
TOB1,-++---,0.037138515974738384,0.01440597998999486,0.9698887056899943,1,0.02881195997998972,0.017681953000228155,0.028973934865681856,0.03536390600045631
SPAG9,--+--+,0.06149913877475626,0.39698993003152877,0.39934910957496955,1,0.7939798600630575,0.40525895505361625,0.36217418582102323,0.7243483716420465
NME1-NME2,++-++-,0.13422103426507365,0.7138186884162282,0.4047064714648898,-1,0.8094129429297796,0.4111104773855016,0.36784166096281085,0.7356833219256217
NME1,++-++-,0.07638737845770885,0.45555555451439217,0.13548641075526288,-1,0.27097282151052576,0.1707066674271374,0.16432808578599134,0.3286561715719827
NME2,++-++-,0.0029858957920056036,0.8860591260275714,0.004863721876280458,-1,0.009727443752560915,0.007585695545542691,0.013803331051791011,0.015171391091085382
MBTD1,--+--+,0.1000543039173077,0.3411567238871757,0.4550749198032413,1,0.6823134477743514,0.36533196440793975,0.32761079107967833,0.6552215821593567
UTP18,++-+--,0.13088039166898113,0.5259236339301971,0.5942734210418233,1,1.0518472678603943,0.479409080538444,0.43341128158330006,0.8668225631666001
CA10,++++--,0.04652180781434637,0.24621283449024584,0.5768595441938187,1,0.49242566898049167,0.2823979009810632,0.25591741287857184,0.5118348257571437
KIF2B,-----+,0.0302405337633612,0.558885722088603,0.0947568898575339,-1,0.1895137797150678,0.12234072891119603,0.1230321697467488,0.24468145782239206
TOM1L1,-++--+,0.11373039136114044,0.21054859664116765,0.9077124461359626,1,0.4210971932823353,0.24766141911932466,0.2285975018536474,0.4571950037072948
COX11,++++-+,0.08043102629842223,0.05006605059754786,0.8549666385499229,1,0.10013210119509572,0.06639288158795345,0.07602806136998802,0.1327857631759069
STXBP4,--+--+,0.17563593590801616,0.268189629037717,0.883336832854854,1,0.536379258075434,0.30315993611681497,0.27285689842012206,0.5457137968402441
HLF,++++-+,0.04357147779058752,0.20600818071043744,0.34079443139836724,1,0.4120163614208749,0.24326945014830026,0.22437688929447328,0.44875377858894655
