gene_symbol,AnCg_nAcc_DLPFC_Female_directions,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p,meta_Up,meta_Down,empirical_meta_p
BTN2A1,-+-,0.29673455315883984,0.7014241595715822,0.40344086420624314,-1,0.8068817284124863,0.6869723933378964,0.40001140771161303,0.8000228154232261
BTN2A2,---,0.21106972345481598,0.8423170254117736,0.27142347463092664,-1,0.5428469492618533,0.795687885010267,0.3027606662103582,0.6055213324207164
BTN3A1,---,0.31324723397783694,0.9723103299021008,0.12344346199113905,-1,0.2468869239822781,0.9318389231120238,0.17670545288615103,0.35341090577230205
BTN3A2,+--,0.07824718682730628,0.8893724979787349,0.05723388937419239,-1,0.11446777874838478,0.8392083048140543,0.10683321925621721,0.21366643851243441
BTN3A3,++-,0.6045157207309901,0.5080648694345726,0.7000172759374359,1,1.0161297388691453,0.5422085329682865,0.6108259183207848,1
BTNL10,-++,0.4212466015146268,0.5103008063628941,0.6009806929980156,1,1.0206016127257882,0.5438626511521789,0.5381587953456537,1
BTNL2,+-+,0.2939420525591622,0.2801293182491094,0.6485504200905928,1,0.5602586364982188,0.3611111111111111,0.5712411590234999,0.7222222222222222
BTNL3,-+-,0.14077514874384503,0.8198398027821061,0.18770004260634293,-1,0.37540008521268586,0.7770362765229295,0.23437143509012093,0.46874287018024186
BTNL8,--+,0.08838748265937747,0.26784097196582896,0.3753763899374613,1,0.5356819439316579,0.3503878621948437,0.3823294547113849,0.7007757243896874
BTNL9,+--,0.6945959214460358,0.687117383764801,0.5702411853057388,-1,1.1404823706114775,0.6771047227926078,0.5163130276066621,1
BTRC,+++,0.10776202160786567,0.05335745433188336,0.9859813215375096,1,0.10671490866376672,0.0946840063883185,0.9475815651380333,0.189368012776637
BUB1,++-,0.21184450246641914,0.41935115665915346,0.42883812837316837,1,0.8387023133183069,0.47279260780287474,0.4188911704312115,0.837782340862423
BUB1B,++-,0.23883075628734157,0.3929006385621566,0.48977195157299774,1,0.7858012771243132,0.45396988364134155,0.46218343600273787,0.9079397672826831
BUB3,-+-,0.08337697023472289,0.19660249185536824,0.7506124009731197,1,0.3932049837107365,0.2792607802874743,0.6517225644535706,0.5585215605749486
BUD13,---,0.23360303657171264,0.9535017220470285,0.13439695374707505,-1,0.2687939074941501,0.9044033766826375,0.18645904631530916,0.3729180926306183
BUD31,---,0.09573889884571705,0.967049710660775,0.07992589125092883,-1,0.15985178250185766,0.9230549851699749,0.13324207164042892,0.26648414328085784
BVES,--+,0.10003398225037823,0.5598363687595629,0.1435405392109358,-1,0.2870810784218716,0.5824777549623545,0.19444444444444445,0.3888888888888889
BYSL,+++,0.01074574368650613,0.022314064145064264,0.932575662458274,1,0.04462812829012853,0.04203741729409081,0.8415468856947297,0.08407483458818162
BZW1,--+,0.17874329688494098,0.8127391423578366,0.24247420868687608,-1,0.48494841737375216,0.7709901893680128,0.28057266712297513,0.5611453342459503
BZW2,+++,0.14728954064971314,0.14399636802323357,0.9347692118975183,1,0.28799273604646713,0.22182295231576546,0.845254391968971,0.4436459046315309
C10orf10,+++,0.003423271117713352,0.0068208546982993935,0.9673066377198236,1,0.013641709396598787,0.014259639516313028,0.9016084873374401,0.028519279032626056
C10orf105,++-,0.5511066544149705,0.5972762505821368,0.6086604890087935,1,1.1945525011642737,0.6104836869723933,0.5439767282683093,1
C10orf107,-++,0.19784680899010612,0.24750669043364584,0.8355930782097983,1,0.4950133808672917,0.330538443988136,0.7249600730093543,0.661076887976272
C10orf11,+--,0.30358591224244585,0.8703524744270592,0.2347462104037743,-1,0.4694924208075486,0.8215833903718914,0.2745836185261237,0.5491672370522473
C10orf113,+--,0.010700010976651903,0.3223299337059576,0.015963743141275775,-1,0.03192748628255155,0.3989847136664385,0.04637234770704997,0.09274469541409994
C10orf120,+++,0.021486930505852386,0.04554282945483881,0.909062733769454,1,0.09108565890967762,0.08139402235911476,0.8078370978781656,0.16278804471822952
C10orf128,---,0.028644270245750152,0.9959444275712733,0.005580710986488872,-1,0.011161421972977745,0.979409080538444,0.024013232945471138,0.048026465890942276
C10orf142,+--,0.16471226687441654,0.6950246389364563,0.1779224904050808,-1,0.3558449808101616,0.6830937713894593,0.22672826830937715,0.4534565366187543
C10orf2,+++,0.42384162556079774,0.3156330668853536,0.8822302777437273,1,0.6312661337707072,0.3935660506502396,0.7756103125712982,0.7871321013004792
C10orf35,++-,0.07877037426262666,0.2610680470232979,0.3037212772073312,1,0.5221360940465958,0.3437143509012092,0.32740132329454713,0.6548026465890943
C10orf53,-+-,0.23249561109776054,0.780033112684818,0.28816316272524484,-1,0.5763263254504897,0.7440679899612138,0.3153091489847137,0.6306182979694274
C10orf54,+++,0.6469081180538567,0.4194774478758271,0.834476228921422,1,0.8389548957516542,0.47302076203513577,0.7237052247319188,0.9460415240702715
C10orf55,+--,0.35446072499982006,0.7115869154678374,0.3312502159989557,-1,0.6625004319979114,0.6938740588637919,0.3486196668948209,0.6972393337896418
C10orf62,+--,0.2013960073742627,0.8197791873835903,0.19625989555125697,-1,0.39251979110251395,0.7769792379648642,0.24229979466119098,0.48459958932238195
C10orf67,---,0.34018722567724496,0.8608348661646349,0.3183721650670955,-1,0.636744330134191,0.8128564909879078,0.33852384211727127,0.6770476842345425
C10orf71,-++,0.21567044845125258,0.5748758314004271,0.4199840365908604,-1,0.8399680731817208,0.5937713894592744,0.412673967602099,0.825347935204198
C10orf76,+++,0.09201891513350115,0.08011885909696514,0.9653257181556527,1,0.1602377181939303,0.13455395847592974,0.8980150581793293,0.2691079169518595
