gene_symbol,nAcc.F_nAcc.M,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p
SLC44A3,--,0.044727639687136965,0.9481737910733791,0.038963341670698586,-1,0.07792668334139717
SLC44A4,-+,0.1988939060985533,0.2521034160285289,0.6369109732005324,1,0.5042068320570579
SLC44A5,--,0.8831519143296367,0.6359731439714857,0.5537871460442693,-1,1.1075742920885385
SLC45A1,+-,0.29149842641907925,0.31952531835167136,0.6553573335038113,1,0.6390506367033427
SLC45A2,+-,0.44990283762037336,0.39469383187155116,0.6936897140749319,1,0.7893876637431023
SLC45A3,-+,0.146796289932464,0.8129847875220684,0.1602589011224477,-1,0.3205178022448954
SLC45A4,++,0.5518839268499471,0.32129298938648787,0.8262115222590896,1,0.6425859787729757
SLC46A1,+-,0.4955799110198008,0.6811357494453902,0.4218601646952844,-1,0.8437203293905688
SLC46A2,-+,0.4004647814191693,0.4094172910835671,0.5998580065380144,1,0.8188345821671342
SLC46A3,+-,0.15653255787844322,0.4528840123450292,0.24183615582433615,-1,0.4836723116486723
SLC47A1,-+,0.019026316136738525,0.0342451127204264,0.7802169285694575,1,0.0684902254408528
SLC47A1P1,++,0.5028556943244568,0.3830905012736157,0.7467529695269063,1,0.7661810025472314
SLC47A2,++,0.8757728119538826,0.512395612508583,0.6764219920554072,1,1.024791225017166
SLC48A1,-+,0.6990829049932547,0.5358778751464907,0.6127689495700004,1,1.0717557502929813
SLC4A1,++,0.14266003222216034,0.12757810065880162,0.8881926993526837,1,0.25515620131760325
SLC4A10,+-,0.12853040824167916,0.39463229104363884,0.21555756010241023,-1,0.43111512020482046
SLC4A11,++,0.23756457182634122,0.21025267183567165,0.8352669831449324,1,0.4205053436713433
SLC4A1AP,++,0.7152933474324672,0.43979326553952197,0.7358534780831363,1,0.8795865310790439
SLC4A1APP1,-+,0.24011101392998674,0.27273227681251433,0.685077783941999,1,0.5454645536250287
SLC4A1APP2,-+,0.14685978451893958,0.7505713081763395,0.17854596639937562,-1,0.35709193279875123
SLC4A2,-+,0.04224428830470613,0.6150088535692095,0.07981659568474402,-1,0.15963319136948803
SLC4A3,+-,0.04829516350167844,0.07788659344693653,0.7385891810012455,1,0.15577318689387307
SLC4A4,--,0.05985355813525983,0.9343196133154494,0.05401498189125929,-1,0.10802996378251858
SLC4A5,-+,0.32314783485336396,0.6206342932026231,0.35272376809212436,-1,0.7054475361842487
SLC4A7,++,0.4005621988594687,0.244096643915712,0.8715579374210864,1,0.488193287831424
SLC4A8,+-,0.3119449298369475,0.3694635627425743,0.5334770656123514,1,0.7389271254851486
SLC4A9,-+,0.7699782205318082,0.6467216317063521,0.5292284861918566,-1,1.0584569723837132
SLC50A1,-+,0.22900534820549734,0.2907689611151818,0.5824003383261566,1,0.5815379222303636
SLC51A,+-,0.39192547299685077,0.3415120612319809,0.741306587677344,1,0.6830241224639618
SLC51B,++,0.08044740342604813,0.06093429580855973,0.9480821527768559,1,0.12186859161711946
SLC52A1,-+,0.11354986847172166,0.1868498536594423,0.4942308041518905,1,0.3736997073188846
