gene_symbol,AnCg.F_DLPFC.F_AnCg.M_DLPFC.M,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p,meta_Up,meta_Down,empirical_meta_p
SNIP1,--++,0.5585327795861799,0.3310132494313263,0.8186021357016073,1,0.6620264988626526,0.28587725302304356,0.29224890207038157,0.5717545060460871
SNN,+-+-,0.24186155231139306,0.26811420867594393,0.7036756880017817,1,0.5362284173518879,0.22313483915126625,0.23509952660696973,0.4462696783025325
SNPH,+++-,0.3522449818652893,0.39144015889456746,0.5597429782735037,1,0.7828803177891349,0.34605293178188457,0.34802943021730454,0.6921058635637691
SNRK,+++-,0.5759637977143421,0.4415124190099425,0.6981175265436956,1,0.883024838019885,0.3928245493953913,0.39479838019734215,0.7856490987907826
SNRNP200,++++,0.46530058760775517,0.32308143917755183,0.8075111844781463,1,0.6461628783551037,0.27766370066164725,0.2863172303655963,0.5553274013232945
SNRNP25,+-++,0.012110770588399137,0.013978809210069717,0.9412900968099228,1,0.027957618420139434,0.007129819758156514,0.01437289682313352,0.014259639516313028
SNRNP27,---+,0.45981606742993164,0.4889524099315372,0.48196720823555134,-1,0.9639344164711027,0.42947584554839446,0.42910107232489164,0.8582021446497833
SNRNP35,----,0.2925987437083694,0.8119044077734436,0.25248395045313177,-1,0.5049679009062635,0.20823589802087492,0.2198836413415469,0.41647179604174983
SNRNP40,-++-,0.448450371410009,0.8938886806329189,0.22219923625869734,-1,0.44439847251739467,0.17891975132607082,0.19290440337668263,0.35783950265214165
SNRNP48,-+++,0.17677077177376982,0.1201196895199393,0.9281099106418924,1,0.2402393790398786,0.08721195528177048,0.1052301374550847,0.17442391056354095
SNRNP70,----,0.5156654291478899,0.8179417753543426,0.32492547153110024,-1,0.6498509430622005,0.27947299378315177,0.28724617841660965,0.5589459875663035
SNRPA,+++-,0.21661159108412098,0.20771347288771766,0.8156932328468373,1,0.4154269457754353,0.16586812685375313,0.18142930473963384,0.33173625370750626
SNRPA1,+-++,0.1574819361116864,0.05488012357977246,0.9800952961714144,1,0.10976024715954492,0.034166096281086016,0.05230137455084698,0.06833219256217203
SNRPB,+-+-,0.28039888469422614,0.31546602668066054,0.6432314219716511,1,0.6309320533613211,0.2705338809034908,0.27947299378315177,0.5410677618069816
SNRPB2,+-+-,0.7264390295880694,0.4319328562137547,0.7440215523991378,1,0.8638657124275094,0.3842117271275382,0.38590087264016426,0.7684234542550764
SNRPC,--+-,0.8894811362793089,0.6194599289292995,0.5694258781400924,-1,1.1388517562801848,0.49187246905834714,0.4895049053159936,0.9790098106319872
SNRPD1,+-+-,0.68006652388324,0.46293476185944693,0.7057522545119447,1,0.9258695237188939,0.41176135067305497,0.41407631323789423,0.8235227013461099
SNRPD2,+-+-,0.38134199631897525,0.3411974568642133,0.7323550439521269,1,0.6823949137284266,0.29563084645220167,0.30228711572463357,0.5912616929044033
SNRPD3,--+-,0.8418151012153801,0.6565947343139759,0.5308484696402845,-1,1.061696939280569,0.4684879940683283,0.4656627880447182,0.9313255760894364
SNRPE,+-+-,0.3124012644613113,0.241731303036678,0.8427443958041942,1,0.483462606073356,0.19763860369609856,0.2106313808247305,0.3952772073921971
SNRPF,--++,0.41635608314791683,0.21430586543566865,0.897519623950446,1,0.4286117308713373,0.1711727127538216,0.18604916443278388,0.3423454255076432
SNRPG,----,0.18741926548903387,0.819395887205604,0.18718609883981202,-1,0.37437219767962404,0.1450407802429704,0.16404289299566507,0.2900815604859408
SNRPN,+-+-,0.10905928919955908,0.10349163948813477,0.8933208468685058,1,0.20698327897626953,0.07232489162673968,0.09216905264358638,0.14464978325347935
SNTA1,+-+-,0.5146806003905939,0.5063393157160458,0.5104083922305536,1,1.0126786314320917,0.45003422313483915,0.44767010779672617,0.8953402155934523
SNTB1,++--,0.4730650995524982,0.842386029826478,0.2907766450176752,-1,0.5815532900353504,0.2462784463582958,0.2553616244581337,0.4925568927165916
SNTB2,++-+,0.26939858828050867,0.26422884197303553,0.7627798303613008,1,0.5284576839460711,0.21937029431895963,0.23150630240118633,0.43874058863791926
SNTG1,++++,0.5765280862937443,0.3225233378493045,0.8271654122985431,1,0.645046675698609,0.2768081222906685,0.2859179832316204,0.553616244581337
SNTG2,+--+,0.05385959270640216,0.04315767096375354,0.9530711178454082,1,0.08631534192750707,0.02486881131644992,0.042434266811156106,0.04973762263289984
SNTN,+--+,0.3210138269518161,0.3395762715460701,0.6552706386593246,1,0.6791525430921402,0.2944330367328314,0.3007471624935835,0.5888660734656628
SNU13,+-+-,0.24916479242484466,0.3295246140740131,0.47997442204475277,1,0.6590492281480262,0.28439425051334705,0.29082301944903893,0.5687885010266941
SNUPN,+-++,0.020491096669125984,0.007321874518044637,0.994959804449217,1,0.014643749036089273,0.0038215833903718914,0.007870872069811213,0.007643166780743783
SNURF,--++,0.49794298662906245,0.4152190544725201,0.6944943950635843,1,0.8304381089450402,0.36846908510152865,0.3700450578908344,0.7369381702030573
SNW1,-++-,0.5970199385225397,0.5136982524834307,0.5872785411751472,1,1.0273965049668614,0.45476842345425506,0.4536017795015114,0.9072035590030229
SNX1,-+--,0.17846636240659094,0.9691826824105891,0.07610870636205423,-1,0.15221741272410846,0.050818456624650656,0.06913073237508556,0.10163691324930131
SNX10,+++-,0.416816758875735,0.2855331120925961,0.8341238185530458,1,0.5710662241851922,0.2415582934063427,0.2505560942223236,0.4831165868126854
SNX11,+++-,0.06117137631090527,0.07923946518317145,0.8356444528423416,1,0.1584789303663429,0.05253251197809719,0.07152227228654537,0.10506502395619438
SNX13,-+++,0.4385627074787729,0.3737414336659806,0.7222728256892185,1,0.7474828673319612,0.3272872461784166,0.3322306507728284,0.6545744923568332
SNX14,++++,0.42567723053087103,0.3393918403038864,0.7688220386958311,1,0.6787836806077728,0.29414784394250515,0.3006330918838761,0.5882956878850103
SNX15,+-++,0.5431640600863346,0.4163453058615852,0.7189383387605819,1,0.8326906117231704,0.3693246634725074,0.3711287286830548,0.7386493269450148
SNX16,+++-,0.7749677493818408,0.46206179374116413,0.7194269201164594,1,0.9241235874823283,0.4106776180698152,0.41327781896994237,0.8213552361396304
SNX17,+-+-,0.30433243901143114,0.4401489683613508,0.384335191629496,-1,0.768670383258992,0.338675640221297,0.34148984713666436,0.677351280442594
SNX18,----,0.03217917623670474,0.9752273058017835,0.021807137617331145,-1,0.04361427523466229,0.011977414019277934,0.02218799908738307,0.023954828038555868
SNX19,-+--,0.3064285066682458,0.8774042060510292,0.21197357659032193,-1,0.42394715318064385,0.169622996634917,0.1845197353410906,0.339245993269834
SNX2,-+++,0.39389133642036556,0.28712801886251743,0.8238209262975463,1,0.5742560377250349,0.24326945014830026,0.25215308275822734,0.4865389002966005
SNX20,+---,0.3076753196685698,0.9243331057010233,0.16228196539272402,-1,0.32456393078544804,0.12348143500827012,0.1403148528405202,0.24696287001654024
SNX21,+-+-,0.32692072024618435,0.3756289224021439,0.5523862046932122,1,0.7512578448042878,0.32922655715263516,0.33405578052814694,0.6584531143052703
SNX22,----,0.12506230512913394,0.9919484064207849,0.026705151036966343,-1,0.053410302073932686,0.014030684994011293,0.026922199406798995,0.028061369988022587
SNX24,+++-,0.3709362572282334,0.290495936490726,0.8080462763729452,1,0.580991872981452,0.2460643394934976,0.2552329892203274,0.4921286789869952
SNX25,-+++,0.7607214041227073,0.6957700178467771,0.48494998462255134,-1,0.9698999692451027,0.4325557520104945,0.43161076887976274,0.8632215377595255
SNX27,++++,0.6919510265204405,0.4743517373255313,0.6951073655479324,1,0.9487034746510626,0.42362537075062745,0.4231449267096333,0.8462898534192665
SNX29,-+--,0.1917788453709011,0.9259685376385502,0.12786274923049154,-1,0.2557254984609831,0.09348086465522158,0.11173853524982888,0.18696172931044316
SNX3,--+-,0.45894311545541744,0.32337372506364714,0.8050809301469183,1,0.6467474501272943,0.27817704768423457,0.2864883362801574,0.5563540953684691
SNX30,-+-+,0.20175461228658986,0.88022580177504,0.1652097646669242,-1,0.3304195293338484,0.12633320025095535,0.14350901209217432,0.2526664005019107
SNX31,-+--,0.36639720816654675,0.6013772131414589,0.38772100517801716,-1,0.7754420103560343,0.3419266525979581,0.344569929272188,0.6838533051959163
SNX32,+-+-,0.22872028938221578,0.25042387336716004,0.7279095115763055,1,0.5008477467343201,0.20596623317362536,0.21804597045571208,0.4119324663472507
SNX33,++--,0.19388953600682837,0.6124342921943073,0.2531017148089933,-1,0.5062034296179866,0.20863514515485085,0.22039698836413416,0.4172702903097017
SNX4,++++,0.9788509227395648,0.5984084833724952,0.5945032743006844,-1,1.1890065486013688,0.500769976615525,0.49874515172256445,0.9974903034451289
SNX5,----,0.41097970737406475,0.8539558402392883,0.2650387886263423,-1,0.5300775772526846,0.22021331204015285,0.2322610084417066,0.4404266240803057
SNX6,----,0.41455421398409176,0.8830715259225137,0.23323387372983595,-1,0.4664677474596719,0.18958535333371357,0.20339949806068902,0.37917070666742714
SNX7,-+-+,0.17340486462949836,0.5866050655980153,0.2389502284481564,-1,0.4779004568963128,0.19528888381908402,0.20813369838010495,0.39057776763816804
SNX8,+-+-,0.17068597645014705,0.6603094498764828,0.2214883392645785,-1,0.442976678529157,0.1785775394969486,0.19221994067989961,0.3571550789938972
SNX9,-+--,0.19511437950741972,0.8691998685386427,0.16810173074738857,-1,0.33620346149477714,0.12895682427422575,0.14601870864704541,0.2579136485484515
SOAT1,++-+,0.6405161216938953,0.4258439133318481,0.7389174879862848,1,0.8516878266636962,0.37902121834360025,0.38036844806935494,0.7580424366872005
SOAT2,+-+-,0.15907010105000055,0.20775380241524308,0.6739550603866429,1,0.41550760483048615,0.16609628108601415,0.18142930473963384,0.3321925621720283
SOBP,--++,0.4294081454781289,0.8673115845641137,0.2546642859308027,-1,0.5093285718616054,0.21017509838590087,0.2218799908738307,0.42035019677180174
SOCS1,--+-,0.25231231835413936,0.2821009608535603,0.6841539385479725,1,0.5642019217071206,0.2373944786675793,0.24719101123595505,0.4747889573351586
SOCS2,----,0.3394129705500565,0.7842655982179816,0.29176851676184357,-1,0.5835370335236871,0.24724804654080876,0.2565023956194387,0.4944960930816175
SOCS3,++--,0.5642692979629471,0.4668605486012785,0.6509210615634661,1,0.933721097202557,0.41575404973762264,0.417213255004848,0.8315080994752453
SOCS4,+++-,0.8344950663871283,0.547825647313208,0.6368563299290485,1,1.095651294626416,0.47923796486424824,0.4767581132721154,0.9535162265442308
SOCS5,++++,0.5891467860602716,0.3664428138171936,0.7903769066488258,1,0.7328856276343872,0.3197011179557381,0.3252723435806764,0.6394022359114762
SOCS6,-+-+,0.1576227897144529,0.72024030225115665,0.19568849277906764,-1,0.39137698555813527,0.15319682883705013,0.17105863563769108,0.30639365767410026
SOCS7,+-++,0.8053676314576061,0.5234232665294934,0.6602651585484667,1,1.046846533058987,0.4637805156285649,0.45987566303541894,0.9197513260708379
SOD1,+-+-,0.24313124060255742,0.2188966550170248,0.8249032594406829,1,0.4377933100340496,0.17630618297969428,0.19009867107739692,0.35261236595938855
SOD2,++--,0.917140804929296,0.5604009772575781,0.6312447716641,1,1.1208019545151562,0.48767967145790553,0.4842867735128044,0.9685735470256088
SOD3,+-+-,0.5307982963883754,0.42097489288191636,0.7057143788163154,1,0.8419497857638327,0.37394478667579284,0.3757485883762049,0.7478895733515857
SOGA1,----,0.11483491068392097,0.9534029621639578,0.07429883829774662,-1,0.14859767659549325,0.04939257400330805,0.06793292265571527,0.0987851480066161
SOGA3,-+--,0.10694552678225076,0.9722128367856222,0.05495653465163433,-1,0.10991306930326866,0.03422118291222267,0.052361396303901436,0.06844236582444534
SOHLH1,+-+-,0.25976219801605516,0.3961699151194296,0.35369853070863644,-1,0.7073970614172729,0.3079336109051503,0.31376910791695184,0.6158672218103006
SOHLH2,-+--,0.19013963376020038,0.9641836322886961,0.08563769630615348,-1,0.17127539261230695,0.057206410768265555,0.07614647501711157,0.11441282153653111
SON,-+-+,0.44821326333275946,0.5918077678774537,0.4400145161282696,-1,0.8800290322565392,0.3913762619061199,0.3935660506502396,0.7827525238122398
SORBS1,+++-,0.37028542645074114,0.34429225805507685,0.7148587516263625,1,0.6885845161101537,0.2985968514715948,0.30473963383334285,0.5971937029431896
SORBS2,++-+,0.4979705497414125,0.5078805594735247,0.49805525876875356,-1,0.9961105175375071,0.4426510009696002,0.44147843942505133,0.8829568788501027
SORBS3,+---,0.2381562921963691,0.7967255468547407,0.2297537826478559,-1,0.4595075652957118,0.18684765870073575,0.20031941592516542,0.3736953174014715
SORCS1,++++,0.24984663462127435,0.11990421364566854,0.9478131420478731,1,0.23980842729133708,0.08692676249144421,0.10500199623566987,0.17385352498288842
SORCS2,++--,0.6661839887340826,0.7769073564993543,0.3902183331440472,-1,0.7804366662880944,0.34443620601152114,0.3470225872689938,0.6888724120230423
SORCS3,-+++,0.6148657397481168,0.682836287658993,0.46423532413231294,-1,0.9284706482646259,0.413163748360235,0.41535477983116587,0.82632749672047
SORD,-++-,0.40567106971645006,0.3260388175002154,0.7767369968126303,1,0.6520776350004308,0.2807437827971709,0.2878571835966463,0.5614875655943418
SORL1,-+++,0.7471329466741594,0.4541157559809275,0.725028761459202,1,0.908231511961855,0.4033196440793977,0.4067187589117664,0.8066392881587954
SORT1,+++-,0.9371839331213935,0.559755390155778,0.6324730057610697,1,1.119510780311556,0.487337440109514,0.4840015969885359,0.9680031939770718
SOS1,++-+,0.7364852169005147,0.6248477879542651,0.5381594213743149,-1,1.0763188427486299,0.4737352421148691,0.4701117955738079,0.9402235911476158
SOS2,-+--,0.22140777566027822,0.97511225256424106,0.06919133041781092,-1,0.13838266083562184,0.045400102663548735,0.06411133926534338,0.09080020532709747
SOST,+-+-,0.10101607387345096,0.6492992895706419,0.1525620562553294,-1,0.3051241125106588,0.11600981007243484,0.13164499201460186,0.23201962014486968
SOSTDC1,++++,0.34233140738631196,0.17922536616778426,0.9159959069214119,1,0.3584507323355685,0.13826146475017112,0.15616266468944276,0.27652292950034224
SOWAHA,--++,0.16836564569719975,0.18249417450311298,0.7958119848879888,1,0.36498834900622595,0.14134154688569472,0.15907146523698168,0.28268309377138945
