gene_symbol,AnCg.F_DLPFC.F_AnCg.M_DLPFC.M,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p,meta_Up,meta_Down,empirical_meta_p
ARPC1A,+-++,0.24973761155158414,0.7199045538331503,0.24649599582487444,-1,0.4929919916497489,0.24759025836993098,0.24383983572895276,0.48767967145790553
ARPC1B,--+-,0.017852469768015137,0.906338656342315,0.04478690051084306,-1,0.08957380102168612,0.04197798437232647,0.048767967145790556,0.08395596874465294
ARPC2,+-+-,0.4032890823737265,0.6893478231165253,0.5679505655037448,-1,1.1359011310074896,0.48434380881765815,0.47347707049965776,0.9469541409993155
ARPC3,+-+-,0.46168550467704456,0.7677618214765088,0.4901351092646153,-1,0.9802702185292306,0.4496093081617521,0.4368583162217659,0.8737166324435318
ARPC4,+-+-,0.06804334868528399,0.6651022719800291,0.2322359383074956,-1,0.4644718766149912,0.23407289111960303,0.23043577458361852,0.46087154916723705
ARPC4-TTLL3,-+--,0.17076198539695572,0.1324752919705975,0.9317254437147477,1,0.264950583941195,0.1314738763404061,0.13642844921006103,0.2629477526808122
ARPC5,----,0.1474550792049694,0.8433332147667826,0.2795448948810918,-1,0.5590897897621836,0.2814121941481777,0.27355692448094915,0.5471138489618983
ARPC5L,+-+-,0.2357911846267924,0.529954984369131,0.37985154590425907,-1,0.7597030918085181,0.3707865168539326,0.36248003650467714,0.7249600730093543
ARPIN,+---,0.15311614121777065,0.5392221990824397,0.4300837369142882,-1,0.8601674738285764,0.4079735356185479,0.397958019621264,0.795916039242528
ARPP19,-+--,0.22270446780731254,0.3589842651111786,0.7846417577617931,1,0.7179685302223572,0.35261236595938855,0.34426510009696004,0.6885302001939201
ARPP21,+++-,0.27266681499242623,0.3798426803847744,0.7690365208157799,1,0.7596853607695488,0.3707506274241387,0.36245936234529175,0.7249187246905835
ARRB1,++++,0.5118816186828199,0.6160107610876804,0.6398801862229053,1,1.2320215221753608,0.4974903034451289,0.48725260936519704,0.9745052187303941
ARRB2,+-++,0.05638484429598696,0.6693134900496565,0.1365157466299542,-1,0.2730314932599084,0.1360292020760851,0.1402007757243897,0.2720584041521702
ARRDC2,----,0.15075208776397178,0.27830544053771755,0.7672038101029139,1,0.5566108810754351,0.2804015514487794,0.27262875720070723,0.5452575144014145
ARRDC3,-+++,0.0881851723575091,0.3916768919832554,0.4820655296439315,1,0.7833537839665108,0.3805042208532968,0.3720412935607141,0.7440825871214282
ARRDC4,-+--,0.1466924038759191,0.14405654372259183,0.9367556030110372,1,0.28811308744518366,0.14356605065023956,0.14743626304682597,0.2871321013004791
ARRDC5,---+,0.024733636871945155,0.9210176751097875,0.004370073390869557,-1,0.008740146781739113,0.0044487537785889465,0.006388318503308237,0.008897507557177893
ARSA,----,0.2130365965063012,0.5361975592164232,0.47610302292666423,-1,0.9522060458533285,0.44122511834825756,0.4284166096281086,0.8568332192562172
ARSB,-+++,0.33565417639457285,0.62922421567684,0.5589868315022873,-1,1.1179736630045747,0.4812639023555581,0.46914214008669863,0.9382842801733973
ARSG,+---,0.3585873396788506,0.371528923708121,0.8593696247397057,1,0.743057847416242,0.3632215377595254,0.3547025608851879,0.7094051217703758
ARSI,++--,0.046377866056669666,0.005648369024964815,0.9988430499024465,1,0.01129673804992963,0.0054757015742642025,0.008041977984372327,0.010951403148528405
ARSJ,++-+,0.12161620466582168,0.10134374190457068,0.9061724762022655,1,0.20268748380914137,0.09765001140771161,0.10608566702789027,0.19530002281542322
ARSK,-+-+,0.004499794396596486,0.03747282202126967,0.8116349509385712,1,0.07494564404253934,0.03587725302304358,0.041407631323789426,0.07175450604608716
ART1,+-++,0.26117167589361673,0.9274274506153055,0.17047860004576748,-1,0.34095720009153496,0.17047852620772258,0.17276979237964865,0.34095705241544516
ART3,----,0.17147776903864279,0.555454900378401,0.40737694128683477,-1,0.8147538825736695,0.3928591798323162,0.3838124572210814,0.7676249144421629
