gene_symbol,female_Nac_female_Subic_male_Nac_male_Subic,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p,meta_Up,meta_Down,empirical_meta_p
HSD17B3,++++,0.029303297,0.05427735763450592,0.5249153540751763,1,0.10855471526901184,0.045332364693062115,0.05368298706959175,0.09066472938612423
SLC35D2,++++,0.187814162,0.31253003129865714,0.6913214368206604,1,0.6250600625973143,0.2979295314202688,0.3208629957867209,0.5958590628405376
ZNF367,-++-,0.144044365,0.31104523187774785,0.6279455334430986,1,0.6220904637554957,0.29698510715583,0.3197733546418713,0.59397021431166
HABP4,-+++,0.382992117,0.6426380800293268,0.5653684299281375,-1,1.130736859856275,0.46019177684149354,0.4949509625862695,0.9203835536829871
CDC14B,++++,0.156269134,0.3932863323991351,0.5921763773840044,1,0.7865726647982701,0.3648383581547403,0.3916170274589568,0.7296767163094806
PRXL2C,-+--,0.027326431,0.6289221092881996,0.18499834054233846,-1,0.3699966810846769,0.18494842365247713,0.19614965492190337,0.36989684730495426
ZNF510,-++-,0.182926435,0.33527711812694166,0.32362978388321034,-1,0.6472595677664207,0.3072788028475955,0.3304758445332365,0.614557605695191
ZNF782,--++,0.059143506,0.9970626657906988,0.009720237123917643,-1,0.019440474247835286,0.006755775098067703,0.007555394115510352,0.013511550196135405
CTSV,++++,0.120259523,0.25145787109880086,0.6617406364639769,1,0.5029157421976017,0.2440247003269161,0.261877088478861,0.4880494006538322
CCDC180,+-++,0.10762464,0.6426614078734126,0.1469386676861793,-1,0.2938773353723586,0.14419584483510098,0.15459498728659643,0.28839168967020196
TDRD7,++-+,0.152765668,0.08918905793127178,0.8335407508404827,1,0.17837811586254357,0.08238285506719942,0.09036757227952928,0.16476571013439884
TMOD1,+-++,0.186098217,0.7616764858965749,0.2785155822300243,-1,0.5570311644600486,0.26870550631991863,0.28906647293861243,0.5374110126398373
TSTD2,+---,0.344716994,0.401977388860298,0.8177279453691515,1,0.803954777720596,0.37115873592444604,0.39786430335609474,0.7423174718488921
NCBP1,-+--,0.055312457,0.2658549980192852,0.3667061407816441,1,0.5317099960385704,0.25717399200871777,0.27618770884788607,0.5143479840174355
XPA,+++-,0.095869466,0.184527035774608,0.7163474433221086,1,0.369054071549216,0.18452597166727205,0.19577219235798343,0.3690519433345441
TRMO,-+++,0.044764845,0.5996661792126722,0.2013457881831582,-1,0.4026915763663164,0.19962225773645212,0.21358517980385033,0.39924451547290424
ANP32B,++++,0.099128117,0.5680326387471111,0.19655001294852212,-1,0.39310002589704424,0.19569954961499347,0.20893570650199783,0.39139909922998695
TRIM14,+-++,0.220321694,0.8414305931190212,0.22086236776340587,-1,0.44172473552681174,0.21691123056806624,0.23283690519433345,0.4338224611361325
NANS,-++-,0.313552181,0.3805970882518315,0.623282388768421,1,0.761194176503663,0.35655648383581545,0.38122911521139036,0.7131129676716309
CORO2A,-+-+,0.392911126,0.515475194354516,0.7586252158952487,1,1.030950388709032,0.43930257900472214,0.4713787592619497,0.8786051580094443
TBC1D2,++++,0.006289923,0.04883644043572703,0.791737700796362,1,0.09767288087145407,0.0413367235742826,0.04699985471451402,0.0826734471485652
GABBR2,----,0.082698706,0.6179015999438274,0.26183047746949106,-1,0.5236609549389821,0.2532326020630539,0.27322920450417726,0.5064652041261078
ANKS6,+-++,0.061413154,0.4277682987848556,0.20172514204760242,-1,0.40345028409520484,0.19991282870841204,0.21423901198692336,0.3998256574168241
