gene_symbol,female_Anterior_Insula_female_BA11_female_BA25_female_BA8/9_female_Nac_female_Subic_male_Anterior_Insula_male_BA11_male_BA25_male_BA8/9_male_Nac_male_Subic,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p
WASHC4,++++-+-----+,0.01265291,0.023328494747966978,0.6146196716228267,1,0.046656989495933957
SCRN2,-++---++++++,0.057267847,0.02334682792963457,0.9326830297653759,1,0.04669365585926914
ATXN7L3,-+-+--++++-+,0.011469268,0.023359140891270717,0.8125870274988565,1,0.046718281782541435
ALPK1,++++++++-++-,0.016493841,0.023373202000142153,0.9522940948031147,1,0.046746404000284306
COPS4,++++-+-++---,0.033622954,0.023376563156119932,0.955121925155173,1,0.046753126312239865
RP3-467L1.6,++--++----+-,0.017897812,0.8402485846353752,0.0234197440837727,-1,0.0468394881675454
PPM1J,++---+++++++,0.070140935,0.023424555917952276,0.9395548713919889,1,0.04684911183590455
AC119673.1,--++++-+++--,0.013232968,0.023429725835395408,0.8592287062623762,1,0.046859451670790815
CLASP2,++++++-+--++,0.003665397,0.023441166270620005,0.9597641014010283,1,0.04688233254124001
DNAJC30,+-+--+++++++,0.037657606,0.02344127301305809,0.9727731312667396,1,0.04688254602611618
AP000254.8,-+++++-+----,0.027782358,0.5618790666770328,0.02344401479041117,-1,0.04688802958082234
RPP21,+-+++++--+++,0.00973785,0.023447261429985423,0.7714316282137144,1,0.046894522859970846
RP11-82L18.4,------+++--+,0.01187729,0.3516032021338903,0.023448799889592576,-1,0.04689759977918515
RNF167,+-+++-+-++++,0.029868849,0.023468862421611288,0.9536374510391448,1,0.046937724843222575
AC006195.2,--+-+-+---++,0.002852898,0.39300633391823947,0.02347534705015953,-1,0.04695069410031906
AC005329.7,+++-+----+++,0.007189143,0.023491104964290133,0.8248650064519321,1,0.046982209928580265
GYG2,-++-++++-++-,0.020300842,0.023496264959059415,0.9232361212210423,1,0.04699252991811883
MAF1,-++---++++-+,0.010634434,0.02350575334706549,0.7012972598187768,1,0.04701150669413098
PIP5KL1,-++-+-++++++,0.01099971,0.023520839352064414,0.9833414444507086,1,0.04704167870412883
RP13-638C3.2,------+---+-,0.06130995,0.9965040549524092,0.0235385418112401,-1,0.0470770836224802
KCNQ3,-------++--+,0.040628543,0.9902093475746183,0.023541036505175292,-1,0.047082073010350584
PLEKHA8,-+----+----+,0.015323373,0.9808828522158513,0.02356440868185225,-1,0.0471288173637045
EDA2R,+++++++++---,0.098337076,0.02357573093852336,0.9967684614900234,1,0.04715146187704672
RP11-569G13.2,++-+++++-+++,0.051201746,0.023583847447151224,0.99143705539954,1,0.04716769489430245
MRM2,++++---++++-,0.003530212,0.02358627358530512,0.9925619547946309,1,0.04717254717061024
SAPCD2,++-++-++++++,0.052273677,0.023599028129783112,0.9525038244591497,1,0.047198056259566225
CHD1L,+++-+++--+++,0.1009389,0.023621425786011563,0.9769399562315525,1,0.047242851572023126
LHX2,----+--++---,0.077273924,0.9816440078997599,0.023624951016941235,-1,0.04724990203388247
RAB11FIP3,----+-+-++++,0.014570584,0.3962751503215474,0.023646199658606346,-1,0.04729239931721269
LATS1,----+-+---++,0.098288951,0.9961656286200844,0.02370332531853573,-1,0.04740665063707146
GCNT1P1,+-+-+-----++,4.54483e-4,0.6394837231703879,0.023703959705115806,-1,0.04740791941023161
LINC02344,----+---+--+,0.011243789,0.9787007172107947,0.02372581414320529,-1,0.04745162828641058
LINC01494,-++---++++++,0.013713421,0.02373008977763851,0.9105889601871932,1,0.04746017955527702
CARD9,+-++++++++++,0.12910576000000001,0.023759733816823735,0.9996566586386917,1,0.04751946763364747
SMG1P2,+-+-+-+-----,0.042179731,0.9732294408188251,0.023762015927028403,-1,0.047524031854056806
RP11-1275H24.2,+++--+++-++-,0.00749684,0.02377251995781945,0.9247843187907113,1,0.0475450399156389
RNU2-6P,--+-+-++++-+,6.96191e-4,0.023783702326217515,0.866529958075461,1,0.04756740465243503
FCGRT,++++-+++++-+,0.115343644,0.023807004780557306,0.9995557217118836,1,0.04761400956111461
CCT6B,++++++-----+,0.009672601,0.02381058102196159,0.4963540629175814,1,0.04762116204392318
