gene_symbol,female_Nac_female_Subic_male_Nac_male_Subic,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p
LARP4,-+--,0.435784005,0.6850724924835166,0.5610489037820674,-1,1.1220978075641348
HNRNPA1L2,+-++,0.48237551,0.5610551211633783,0.7014628132794072,1,1.1221102423267566
DNM1P46,+++-,0.593527706,0.5610652082383131,0.7818929829943116,1,1.1221304164766261
ZNF396,----,0.754791185,0.8054274058959388,0.5612457509167609,-1,1.1224915018335218
SLC9A7,--++,0.423374839,0.5612622411484297,0.6709167264615908,1,1.1225244822968594
RNU6-123P,-+-+,0.647874187,0.5612787374380119,0.7735558976537622,1,1.1225574748760239
RN7SKP237,-+--,0.333071426,0.5613058461190858,0.6774653416647902,1,1.1226116922381717
RP11-460N11.2,--++,0.46298084,0.7501202176635325,0.561324692127043,-1,1.122649384254086
AREL1,+++-,0.485774059,0.5613554271803911,0.6913778280685738,1,1.1227108543607822
CDH4,---+,0.392197889,0.6604843199257058,0.561373294295757,-1,1.122746588591514
TUB-AS1,+-++,0.403684355,0.5614365428891819,0.6539444127585621,1,1.1228730857783638
ENDOG,---+,0.672944156,0.7608733769789492,0.5614963343372867,-1,1.1229926686745735
TRIAP1,-++-,0.44287356,0.5615270314146644,0.7332502934677254,1,1.1230540628293288
RP11-1079K10.3,-++-,0.333082269,0.5615549110345167,0.5781337741634841,1,1.1231098220690334
NOL7,-+-+,0.572731676,0.5615924519881396,0.7768211479251212,1,1.1231849039762791
POLD3,+++-,0.251701248,0.5737084484171647,0.5615971386163328,-1,1.1231942772326655
ZFAS1,-+-+,0.266877778,0.5715145951274504,0.5616111319037107,-1,1.1232222638074214
CTB-5E10.3,-+--,0.536176963,0.7451081522684149,0.5616241723254634,-1,1.1232483446509267
PTENP1,-+--,0.579297992,0.7855398191078704,0.5616549544501696,-1,1.123309908900339
ZFP82,-++-,0.615248543,0.5617362217595039,0.7302696316483059,1,1.1234724435190078
PCMTD2,--+-,0.673760522,0.7596637142445972,0.5617712370013659,-1,1.1235424740027318
GOLGA6L5P,+-+-,0.435945076,0.5617888262086156,0.6350665846318069,1,1.1235776524172312
BAHD1,+++-,0.632978746,0.5618022762904805,0.7406366988277655,1,1.123604552580961
GPS2,-+-+,0.366021388,0.6309202290963994,0.561848458016823,-1,1.123696916033646
ANKRD7,-+-+,0.384920176,0.604743615070907,0.5620367489677223,-1,1.1240734979354445
MINK1,+-+-,0.498466548,0.5620466223399647,0.7409987478450593,1,1.1240932446799294
GDAP2,--++,0.314054651,0.5678127349638783,0.5620535957845285,-1,1.124107191569057
TRAC,-+-+,0.337823946,0.5621190208045586,0.6301967713181154,1,1.1242380416091171
SERPING1,+-++,0.290052043,0.6226994454174779,0.5621254562270198,-1,1.1242509124540396
CENPH,--+-,0.694873551,0.7802931326924183,0.5621260198020659,-1,1.1242520396041318
SYT10,--++,0.459608328,0.6280613256227221,0.5622015155583338,-1,1.1244030311166675
AC006116.24,---+,0.499274224,0.6991638329379768,0.5622568482223184,-1,1.1245136964446367
SIVA1,+++-,0.566146212,0.5622905237560362,0.7825894310471292,1,1.1245810475120723
AF129075.5,+++-,0.370537553,0.5623023135281906,0.6433386702379983,1,1.1246046270563812
BNIP2,++--,0.487476675,0.6528346159210148,0.5623044260493273,-1,1.1246088520986546
RP11-379H18.1,++-+,0.302086647,0.5623384840465303,0.607037707231111,1,1.1246769680930606
PTP4A1P1,+++-,0.68583355,0.562373078359405,0.7986937436063296,1,1.12474615671881
RP11-242D8.1,-+++,0.569733748,0.5623993290008986,0.7628860615859646,1,1.1247986580017972
MIR3919,++--,0.376701184,0.5624422593001434,0.6939346395102453,1,1.1248845186002867
LRMDA,-+++,0.375183883,0.7077945158967442,0.5625745429621575,-1,1.125149085924315
RPL4P4,-+-+,0.504892171,0.6960317873352003,0.562588284182516,-1,1.125176568365032
SCN1B,+--+,0.414382476,0.72506692962314,0.5626520917213064,-1,1.1253041834426127
RBM8A,--+-,0.589009779,0.772738715474231,0.5627841632673404,-1,1.1255683265346808
ZFP36L1,+-+-,0.37232698,0.5628359584028833,0.65789780768073,1,1.1256719168057665
NACA,--++,0.344512328,0.635416350102491,0.562866872107005,-1,1.12573374421401
PLPP1,++--,0.378285457,0.5628861826863348,0.6977441513197182,1,1.1257723653726697
PLCH1,---+,0.340910492,0.5628953340453197,0.6708258279063609,1,1.1257906680906393
AF230666.2,++--,0.486016988,0.6815850361536758,0.5629797643697895,-1,1.125959528739579
MYL12B,-++-,0.426648722,0.6324616926707837,0.5630114147519831,-1,1.1260228295039663
RP11-685N10.1,++--,0.443374262,0.5630227656813163,0.6004804161305909,1,1.1260455313626325
MERTK,-+-+,0.519490739,0.7402366408965015,0.5630431343030681,-1,1.1260862686061361
HHIP-AS1,-++-,0.352160266,0.5898315513644907,0.5630696627556622,-1,1.1261393255113243
MTHFS,+-+-,0.467238373,0.6533050953982789,0.5630957665926251,-1,1.1261915331852501
RP13-131K19.1,++-+,0.495499203,0.5632055828762058,0.6910839206137827,1,1.1264111657524116
EML2-AS1,+---,0.286582259,0.5633848055754017,0.6115802384926495,1,1.1267696111508034
KLHL26,+---,0.508871779,0.6972018988266089,0.563401516979128,-1,1.126803033958256
TEKT4P2,+---,0.702146126,0.798726959262799,0.5634256039628027,-1,1.1268512079256054
CA7,--+-,0.338083574,0.563518330921476,0.6365253614313184,1,1.127036661842952
CREB3,--++,0.381918983,0.563659252351654,0.6621611704486261,1,1.127318504703308
TRIM11,+-+-,0.383392965,0.5875227665913249,0.5639212025770678,-1,1.1278424051541356
CHRNB1,--++,0.460229673,0.5639569986434871,0.7019315512010578,1,1.1279139972869743
SLC37A2,-+++,0.630802574,0.5639608381461163,0.7913701930426679,1,1.1279216762922326
C2CD4D-AS1,---+,0.357188826,0.6361900302897412,0.5639969480828825,-1,1.127993896165765
MIR497HG,-+-+,0.479271113,0.74716159515173,0.564052649477976,-1,1.128105298955952
ARHGEF4,--++,0.349142026,0.6183398412331832,0.5640725583643847,-1,1.1281451167287695
POU2F1,+--+,0.422302962,0.6419406459312078,0.5642254973451435,-1,1.128450994690287
TXK,+--+,0.340276482,0.5644024556461127,0.6588480547059512,1,1.1288049112922254
SLC25A33,++-+,0.335340537,0.6754416521407168,0.5644439267255429,-1,1.1288878534510858
DENR,-+--,0.387268077,0.5644599888860317,0.7074698361941081,1,1.1289199777720633
RGS16,++-+,0.345415392,0.6578020063085808,0.56446879013972,-1,1.12893758027944
LINC01099,++--,0.382746959,0.5904181390876366,0.5645127481392554,-1,1.129025496278511
PPP6R1,+-++,0.341103732,0.564563427787918,0.6344939318975571,1,1.129126855575836
RP1-28C20.1,+--+,0.546237826,0.5646117662787776,0.7107642861088648,1,1.1292235325575553
ZNF263,+++-,0.326613087,0.6717549928338482,0.5646316825251918,-1,1.1292633650503836
RP11-989E6.10,--++,0.461780026,0.685487573758081,0.5646328654576506,-1,1.1292657309153011
ERLEC1,-++-,0.433958741,0.6412354551271356,0.5648197825493685,-1,1.129639565098737
METTL26,---+,0.349585373,0.5648295522013277,0.6864676341374827,1,1.1296591044026554
PAK4,---+,0.263242431,0.5649697909636995,0.5747343772198595,1,1.129939581927399
C12orf40,+--+,0.456410354,0.7295948374839986,0.5651431347880428,-1,1.1302862695760856
ANO10,-+-+,0.338599584,0.5651952058303223,0.6044209970429868,1,1.1303904116606447
C12orf10,--+-,0.497792021,0.7263804474519646,0.5652372306153715,-1,1.130474461230743
RESF1,+---,0.686110703,0.7939901007622174,0.5652709873809967,-1,1.1305419747619934
TM7SF3,-++-,0.4037503,0.5653425891972723,0.6664050144077199,1,1.1306851783945446
NPEPPS,+++-,0.314285731,0.565374216838215,0.5918730440339071,1,1.13074843367643
RP11-329A14.1,+--+,0.441218678,0.5653891717738354,0.6219982447729376,1,1.1307783435476708
SNORA12,+-+-,0.53186926,0.5654216011616809,0.7411015244352582,1,1.1308432023233619
DYNLRB1,--+-,0.391286657,0.6458831500794181,0.5654439078012738,-1,1.1308878156025477
KB-318B8.7,-++-,0.406043,0.5654568782781405,0.6371287754549599,1,1.130913756556281
PDGFRL,--++,0.419888883,0.5657263128650301,0.6597262050221381,1,1.1314526257300601
HIST2H2BE,++--,0.523286375,0.7366593093523567,0.5657468463244324,-1,1.1314936926488648
EIF3C,++--,0.37387575,0.565768413450262,0.6067978702936392,1,1.131536826900524
NR2F1,--++,0.440162272,0.5658605246480296,0.6525586612847808,1,1.1317210492960592
LRRC37A3,+--+,0.407795578,0.5659093510545695,0.7203720925754171,1,1.131818702109139
PPP1R12BP1,+--+,0.335907684,0.565959539536099,0.5773768527763846,1,1.131919079072198
PIK3R4,+---,0.513574989,0.6976425362255289,0.5659728289330698,-1,1.1319456578661395
PLAG1,+++-,0.407082546,0.5661789534093682,0.6596953341223576,1,1.1323579068187364
RNF26,--++,0.599257184,0.566266418698165,0.7609060340982868,1,1.13253283739633
ZBED4,--+-,0.383760932,0.650051106846414,0.5662749969275834,-1,1.1325499938551669
SPPL2A,+-+-,0.569834374,0.7355746162996586,0.5662944092657985,-1,1.132588818531597
RIMKLB,+++-,0.601550051,0.5663220696996114,0.7388301942677187,1,1.1326441393992228
KDM7A,++--,0.380063388,0.6928961182786636,0.5663745668245798,-1,1.1327491336491595
NFATC2,+---,0.448676951,0.5663986474936227,0.743938875318513,1,1.1327972949872454
AUNIP,---+,0.34327609,0.6224918374838234,0.5665234042271362,-1,1.1330468084542724
RP2,-+--,0.534448415,0.7151889874178998,0.5665545818640702,-1,1.1331091637281403
CTD-2587H19.1,++-+,0.527160132,0.5666697627811871,0.7641606008964681,1,1.1333395255623742
RP11-1277A3.1,++-+,0.494164163,0.5667933926314768,0.6932871826097478,1,1.1335867852629535
CDC42-IT1,--+-,0.278503609,0.566831641257787,0.5893512102821735,1,1.133663282515574
RPP25L,+--+,0.509499022,0.566910159872455,0.6230783032622784,1,1.13382031974491
TAS2R50,+-+-,0.41673901,0.5669762447215851,0.6409423873802894,1,1.1339524894431703
RP13-192B19.2,+-+-,0.620663654,0.7632907525797066,0.566995539888755,-1,1.13399107977751
TOE1,-+-+,0.319981556,0.5853408714047103,0.5670519495594679,-1,1.1341038991189358
ZNF423,--++,0.43514992,0.5672177235398552,0.6824569272550884,1,1.1344354470797104
GTF2IRD2,+-+-,0.55628656,0.5672347603531569,0.7500374712589242,1,1.1344695207063138
CCDC171,--++,0.459461903,0.6006797873203781,0.5672926343052764,-1,1.1345852686105529
C1RL,-++-,0.384034902,0.6088491693481957,0.5673368706754373,-1,1.1346737413508745
LMOD1,--+-,0.365347202,0.5673524962069851,0.6981994450605371,1,1.1347049924139703
RP11-126K1.6,+++-,0.506483197,0.5674601452367045,0.7077125773514508,1,1.134920290473409
LPXN,---+,0.301000865,0.5674700733508141,0.6244485132302081,1,1.1349401467016282
RP11-425L10.1,-+++,0.551055999,0.5674865933720445,0.7202619818389148,1,1.134973186744089
RP11-102L12.2,++-+,0.664063321,0.5676897849935533,0.783427099678442,1,1.1353795699871065
ACTR1B,--++,0.568752554,0.7676264102753886,0.567797292534452,-1,1.135594585068904
RP4-683L5.1,---+,0.645484431,0.7640610942923968,0.5679897401820488,-1,1.1359794803640977
SNORA23,++--,0.659506853,0.5679983347823538,0.7810196276609009,1,1.1359966695647077
NBPF15,--+-,0.379899523,0.5680044529232074,0.6911210152612312,1,1.136008905846415
KAZALD1,++--,0.496183187,0.5680476817451121,0.7044782656992319,1,1.1360953634902242
CCRL2,+--+,0.379862586,0.6596063894224997,0.5680559373098739,-1,1.1361118746197478
CTBS,--++,0.471696713,0.5680661929250261,0.7339082619374262,1,1.1361323858500523
PHF1,---+,0.638077057,0.7433195012904057,0.5681038259449487,-1,1.1362076518898974
FASTK,--++,0.561902015,0.5681337774332851,0.7424491815179808,1,1.1362675548665702
NPM1P5,-+++,0.391589431,0.5683097170354385,0.652736019107533,1,1.136619434070877
MZT2A,+--+,0.485090812,0.6199596992499223,0.5683965828074212,-1,1.1367931656148424
CBFA2T2,+-++,0.527941253,0.5684140228811135,0.7082239588625521,1,1.136828045762227
HMG20A,---+,0.604985343,0.7402046282766517,0.5685259352755216,-1,1.1370518705510433
RP11-10J21.4,+-+-,0.64854032,0.7727775988498893,0.5685412020930035,-1,1.137082404186007
RP11-364B14.3,-++-,0.624778188,0.77872810725263,0.568640540718043,-1,1.137281081436086
NCK2,+-++,0.325182613,0.6376341924911698,0.568777624845197,-1,1.137555249690394
STARD3,--+-,0.394063106,0.6612414086266101,0.5689511021956757,-1,1.1379022043913514
BMS1P20,++++,0.725976044,0.5689548206500513,0.7998579847339037,1,1.1379096413001026
ECHDC2,--+-,0.330064999,0.6113428328922669,0.568964217001261,-1,1.137928434002522
RPS2,--++,0.418684591,0.6890104210897069,0.5690563617190626,-1,1.1381127234381252
KAT7,+-+-,0.570300507,0.6886950509502456,0.5691235869292077,-1,1.1382471738584155
RP11-1006G14.1,+-+-,0.336023739,0.5934098431500865,0.5691922223394446,-1,1.138384444678889
AP000266.7,+-+-,0.423250669,0.690411971878099,0.5691951145382046,-1,1.1383902290764092
PPP1R17,-+-+,0.372754207,0.5692677313645179,0.6072905302405496,1,1.1385354627290358
ZNF227,++--,0.417890071,0.569308144456973,0.6868803920776383,1,1.138616288913946
CYB5D2,+---,0.4132536,0.671721729952994,0.5693939403964253,-1,1.1387878807928506
UGGT1,-++-,0.316505209,0.5695552139927731,0.5867243347393107,1,1.1391104279855462
ZNF765,++--,0.544286931,0.5696159912908063,0.7085702872764793,1,1.1392319825816126
TAPT1,-+--,0.435748895,0.6770304150010331,0.569642495206581,-1,1.139284990413162
GALK1,+-+-,0.414311328,0.6215722141511124,0.569799861135447,-1,1.139599722270894
SNORA19,--+-,0.715086393,0.7900149384482553,0.5699483155834109,-1,1.1398966311668217
NPR2,+-+-,0.521150976,0.5699764164109424,0.7473905301263051,1,1.1399528328218849
CLGN,--++,0.399873816,0.5699822422772716,0.621855093394218,1,1.1399644845545431
RP3-337H4.6,---+,0.64495487,0.7844196088447593,0.5700027847094279,-1,1.1400055694188558
ANKRD65,--++,0.39906288,0.6270971304876366,0.5701558278881476,-1,1.1403116557762951
PAM16,--++,0.611039244,0.5701999449333269,0.7584517657342806,1,1.1403998898666539
PPIG,++--,0.479891991,0.5702603012601998,0.6403069611905988,1,1.1405206025203996
AC144652.1,+--+,0.505721702,0.5702621950254984,0.7198430493361374,1,1.1405243900509967
TREX1,-++-,0.546596082,0.6983276079948628,0.5703329278687447,-1,1.1406658557374894
MIR644A,++--,0.393956328,0.6646736829310409,0.5705056938735518,-1,1.1410113877471035
RP11-107I14.2,--+-,0.270822297,0.5705063580914537,0.587641282972222,1,1.1410127161829073
CYP19A1,-+++,0.329229002,0.5705714050895739,0.6162279235617182,1,1.1411428101791479
FAM219B,-+-+,0.397630052,0.6985256241438282,0.5705876554942061,-1,1.1411753109884122
RP6-74O6.6,+-++,0.458246192,0.5706004951321593,0.6751364094846497,1,1.1412009902643185
PAGR1,+++-,0.395946838,0.7094517168282368,0.5706667730191795,-1,1.141333546038359
RP11-450H6.3,+-+-,0.460439904,0.694179147726523,0.5706900283758097,-1,1.1413800567516195
MTO1,-+--,0.298590941,0.6002626355597855,0.5707501603895423,-1,1.1415003207790846
CINP,--++,0.401546099,0.6248903885527659,0.5708013128101934,-1,1.1416026256203868
HECTD1,-++-,0.384366921,0.5709272503539454,0.641780225477188,1,1.1418545007078909
AF131216.5,+++-,0.368928455,0.6748777783624805,0.5710534210767964,-1,1.1421068421535927
RGS7BP,+---,0.557030999,0.7704279781592931,0.5711001469981566,-1,1.1422002939963132
CTD-2201E9.2,+--+,0.342392478,0.5769754371335677,0.5711840712610644,-1,1.1423681425221288
PRR34,+++-,0.314420914,0.5712132754276822,0.6060300701817758,1,1.1424265508553644
PLTP,+++-,0.347538318,0.6662450562138134,0.5712522552651772,-1,1.1425045105303544
CYS1,+--+,0.479222149,0.5713322374909512,0.5927548191470042,1,1.1426644749819024
