gene_symbol,female_Anterior_Insula_female_BA11_female_BA25_female_BA8/9_male_Anterior_Insula_male_BA11_male_BA25_male_BA8/9,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p
ZNF443,+++-+---,0.006677099,0.02778722710592694,0.9258463972378486,1,0.05557445421185388
RP13-638C3.4,-----+-+,0.071156261,0.9880377947320854,0.027829078379553847,-1,0.055658156759107694
AC003080.4,--+-----,0.05950089,0.9981868143079266,0.027834615032872087,-1,0.055669230065744174
RNF219-AS1,+++-----,0.005395898,0.737649463337839,0.02783540507780549,-1,0.05567081015561098
FAM214A,-+--+---,0.004157678,0.9691496621119116,0.02791217355449347,-1,0.05582434710898694
KIAA1109,++++----,0.006454812,0.3860552265296869,0.027913802912794612,-1,0.055827605825589224
ZBTB41,++-+----,8.81811e-4,0.11325151336535408,0.027947283692728763,-1,0.055894567385457526
RP11-326G21.1,--++++++,0.0068683,0.02799450158975087,0.5736951144402981,1,0.05598900317950174
ITGA2,++++---+,0.011305342,0.028043104763376347,0.7843175852241933,1,0.056086209526752695
NUP214,----+--+,0.022579629,0.9667556104675651,0.028047836864439336,-1,0.05609567372887867
PDCL3P5,----+--+,0.035358158,0.983362947175886,0.028061636742050824,-1,0.05612327348410165
RNU6-759P,+-------,0.100193707,0.9622109753225728,0.02811490420922365,-1,0.0562298084184473
EPN1,+---++++,0.001202506,0.02813442165653205,0.6514782739110633,1,0.0562688433130641
CABLES2,-----+++,0.035621767,0.9199469071950646,0.028153153500565437,-1,0.05630630700113087
KCNJ3,++++++++,0.042473951,0.028176869067864912,0.991661797737377,1,0.056353738135729824
KIF27,+++++--+,0.038174634,0.028202391540400055,0.6969508620143121,1,0.05640478308080011
RN7SL711P,--+++-++,0.001475994,0.028212999429160224,0.15194580087932869,1,0.05642599885832045
DNAJB9,++++-+--,0.005313259,0.028214050193782217,0.36061695155186974,1,0.056428100387564434
FAM57B,-----+++,0.001581969,0.13604162282796617,0.028219286916691764,-1,0.05643857383338353
ALOXE3,+++-++++,0.071629172,0.028223487189816297,0.9980130017693133,1,0.05644697437963259
SCN3A,+---+---,0.018504877,0.9478297189498897,0.028245399901126227,-1,0.05649079980225245
RP4-657D16.3,+------+,0.048663197,0.9015794016917156,0.028249968366076565,-1,0.05649993673215313
VIPAS39,++++++++,0.063764875,0.02825605146333557,0.9993266713215512,1,0.05651210292667114
OAT,++++-+--,0.003313235,0.028282006546121282,0.8985769574638962,1,0.056564013092242564
RPH3AL,----++++,0.003718706,0.2230448071429976,0.028288292669868945,-1,0.05657658533973789
NWD1,--------,0.062220386,0.9978691116396778,0.028299427448543885,-1,0.05659885489708777
ACTG1P12,-----++-,0.017580369,0.7903960356589591,0.028300680789951384,-1,0.05660136157990277
RP5-1159O4.2,+-+-----,0.042558461,0.9841656030888941,0.02832384489218201,-1,0.05664768978436402
GMPS,++++-+--,0.004905148,0.028326613299374834,0.9096876347822634,1,0.05665322659874967
IGSF6,++++++++,0.044139254,0.02833898678216669,0.9983779647675974,1,0.05667797356433338
CYB561D2,-+++--++,0.015271802,0.02834162512768047,0.8212492200014646,1,0.05668325025536094
RPS6KA5,++++-+-+,0.009146689,0.028359196741844773,0.5053349446416667,1,0.056718393483689546
FOXH1,+--+++++,0.013646529,0.02836061356511193,0.9411837376128926,1,0.05672122713022386
SELENOI,++++----,0.002814087,0.028374153047928577,0.3499825902413444,1,0.056748306095857154
GATAD2B,--------,0.067314365,0.9983921305373725,0.028389547461253266,-1,0.05677909492250653
LTN1,-+-+----,0.023078828,0.8303728848542864,0.028390771817481647,-1,0.056781543634963294
SPINT2,++++++++,0.063412953,0.028394228735529378,0.999070470929081,1,0.056788457471058755
GNPAT,++++-+--,0.002932039,0.028395916509591494,0.8864952905725629,1,0.05679183301918299
RP11-7F18.2,++-+--++,0.005270273,0.028399349891002196,0.8342836892484251,1,0.05679869978200439
CTA-204B4.2,-------+,0.032475238,0.9882489760269348,0.028407766528118054,-1,0.05681553305623611
NTRK2,++------,0.032451473,0.9648646789867442,0.02841377662959262,-1,0.05682755325918524
NDUFB8,+-+-++++,0.008755108,0.028418437455921652,0.8750003150531235,1,0.056836874911843305
RNU6-1016P,----+---,0.054069955,0.9858555930885101,0.02842554262365993,-1,0.05685108524731986
RMI2,-+------,0.089053063,0.9977019548767229,0.0284291447347516,-1,0.0568582894695032
MFSD3,++++--++,0.021604507,0.028432064352386877,0.8662209411742927,1,0.05686412870477375
NAPB,++-+++++,0.15790766,0.0284651482480483,0.9983923992776755,1,0.0569302964960966
RP11-981G7.1,----++--,0.08699895,0.9878967974099954,0.028485616223390076,-1,0.05697123244678015
RP11-727F15.11,+++--++-,0.052164,0.028492039073692015,0.9591954775164535,1,0.05698407814738403
