gene_symbol,female_Anterior_Insula_female_BA11_female_BA25_female_BA8/9_male_Anterior_Insula_male_BA11_male_BA25_male_BA8/9,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p
EVC2,+-+-+---,0.363142253,0.5457045468811371,0.7987492486860955,1,1.0914090937622742
FGFR3,+++--++-,0.110072431,0.3689393907992485,0.7574472272035948,1,0.737878781598497
SCAPER,+---+---,0.088359414,0.32586751896204663,0.6845739915358542,1,0.6517350379240933
STK36,--+-+++-,0.044330114,0.9513480573450164,0.20751793697802395,-1,0.4150358739560479
SLC25A34,+++-+--+,0.053627323,0.5523694351562194,0.4922655366629759,-1,0.9845310733259518
RAD23BP1,-+--+-+-,0.049194372,0.6579673601298635,0.3131487308861842,-1,0.6262974617723684
HS3ST5,-++----+,0.113241192,0.3664495899060552,0.700037283888578,1,0.7328991798121104
RUNDC3A-AS1,----++++,0.127660327,0.9983311045866893,0.05687429572639795,-1,0.1137485914527959
HDC,+++-+---,0.115897879,0.21521195489603967,0.7562947417764483,1,0.43042390979207934
INSYN2B,++-++--+,0.053554764,0.3462323267206908,0.6957411924730643,1,0.6924646534413816
POLR1A,--+-++++,0.174208319,0.8566866838855862,0.38632188509159543,-1,0.7726437701831909
NKAIN1,-++---+-,0.155232254,0.2750253994074827,0.9459947452885391,1,0.5500507988149654
CYFIP2,---+++++,0.25799491,0.981814859344299,0.1959228399958995,-1,0.391845679991799
MIP,+---++-+,0.122949877,0.8492024608162027,0.20721158108826995,-1,0.4144231621765399
TEX22,+-+-++++,0.284869108,0.9527975271182239,0.2793626275057834,-1,0.5587252550115668
AK3,+++--+--,0.282057827,0.19969028613380949,0.9588185785332071,1,0.39938057226761897
TMEM163,--++-++-,0.059400386,0.9260853598459979,0.11915114421490604,-1,0.23830228842981208
