gene_symbol,male_Anterior_Insula_male_BA11_male_BA25_male_BA8/9_male_Nac_male_Subic,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p
RP1-90J20.12,+++++-,0.018733696,0.0195572664343998,0.9812216506902283,1,0.0391145328687996
SPX,------,0.031897217,0.9980328263061811,0.019578585725444218,-1,0.039157171450888435
RPS16,+-++-+,0.019036449,0.01959293046250454,0.9259209294306106,1,0.03918586092500908
C3orf67,+++-++,0.085736287,0.019602104809664896,0.9959497821199466,1,0.03920420961932979
DPP7,++++-+,0.051695049,0.019624952471350158,0.9884100193025875,1,0.039249904942700316
FSD1,-+++++,0.016443229,0.019638824538357993,0.9758035915227562,1,0.039277649076715986
BRINP2,--+--+,0.026526345,0.5955225859051567,0.019652633050559264,-1,0.03930526610111853
DNAJC27,------,0.190791787,0.9995355313961561,0.019658089963433857,-1,0.039316179926867714
CEACAMP5,+-++++,0.027121446,0.01966504509452658,0.9746917360838849,1,0.03933009018905316
UBR5,+---+-,0.009037776,0.7902119749743213,0.019672123181950153,-1,0.039344246363900305
KRT8P46,++-+++,0.030944516,0.019682946263816337,0.9914013406255501,1,0.03936589252763267
HUS1B,++--++,0.001233468,0.019693168281103506,0.8637359438704567,1,0.03938633656220701
C14orf28,+---+-,0.02068321,0.9622292940670693,0.019696338288088786,-1,0.03939267657617757
CCDC80,----+-,0.105289234,0.9941720838463057,0.019706440029719097,-1,0.039412880059438195
CPNE7,+++--+,0.009754364,0.019713327991992234,0.9740931161852382,1,0.03942665598398447
RP11-38P22.2,------,0.036402788,0.9959934926426288,0.01971394424702755,-1,0.0394278884940551
IQCC,+++---,0.004796664,0.01972195875074474,0.8447891536981951,1,0.03944391750148948
IVD,++++++,0.08577094,0.019744513104511693,0.9972519387200436,1,0.039489026209023385
RASA2,------,0.00413471,0.9848996617219211,0.019756245428657143,-1,0.039512490857314286
MIR3117,+---+-,0.015936277,0.8928429360968386,0.019776003393024367,-1,0.039552006786048734
PCBP3,++++++,0.08224524,0.01980939822164868,0.9982645043378021,1,0.03961879644329736
RP11-79P5.9,-++++-,0.02389991,0.019814016950583685,0.8877968710199465,1,0.03962803390116737
CEP192,++-+++,0.051152844,0.01982082217457983,0.9857947439950694,1,0.03964164434915966
NCAM2,------,0.100084029,0.9975333314755404,0.019823020815110233,-1,0.039646041630220466
ZNF92,-+----,0.067683917,0.9893346473964112,0.019850231900549006,-1,0.03970046380109801
SNHG19,++-+++,0.006614337,0.019853497960044163,0.9298217054590384,1,0.03970699592008833
LEAP2,----+-,0.017106418,0.9669579985492451,0.019860306510511884,-1,0.03972061302102377
UBXN1,+-++++,0.033809756,0.019864550502653476,0.9728275179900729,1,0.03972910100530695
RN7SL4P,++++-+,0.025601224,0.019869109004118563,0.9859343635524856,1,0.039738218008237125
ATE1-AS1,++++++,0.111290302,0.019876209894737068,0.9983845583333913,1,0.039752419789474136
RP11-332H17.1,-+++++,0.002840974,0.019877549933078,0.7438490656577388,1,0.039755099866156
