gene_symbol,RamakerDir,LabonteDir,DingDir,meta_meta_higher_in_MDD_genome_percentile_rank,meta_meta_lower_in_MDD_genome_percentile_rank,meta_direction,meta_empirical_p,minp,Corrected_meta_empirical_p,Bonferroni_meta_empirical_p
PLOD2,---,------,+--+,0.03494087269409093,0.018960089040397934,-,0.0379,0.005516948,10.2,1
TCEA2,++-,++++-+,--+-,0.035526422191714195,0.018998929837740278,-,0.038,0.001579845,10.2,1
PPP1R3C,+-+,-----+,----,0.026627023095629466,0.01902303353282848,-,0.038,0.00128633,10.2,1
TMEM9B,+--,------,++-+,0.0349916534846544,0.019025961545662662,-,0.0381,0.006290292,10.2,1
NSG1,+-+,++-+++,---+,0.029665467429897955,0.019027326219325024,-,0.0381,0.0092350637460128,10.2,1
SIRT6,++-,++++++,+++-,0.025902301961158843,0.01903547904139924,-,0.0381,0.001475376,10.2,1
TSPAN33,++-,++-+--,--+-,0.024121857557215545,0.019059179030576957,-,0.0381,0.020802528,10.3,1
CAPZA1,---,--+---,++--,0.02216278654595265,0.01906117132940437,-,0.0381,0.001636423,10.3,1
C1orf123,+++,++++++,--++,0.03161326288328582,0.01909354742305883,-,0.0382,0.043124417,10.3,1
MGAT4C,+-+,------,--++,0.033485442434533434,0.019115675908286573,-,0.0382,0.002131326,10.3,1
OR51A2,+++,NA,NA,0.025553274013232947,0.019163862430844694,-,0.0383,0.017933452845513915,10.3,1
GAPDH,++-,-+++-+,----,0.02456281298754304,0.01918075066624968,-,0.0384,0.004582047,10.3,1
IL19,-++,NA,NA,0.0257243896874287,0.0192208977356984,-,0.0384,0.041007577346113516,10.3,1
SYNGR4,++-,NA,NA,0.02566735112936345,0.0192208977356984,-,0.0384,0.005985723054944983,10.3,1
ABLIM3,+--,++++++,++++,0.035525205670536866,0.019251630338481467,-,0.0385,0.01513121,10.4,1
SCP2D1,++-,NA,NA,0.025781428245493954,0.0192779330405521,-,0.0386,0.03687337966881908,10.4,1
OGDHL,+-+,++++++,----,0.027059524228170293,0.019298403490012325,-,0.0386,0.013691763,10.4,1
RPL11,++-,++++++,+-++,0.03144847727974073,0.01931123691989042,-,0.0386,0.017591135,10.4,1
