gene_symbol,RamakerDir,LabonteDir,DingDir,meta_meta_higher_in_MDD_pvalue,meta_meta_lower_in_MDD_pvalue,meta_direction,meta_p,minp,Corrected_p,Bonferroni_meta_p
ZNF85,-+-+,+-+++++-,++++++,0.37002726716311046,0.33703945030554994,-,0.674,0.006494663,181,1
CLCN6,+++-,+-+-+-++,+-----,0.3370530146425578,0.8486811782996574,+,0.674,0.05043427,181,1
ZP4,+---,NA,NA,0.3370807780149685,0.9024223332495434,+,0.674,0.4700993119865696,181,1
GLYATL2,--++,+--+-++-,NA,0.9383663291041973,0.33709147777959136,-,0.674,0.1360833439975505,181,1
BMPR1A,++--,-++-++--,+-+-++,0.33714385493766985,0.8153195798545441,+,0.674,0.04495918675651505,181,1
ENTPD7,++-+,--+--++-,NA,0.3372505069708437,0.3446691347001624,+,0.675,0.018977606,181,1
RAB22A,-+++,+-++-++-,-----+,0.8052342587484382,0.337335620819815,-,0.675,0.034969288,181,1
CRLF1,+-+-,+++++++-,-++---,0.33733806425940543,0.7301898094219146,+,0.675,0.05872062275210037,181,1
UNKL,---+,+++--+-+,++++-+,0.33749555254248637,0.7641984217617483,+,0.675,0.041385581,182,1
GRB14,++++,++-++++-,-++---,0.34421511122112625,0.3375105705217362,-,0.675,0.051077013,182,1
KRT16,+---,NA,NA,0.33759899479105626,0.3745321196592313,+,0.675,0.06639120921149029,182,1
FAM71A,--+-,NA,++----,0.33770481544551617,0.8548104147712079,+,0.675,0.168601873,182,1
AQP12A,-+-+,NA,NA,0.33781591254349136,0.79273058373765,+,0.676,0.2723679492346686,182,1
EDDM3B,-+-+,NA,NA,0.3378249816475378,0.7915709813003091,+,0.676,0.20466730138286876,182,1
UXS1,+-+-,----+--+,++----,0.33786499234782774,0.3492779260082376,+,0.676,0.132393522,182,1
NMNAT3,---+,-----+--,+-++-+,0.8148796013064391,0.3379264246170803,-,0.676,0.029341343,182,1
DHRS1,+--+,----+-+-,------,0.5453698575877969,0.33795049542083866,-,0.676,0.007933801,182,1
CDCA4,--+-,-+-+-+-+,NA,0.8760705203008554,0.33799095126878503,-,0.676,0.13454871,182,1
ASCL1,+-++,--+-----,-+----,0.33802399660712784,0.7098413617209205,+,0.676,0.105990637,182,1
RNF135,---+,-++-++-+,+---+-,0.6024494599596834,0.3380482981820724,-,0.676,0.023342497,182,1
AQP6,----,-+++-+-+,-+++--,0.33810758914982675,0.48435052792748035,+,0.676,0.023687828,182,1
KRT86,+--+,NA,+----+,0.7406001457659706,0.33813129088718924,-,0.676,0.078583801,182,1
SH2D7,++++,NA,NA,0.33815945983754125,0.6290042500103912,+,0.676,0.2520166969407076,182,1
UCK1,+-+-,+++-+-++,++++-+,0.3382386835971028,0.7509289085329212,+,0.676,0.090551643,182,1
FANCD2OS,--+-,NA,NA,0.7799611643502403,0.33824848248850786,-,0.676,0.294002571244405,182,1
HOXA9,+---,NA,NA,0.6473786769688602,0.3383092975063426,-,0.677,0.09075815605365199,182,1
C9orf152,++--,NA,NA,0.3383607905596431,0.891285682436411,+,0.677,0.3683078110592517,182,1
KRT72,-++-,NA,NA,0.4879664264609207,0.33839741692066544,-,0.677,0.14300515176733558,182,1
BEST4,+--+,--+++--+,NA,0.5683015182950854,0.338455218896339,-,0.677,0.03585130308870026,182,1
ABCD4,----,+-+-+--+,NA,0.33855824725305544,0.8739115106567021,+,0.677,0.055786177580558705,182,1
PTGES3L,+---,+----+--,NA,0.33856109441553933,0.6815891200863181,+,0.677,0.14482305783215033,182,1
DRG1,+++-,++++++++,+-----,0.33857420878968064,0.5734739427509046,+,0.677,0.02750314491868489,182,1
KRT26,----,NA,NA,0.33858281339030327,0.5740028074022915,+,0.677,0.25734684743567166,182,1
CNTLN,----,+-+-++-+,NA,0.5567017984539918,0.3386861265216094,-,0.677,0.044386617,182,1
KCNN4,++--,+---+-++,+-+-++,0.3388285970497949,0.6119896913469751,+,0.678,0.06895147037653936,182,1
EML1,-++-,--+-+---,-+---+,0.8724004011105175,0.3388288206544976,-,0.678,0.045407678,182,1
SMIM4,-+-+,-++--+-+,NA,0.42558559776367766,0.33884967098500435,-,0.678,0.03967696846205879,182,1
PCDHB6,+-+-,----+---,NA,0.33887210107458804,0.7975527019085544,+,0.678,0.105708849,182,1
GALR3,--+-,NA,NA,0.8826948079513552,0.33901027402184236,-,0.678,0.3994316299301129,182,1
SSTR1,-+++,+--++-+-,-+---+,0.812562864346926,0.33904309381808456,-,0.678,0.065354334,182,1
TLR10,-+-+,+++-++++,NA,0.3390828528414345,0.6556084706967359,+,0.678,0.043310392,182,1
SZT2,++--,----+--+,NA,0.4638208429183258,0.3391046707785049,-,0.678,0.092127536,182,1
MT1F,+---,+-+-++++,+-----,0.3391274163628095,0.5850979270338397,+,0.678,0.038545974,182,1
LNP1,-+++,++++-+-+,-+---+,0.33913030741343353,0.8021533313791035,+,0.678,0.016055243,182,1
FAM46A,---+,-++--+--,NA,0.6340822141837906,0.3391348143994509,-,0.678,0.07462709985454712,182,1
CATSPER3,+--+,NA,NA,0.6234481921232046,0.3392241543790009,-,0.678,0.21144482889286093,183,1
FAM162B,+-++,-+--+++-,NA,0.9400759318650429,0.3392354879313944,-,0.678,0.109941178,183,1
CLLU1,---+,NA,NA,0.8705701143656904,0.33928818019604284,-,0.679,0.4324732979844368,183,1
CXCL10,+---,++++++++,NA,0.33944486611420244,0.36805192244227297,+,0.679,0.05582013822316826,183,1
ENC1,++++,-+-++-+-,++----,0.33945228046840525,0.7006611599104071,+,0.679,0.068210774,183,1
