gene_symbol,RamakerDir,LabonteDir,DingDir,meta_meta_higher_in_MDD_genome_percentile_rank,meta_meta_lower_in_MDD_genome_percentile_rank,meta_direction,meta_empirical_p,minp,Corrected_meta_empirical_p,Bonferroni_meta_empirical_p
CEP152,----,+++++--+,NA,0.11318136863952974,0.1004731906870884,-,0.201,0.093916407,54.1,1
FUCA1,++++,++++-+--,-+-+--,0.10049185593119031,0.1148957885189234,+,0.201,0.01555538,54.1,1
TBCE,++++,--+-++-+,-+++-+,0.10049374638015227,0.11706803917570667,+,0.201,0.034813334,54.1,1
GNAT2,--+-,NA,NA,0.10049620715222723,0.11841204654346338,+,0.201,0.10325452653681187,54.1,1
ACOT2,+-++,+++---+-,NA,0.11316214066066324,0.10052070135860604,-,0.201,0.114925662,54.1,1
SLC5A12,++-+,+++--+--,NA,0.12497498574612391,0.10052792436224936,-,0.201,0.037970363,54.1,1
HIST1H2BN,----,----++++,NA,0.1638920928582622,0.10053250093893917,-,0.201,0.005129735,54.1,1
NOC3L,-+--,++++++--,+---++,0.10054287096177242,0.11533668450671201,+,0.201,0.069314888,54.1,1
LHX1,+++-,NA,NA,0.10055897786903947,0.11851936348599783,+,0.201,0.15791658213790166,54.1,1
MTSS1L,+---,----++++,NA,0.13572814590461676,0.10058733108439083,-,0.201,0.026896138,54.1,1
ABHD10,+++-,++-+-+--,-+---+,0.11799672157240326,0.10061832621719206,-,0.201,0.006384831,54.1,1
PPP2R1A,+-+-,-+---+++,+---+-,0.10061872931074109,0.1022486241531014,+,0.201,0.036279824,54.1,1
MTURN,--+-,++++--++,--++++,0.11378616051304245,0.10062492864373616,-,0.201,0.064605573,54.1,1
CLIC1,++--,-++-++++,+---++,0.1234170177407409,0.10065168550532887,-,0.201,0.011148066,54.2,1
SUDS3,-+--,++-++-+-,+-++++,0.10065626296263368,0.1049777217073977,+,0.201,0.008614888,54.2,1
ZNF778,++++,+-+++---,NA,0.10068948581659244,0.10406386963139773,+,0.201,0.088965107363247,54.2,1
ST3GAL3,+++-,----++++,++---+,0.11370642310248391,0.10069317236538279,-,0.201,0.022708359,54.2,1
MLLT4,-+-+,+-------,NA,0.1585897080596551,0.1006938601393174,-,0.201,0.063222317,54.2,1
FCGRT,----,++++++++,---++-,0.12187485844166616,0.10069658932693903,-,0.201,0.09628736,54.2,1
C19orf38,-+--,+-+++-++,NA,0.16729586014738004,0.10071221293704227,-,0.201,0.027183131,54.2,1
KLHL12,+++-,++++-++-,-+---+,0.12676017312321136,0.10073687986840549,-,0.201,0.031595131,54.2,1
ST3GAL4,----,-++-----,+++---,0.1007692705977653,0.10195279725391977,+,0.202,0.058267208,54.2,1
ANP32B,--+-,+-+-+--+,--++++,0.11110810783472547,0.10080226649717415,-,0.202,0.010676594,54.2,1
C1QC,-+--,++++++++,+---+-,0.12180903744911394,0.1008117900597862,-,0.202,0.003145412,54.2,1
KBTBD2,+++-,-+++----,---++-,0.13097213282843992,0.10083623876556043,-,0.202,0.009811879,54.2,1
ABCG1,-+--,-+++-+--,+---+-,0.10084608311871301,0.12329964311280092,+,0.202,0.047422525,54.3,1
ENDOU,+++-,++------,NA,0.14535553939202556,0.1008520578212242,-,0.202,0.132081742,54.3,1
SYT17,++++,+--++-++,++++-+,0.10085294895671418,0.13115666887418176,+,0.202,0.028503371,54.3,1
RHOG,-+--,-+++---+,---+++,0.10085956874700944,0.12592284994522399,+,0.202,0.051532397,54.3,1
LRRC28,++++,++--+-+-,--+---,0.10086013334860203,0.11957920189271311,+,0.202,0.106123221,54.3,1
FAM45A,++++,+-+++++-,-++-+-,0.10088261280468343,0.1019472392935605,+,0.202,0.066764742,54.3,1
DNAJC21,+---,+-+++---,+-++++,0.10680127200546342,0.10089495790632069,-,0.202,0.026268258,54.3,1
CNOT11,++++,-+++-++-,+-++-+,0.10092302814157825,0.1374478220759517,+,0.202,0.11169253491225895,54.3,1
PYCR2,----,++++-+++,+--+++,0.10856382601082946,0.10093260016297372,-,0.202,0.02268179,54.3,1
ILDR2,-+++,------+-,NA,0.18106183041896468,0.10104180756854879,-,0.202,0.009003776,54.4,1
MICU3,++++,++-++++-,-+++-+,0.1074694391765558,0.10105142988479263,-,0.202,0.026612544,54.4,1
ZBED4,-+-+,----++-+,NA,0.1709930487446479,0.10106583835019987,-,0.202,0.015733737,54.4,1
PTCD2,+++-,++++-+-+,---+-+,0.1420417575078086,0.1011193475847604,-,0.202,0.005399204,54.4,1
OR8U1,+++-,NA,NA,0.10112936344969199,0.11897564592482747,+,0.202,0.0761722733465259,54.4,1
AIFM2,++++,++--+---,NA,0.10905440135571638,0.10113834441775565,-,0.202,0.15124282490144275,54.4,1
SRRM5,---+,----++-+,-+-+--,0.1011707275328304,0.10334589213707868,+,0.202,0.020370693,54.4,1
AIM1,---+,+++-++++,NA,0.1649613843792321,0.10117785793036346,-,0.202,0.158936394,54.4,1
APOA4,+++-,NA,NA,0.10118640200775725,0.11897564592482747,+,0.202,0.0830774302432549,54.4,1
CYFIP2,++++,---+++++,+++---,0.10119276730907736,0.11446497873642365,+,0.202,0.023648315,54.4,1
MYRIP,++++,++-+++++,-+++-+,0.1202985887253282,0.1012204141813352,-,0.202,0.0369932,54.5,1
