gene_symbol,female_ACC.1_female_ACC.2_female_AMY_female_DLPFC_male_ACC.1_male_ACC.2_male_AMY_male_DLPFC,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p
SLC38A11,+-++-+--,0.065972753,0.10434594992383978,0.9363633842224972,1,0.20869189984767955
IL10RB,--+++-+-,0.069778464,0.3245169970898585,0.7707857760513106,1,0.649033994179717
ZBTB39,+--+++-+,0.039861236,0.7486582569643931,0.22167155796586474,-1,0.4433431159317295
TCEAL2,++-+-+++,0.096197004,0.5246935974298395,0.46267153091765684,-1,0.9253430618353137
PROM1,+-+--+++,0.071375936,0.9499825556964295,0.09811203154606736,-1,0.19622406309213472
NSUN5,--++--++,0.164763109,0.558605067724505,0.5250693554722605,-1,1.050138710944521
VWF,-+++-+-+,0.12447397,0.5073554651893766,0.7382561401864391,1,1.0147109303787532
LEO1,++-----+,0.13983661,0.4874906969374208,0.6222196320856024,1,0.9749813938748416
FLJ36208,-+-+-+--,0.121615449,0.38327543677010034,0.5407179949319623,1,0.7665508735402007
UNC13B,-++++-+-,0.13896882,0.1697958201998201,0.9050875481679486,1,0.3395916403996402
PABPC4,++--+++-,0.09608867,0.4690116191540616,0.582112314860968,1,0.9380232383081232
BRAP,+--+---+,0.042517697,0.6464471647742942,0.25755677642884545,-1,0.5151135528576909
NOVA2,-+-+--+-,0.116528558,0.3534847732001981,0.6602747069240107,1,0.7069695464003962
SLC30A10,+--+-+++,0.136737266,0.8391435785041095,0.1565577269442169,-1,0.3131154538884338
