gene_symbol,female_ACC.1_female_ACC.2_female_DLPFC_male_ACC.1_male_ACC.2_male_DLPFC,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p,meta_Up,meta_Down,empirical_meta_p
RASSF2,---+++,0.051528277,0.9999771349433244,0.0018270839683480456,-1,0.003654167936696091,0.03264849471114727,0.045773573390296,0.06529698942229455
HCK,-+-+-+,0.088884363,0.5254237407082601,0.3718739074163593,-1,0.7437478148327186,0.4685720097640358,0.4445122571457634,0.8890245142915268
YTHDF3,----++,0.023791386,0.9638129010337315,0.01216437591424528,-1,0.02432875182849056,0.09896257119609439,0.11687519072322246,0.19792514239218878
HMGB1,+---++,0.065412266,0.802585273562738,0.02896265561263381,-1,0.05792531122526762,0.15449552481692433,0.17424473603906013,0.30899104963384866
C1orf123,-+---+,0.131115262,0.6869380057485085,0.35105416468167516,-1,0.7021083293633503,0.459519934906428,0.4384091140270573,0.8768182280541146
NUP205,-+-+--,0.073479494,0.9282106581188542,0.11499209592838903,-1,0.22998419185677807,0.29922701383238404,0.3005797985962771,0.5984540276647681
MAP3K10,-++++-,0.051185768,0.1847703726622737,0.6688674502450409,1,0.3695407453245474,0.36476452039466994,0.3580146460537022,0.7160292921074044
GPR158,------,0.128815169,0.2170512673026956,0.9094284614935525,1,0.4341025346053912,0.3884650595056454,0.3780512611879577,0.7561025223759154
COX4I1,+++---,0.018296161,0.0037706169456239473,0.996915249908062,1,0.0075412338912478945,0.05197843556098057,0.06560211554109031,0.10395687112196114
CNP,---+++,0.053895131,0.9999812110958894,9.401777481940946e-4,-1,0.0018803554963881892,0.022375915378356388,0.031939782321228766,0.044751830756712775
ZNF223,+-++++,0.107452996,0.9130029388657209,0.15484582852866424,-1,0.3096916570573285,0.33909682668836455,0.33577459058081577,0.6715491811616315
MC4R,---+++,0.033206086,0.9913890903012985,0.032613409457258706,-1,0.06522681891451741,0.16639544344995932,0.18126335062557217,0.33279088689991865
FLRT2,+++---,0.052673315,0.002556271160055717,0.9999106956967743,1,0.005112542320111434,0.039772149323568304,0.05268510984540277,0.07954429864713661
TMBIM1,+-++++,0.041052154,0.9846655313918027,0.019940865956885868,-1,0.039881731913771735,0.12693246541903988,0.14749262536873156,0.25386493083807976
CYB561D2,---++-,0.028282865,0.9865309845827437,0.024240601479278055,-1,0.04848120295855611,0.1403580146460537,0.16061438307394976,0.2807160292921074
FAM22F,++----,0.078332772,0.029370241115999115,0.9884891663325519,1,0.05874048223199823,0.15583358763096328,0.1750406834825061,0.31166717526192655
NFIX,+-++-+,0.02668839,0.05181013553456101,0.42136043514820765,1,0.10362027106912201,0.20872749465974977,0.21816517493897478,0.41745498931949954
ENG,-++++-,0.04575927,0.24764231420725022,0.2044200662160816,-1,0.4088401324321632,0.3796786004882018,0.37168141592920356,0.7433628318584071
KY,-++-++,0.034394757,0.6778356228765194,0.12249324433959637,-1,0.24498648867919273,0.30736371033360455,0.30708981792289697,0.6141796358457939
TMEM64,+--+-+,0.011082678,0.8046243511294395,0.01519209405569913,-1,0.03038418811139826,0.10994711147274207,0.13020038653239752,0.21989422294548414
