gene_symbol,female_ACC.1_female_ACC.2_female_AMY_female_DLPFC_male_ACC.1_male_ACC.2_male_AMY_male_DLPFC,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p
SLC2A11,-++-----,0.051103652,0.5836793710072898,0.14488960991976157,-1,0.28977921983952315
MARK1,++-++---,0.045640356,0.4913034200912046,0.14490708710078415,-1,0.2898141742015683
KCNA4,+---+--+,0.045000468,0.3328858822178288,0.14494996872655252,-1,0.28989993745310505
MLL3,--+-++++,0.04718661,0.14502330777611208,0.3078867053364469,1,0.29004661555222416
FBLN2,--+---++,0.02768764,0.4029385607865934,0.14502810028387902,-1,0.29005620056775805
SLIT3,---++---,0.119265356,0.9008097176288562,0.14507942623694256,-1,0.2901588524738851
IKZF5,-+--++++,0.030311049,0.14514448939625574,0.4035635785448887,1,0.2902889787925115
ZNF544,-+-+----,0.073149064,0.7197700291989746,0.14517730598897804,-1,0.2903546119779561
PRMT1,---+-+++,0.045246536,0.14518261303223937,0.5164427265534599,1,0.29036522606447873
NXT1,++---+--,0.016568914,0.790159321659867,0.14521592683683957,-1,0.29043185367367913
DPH2,-++++---,0.04706985,0.7463670611132793,0.14524525669120172,-1,0.29049051338240345
ZNF75A,-+++-++-,0.020233708,0.14528725678048585,0.4052860514977292,1,0.2905745135609717
