gene_symbol,female_ACC.1_female_ACC.2_female_DLPFC_male_ACC.1_male_ACC.2_male_DLPFC,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p,meta_Up,meta_Down,empirical_meta_p
CCK,++----,0.020000749,0.6538102479560712,0.015519470932526109,-1,0.031038941865052218,0.06956168005695108,0.10720097640358014,0.13912336011390217
DKFZP564O0823,++++++,0.136193633,0.015550244915780017,0.9996213038841093,1,0.031100489831560035,0.06956875508543531,0.1072917726024611,0.13913751017087062
VPS25,-+--++,0.026361049,0.876973379038693,0.015564256773615854,-1,0.031128513547231708,0.06966337841960744,0.1073026851098454,0.1393267568392149
B3GALNT1,-+--++,0.004957678,0.0155737134388127,0.03582565129513311,1,0.0311474268776254,0.06967046379170057,0.10739347096511746,0.13934092758340114
C14orf102,++++-+,0.028339513,0.015575965291258143,0.8905362634870571,1,0.031151930582516286,0.06977217249796583,0.10739347096511746,0.13954434499593166
FUZ,--+---,0.023333895,0.9507612181160842,0.015609692621195223,-1,0.031219385242390447,0.06986677514492017,0.10740439381611067,0.13973355028984033
ZNF140,-+++++,0.013714326,0.015609915469776385,0.9920467653019853,1,0.03121983093955277,0.06987388120423108,0.10749516932777382,0.13974776240846215
ARHGAP26,+---+-,0.040485674,0.9114863753876755,0.015611119755580362,-1,0.031222239511160724,0.06996847350757653,0.10750610252237591,0.13993694701515305
BOC,-++---,0.011509925,0.7783420431540083,0.015625325708702422,-1,0.031250651417404844,0.06996847350757653,0.10760781122864117,0.13993694701515305
GSTA4,-----+,0.031535206,0.992547743062695,0.01563412428035829,-1,0.03126824856071658,0.06996847350757653,0.10770951993490643,0.13993694701515305
KLHL20,++-+++,0.013746255,0.01566616365066867,0.5657326235901303,1,0.03133232730133734,0.06997558991049634,0.1078002644157429,0.13995117982099267
GPR26,+++--+,0.002796723,0.015668055775628208,0.20937495454786106,1,0.031336111551256415,0.0700772986167616,0.1078002644157429,0.1401545972335232
C5orf41,--+-++,0.012871067,0.015701752127411525,0.7135159930979883,1,0.03140350425482305,0.07017900732302686,0.1078002644157429,0.1403580146460537
SENP7,+---++,0.015401873,0.015716843293022986,0.10445697915476923,1,0.03143368658604597,0.0702807160292921,0.1078002644157429,0.1405614320585842
SHC4,---++-,0.007527154,0.24542373360603803,0.015719681922708475,-1,0.03143936384541695,0.07037526695820197,0.10781122864117168,0.14075053391640394
TCOF1,--+---,0.043182397,0.8935068749725794,0.015776129430331003,-1,0.03155225886066201,0.07037526695820197,0.10791293734743694,0.14075053391640394
EDEM2,------,0.048686704,0.9954095799014164,0.015781381352264843,-1,0.031562762704529686,0.07037526695820197,0.1080146460537022,0.14075053391640394
HDGFRP3,----++,0.006086423,0.30370106303662453,0.015817729013171303,-1,0.03163545802634261,0.07037526695820197,0.10811635475996745,0.14075053391640394
TAF5,+-+---,0.017704588,0.9041005675777659,0.015855438371135386,-1,0.03171087674227077,0.07037526695820197,0.10821806346623271,0.14075053391640394
ATOX1,-----+,0.027507584,0.9832214063398023,0.015867454191341227,-1,0.031734908382682454,0.07037526695820197,0.10831977217249797,0.14075053391640394
RPL38,++----,0.028905993,0.9470243512848233,0.015873389479312928,-1,0.031746778958625856,0.07037526695820197,0.10842148087876322,0.14075053391640394
PBX1,-++--+,0.002047846,0.015918467937133064,0.2844597517516417,1,0.03183693587426613,0.07038242473555736,0.10851215295433743,0.14076484947111473
C4orf41,++++-+,0.046704775,0.01591925367609561,0.9892768381896307,1,0.03183850735219122,0.07048413344182262,0.10851215295433743,0.14096826688364525
WNT5B,+++---,0.005257491,0.6604186215673367,0.015920318252520868,-1,0.031840636505041736,0.07057866368351469,0.10852318958502848,0.14115732736702938
ABCF1,-+----,0.020717416,0.9627048838568766,0.015924415352361224,-1,0.03184883070472245,0.07057866368351469,0.10862489829129374,0.14115732736702938
POLK,+--+++,0.010083521,0.015926274153385673,0.49088914631097436,1,0.031852548306771346,0.07058584214808787,0.10871554967965016,0.14117168429617574
EDNRB,-----+,0.003038858,0.9474489697410352,0.016018658631722422,-1,0.032037317263444845,0.07068036204617106,0.108726606997559,0.14136072409234213
SMAD9,++-+-+,0.018705805,0.016021792359332356,0.9218497117407379,1,0.03204358471866471,0.07068755085435313,0.10881724804230652,0.14137510170870626
RNF10,+-----,0.041168633,0.9731117036850535,0.01602322153865445,-1,0.0320464430773089,0.07078206040882742,0.10882831570382424,0.14156412081765485
THUMPD3,--++-+,5.01592e-4,0.01607277242162607,0.03537841908162297,1,0.03214554484325214,0.07078925956061839,0.10891894640496289,0.14157851912123678
PRKAG2,----+-,0.019529494,0.48873857720309005,0.01609808820895762,-1,0.03219617641791524,0.07088375877148378,0.1089300244100895,0.14176751754296757
CHCHD2,-+---+,0.008722472,0.9366523427195175,0.016100946327245968,-1,0.032201892654491936,0.07088375877148378,0.10903173311635476,0.14176751754296757
KCNIP4,-+---+,0.004422378,0.1772726409662692,0.016101603192915804,-1,0.03220320638583161,0.07088375877148378,0.10913344182262001,0.14176751754296757
CSF1R,----+-,0.026040824,0.8966356762484965,0.016107217992710712,-1,0.032214435985421425,0.07088375877148378,0.10923515052888527,0.14176751754296757
MYT1L,++---+,0.010057022,0.016129828816789493,0.1469067309366005,1,0.032259657633578985,0.07089096826688364,0.10932573985558833,0.14178193653376728
TMEM50A,+--+++,0.015389888,0.0161467676701989,0.5406033366574601,1,0.0322935353403978,0.0709926769731489,0.10932573985558833,0.1419853539462978
MED26,+++-++,0.016644288,0.016150662488625348,0.9484748017743746,1,0.032301324977250696,0.07109438567941416,0.10932573985558833,0.14218877135882832
NDUFA5,+-+-++,0.025679963,0.016157553968418305,0.6864403527294041,1,0.03231510793683661,0.07119609438567942,0.10932573985558833,0.14239218877135884
PTCD1,+++---,6.23127e-4,0.016182424597590686,0.2608208962678178,1,0.03236484919518137,0.07129780309194467,0.10932573985558833,0.14259560618388933
PPP2R2C,+----+,0.004242978,0.016186740606322265,0.0405545509054708,1,0.03237348121264453,0.07139951179820993,0.10932573985558833,0.14279902359641986
PRMT8,++---+,0.011320318,0.6393236278705912,0.016187039254179005,-1,0.03237407850835801,0.07149394894742195,0.10933685923515053,0.1429878978948439
SMPD3,--+---,0.014030805,0.9881617731606305,0.01620476660317506,-1,0.03240953320635012,0.07149394894742195,0.10943856794141578,0.1429878978948439
