gene_symbol,female_ACC.1_female_ACC.2_female_AMY_female_DLPFC,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p,meta_Up,meta_Down,empirical_meta_p
PCDHB4,----,0.013986798,0.9985721367342968,0.0030213124718519056,-1,0.006042624943703811,0.04088274178785722,0.05899104963384866,0.08176548357571443
SNX1,--++,4.13858e-4,0.03775884594622909,0.00304225072956189,-1,0.00608450145912378,0.04088274178785722,0.05909275834011391,0.08176548357571443
MLLT11,-+--,0.002535393,0.9191686607499273,0.003046489751098988,-1,0.006092979502197976,0.04088274178785722,0.05919446704637917,0.08176548357571443
ZNF664,++++,0.032163483,0.003049684632178106,0.9997329900612277,1,0.006099369264356212,0.040886899918633035,0.0592901454286586,0.08177379983726607
ZNF346,+-++,0.014401685,0.0030503548725876275,0.715622075073149,1,0.006100709745175255,0.04098860862489829,0.0592901454286586,0.08197721724979658
N4BP1,+-++,0.00204897,0.003066175882091367,0.7620017513689201,1,0.006132351764182734,0.04109031733116355,0.0592901454286586,0.0821806346623271
ZC3H8,+---,0.006740918,0.9244463806143267,0.003075388119845566,-1,0.006150776239691132,0.0411878368758263,0.059296175752644426,0.0823756737516526
CHCHD2,-+--,0.008722472,0.9859103061623011,0.0030765892872989995,-1,0.006153178574597999,0.0411878368758263,0.059397884458909686,0.0823756737516526
ZNF549,+++-,0.010793352,0.0030853902393933354,0.9774653618607965,1,0.006170780478786671,0.0411920260374288,0.05949354215397132,0.0823840520748576
GLTSCR2,++++,0.008854682,0.003090331600424475,0.9936389397021261,1,0.00618066320084895,0.04129373474369406,0.05949354215397132,0.08258746948738813
FAF1,++++,0.016457022,0.003096428244779933,0.9984275860456999,1,0.006192856489559866,0.04139544344995932,0.05949354215397132,0.08279088689991863
MCART1,++++,0.019000749,0.003101838978230128,0.9996341157036343,1,0.006203677956460256,0.04149715215622457,0.05949354215397132,0.08299430431244914
KIAA2013,++++,0.054405993,0.0031075850028189815,0.9996344403939474,1,0.006215170005637963,0.04159886086248983,0.05949354215397132,0.08319772172497966
FAM53B,++++,0.0011397,0.003124371754355323,0.9751772462654129,1,0.006248743508710646,0.041700569568755085,0.05949354215397132,0.08340113913751017
SCO2,+---,0.011529307,0.9540906990328653,0.0031288200490741202,-1,0.0062576400981482405,0.04179802705176447,0.05949959316517494,0.08359605410352894
CNNM2,-+++,0.02300515,0.0031559204365336313,0.8570043148162809,1,0.006311840873067263,0.041802278275020345,0.05959524051662768,0.08360455655004069
RPL5,-+++,0.002186891,0.0031617633138726273,0.9771987491543342,1,0.0063235266277452545,0.0419039869812856,0.05959524051662768,0.0838079739625712
SNAPC3,----,0.008513296,0.9920387888864182,0.0031639424863248345,-1,0.006327884972649669,0.04200142377707719,0.05960130187144019,0.08400284755415438
IL17RC,+-+-,5.79682e-4,0.0031644973624822617,0.8886760352069498,1,0.006328994724964523,0.04200569568755085,0.059696938879284046,0.0840113913751017
CNOT6,++++,0.004367135,0.0031670576414794998,0.9970349360890153,1,0.0063341152829589995,0.04210740439381611,0.059696938879284046,0.08421480878763223
ANXA4,----,0.00511236,0.9965198009472218,0.0031759312218358387,-1,0.006351862443671677,0.04220482050238991,0.059703010577705454,0.08440964100477982
KIAA0649,++++,0.028170225,0.003178456631018503,0.9995202882934588,1,0.006356913262037006,0.042209113100081366,0.05979863724194041,0.08441822620016273
