gene_symbol,female_AMY_male_AMY,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p
CIRBP,-+,0.082047285,0.9859308173808605,0.03263877533844279,-1,0.06527755067688558
GRIN3A,--,0.144131086,0.8180665816047239,0.15651728608863955,-1,0.3130345721772791
ESF1,++,0.273668914,0.33255513773156564,0.5621862033691256,1,0.6651102754631313
LZTFL1,--,0.236194944,0.6204241888160251,0.28772671410544853,-1,0.5754534282108971
RASA3,+-,0.084196161,0.03789756186373339,0.9819288487963931,1,0.07579512372746677
RFPL1S,--,0.316459176,0.3793321454411011,0.5072415779021072,1,0.7586642908822022
TTC27,--,0.249816011,0.5987413935357713,0.3043016975662842,-1,0.6086033951325684
TAF9B,--,0.374152903,0.43677811149322737,0.4459058716223574,1,0.8735562229864547
TMEM54,+-,0.09708633,0.06782915019781649,0.9510786446257954,1,0.13565830039563298
EML4,+-,0.109573221,0.09377956861179855,0.9162338838976323,1,0.1875591372235971
CSPG4,++,0.179231929,0.21072231129255783,0.7327795384677421,1,0.42144462258511567
ATF6,--,0.262498127,0.31931854791852066,0.5795968937579206,1,0.6386370958370413
LRCH4,--,0.246644757,0.3002992274641789,0.6044220304197923,1,0.6005984549283578
DONSON,++,0.347667697,0.41097112747286996,0.47320601536543044,1,0.8219422549457399
INHBB,++,0.242097004,0.6122876780679843,0.29461178176494446,-1,0.5892235635298889
ZNF271,++,0.169321442,0.19562455088104305,0.7569430350207174,1,0.3912491017620861
TLE4,+-,0.105814232,0.08563528015335659,0.9280758842816197,1,0.17127056030671317
CPD,+-,0.087566854,0.04523139482689711,0.9756955973221039,1,0.090462789653794215
RIC8A,--,0.24753071200000001,0.6041050821872476,0.3010990352361831,-1,0.6021980704723662
CSDE1,+-,0.09632294,0.06536794997499044,0.9543120245730157,1,0.1307358999499809
ING3,--,0.208496067,0.25119881925383836,0.6732878837930628,1,0.5023976385076767
AGGF1,-+,0.079144382,0.9920200790524025,0.023088448853219343,-1,0.04617689770643869
HMHA1,++,0.239269195,0.6181122327653276,0.29082724732045856,-1,0.5816544946409171
FOXK2,+-,0.093822659,0.05958498096659285,0.9610497793208225,1,0.1191699619331857
CPSF2,++,0.252817322,0.30734700943032206,0.5962964327194468,1,0.6146940188606441
IFT88,++,0.215771348,0.26074541131358864,0.6598868147389442,1,0.5214908226271773
SEC22A,--,0.364496348,0.42711378388621396,0.4572437284605965,1,0.8542275677724279
C21orf57,++,0.248915637,0.6025331274630584,0.3026189354413033,-1,0.6052378708826066
IQCK,-+,0.104005899,0.933949660717451,0.0814859695442175,-1,0.162971939088435
B3GNT2,-+,0.093234551,0.9627343796503237,0.05810148888864439,-1,0.11620297777728877
ATP5S,-+,0.086138577,0.9793656675724924,0.04118433389066717,-1,0.08236866778133434
SPHKAP,-+,0.076453464,0.9959944358206662,0.014333657925502922,-1,0.028667315851005844
RHOQ,++,0.264422659,0.32076258382893585,0.5800056470710062,1,0.6415251676578717
FLYWCH1,++,0.350758146,0.4724638247238947,0.4134356649375815,-1,0.826871329875163
RUFY2,+-,0.112284738,0.09754513579896747,0.9118195975065041,1,0.19509027159793493
MGC45922,-+,0.117232397,0.8977467641318155,0.10708976620489329,-1,0.21417953240978657
FOXN3,++,0.188261142,0.7170269817725907,0.22258017124156623,-1,0.44516034248313247
PHKG2,++,0.145425562,0.15690060443114565,0.8198847122609588,1,0.3138012088622913
TRIM56,+-,0.090686704,0.05131822207643908,0.9700650788779552,1,0.10263644415287816
ZNF511,++,0.213162453,0.6670744430545317,0.2566946256011489,-1,0.5133892512022978
FAM153B,+-,0.081408427,0.027864854927078495,0.9893081810820609,1,0.05572970985415699
XKR4,-+,0.144430337,0.8230606751150692,0.15506414388645967,-1,0.31012828777291934
CLNS1A,++,0.328391948,0.39071145673620883,0.49765914707624653,1,0.7814229134724177
OPTN,--,0.366384644,0.45809095933373833,0.42828643854261755,-1,0.8565728770852351
ABHD4,+-,0.091951498,0.05362935114621519,0.9678458192963664,1,0.10725870229243038
NRXN1,--,0.283105337,0.341768162421529,0.5551508300053639,1,0.683536324843058
DDX6,+-,0.117565918,0.10703174710331512,0.8983689558749404,1,0.21406349420663023
FAM113A,-+,0.082465262,0.9880205953203969,0.029943476967173994,-1,0.05988695393434799
COL4A3BP,+-,0.086775655,0.04105694225056914,0.9796744361008127,1,0.08211388450113828
CSF3R,-+,0.077422846,0.9955491172181905,0.015541957968707651,-1,0.031083915937415302
MEGF10,-+,0.098268258,0.9521884230686509,0.06768348827175133,-1,0.13536697654350266
OAT,--,0.150387172,0.8089628519289889,0.1643620100918482,-1,0.3287240201836964
MAP7,+-,0.115771348,0.10337360091634507,0.9039576194755221,1,0.20674720183269013
DNAJC14,+-,0.104977341,0.08184955870127246,0.9342608422304226,1,0.16369911740254492
ANXA11,--,0.146566854,0.15804996005796884,0.8190623241103352,1,0.3160999201159377
CYLD,+-,0.115748876,0.10330687205157207,0.9040728050633791,1,0.20661374410314415
SLC24A3,-+,0.08013633,0.9919973560407516,0.023267929922691798,-1,0.046535859845383595
TRIM9,--,0.336879213,0.4896571607495617,0.3990135598117287,-1,0.7980271196234574
ABCG4,-+,0.120483521,0.8909587502745024,0.11216689217186865,-1,0.2243337843437373
ZNF133,++,0.263738296,0.31923004316700887,0.5839446912056674,1,0.6384600863340177
ZNF529,++,0.337272472,0.3993134704459043,0.4896335066223542,1,0.7986269408918086
COQ5,-+,0.109833521,0.9216932384788006,0.09124267308793446,-1,0.18248534617586892
C20orf166,++,0.232313764,0.6354238063646753,0.2806986104018519,-1,0.5613972208037038
NAPEPLD,--,0.257853464,0.5937184053829199,0.3120536121660499,-1,0.6241072243320998
IFIT1,--,0.188901966,0.7193730523682101,0.22243848249425857,-1,0.44487696498851714
TNFRSF13C,+-,0.115632303,0.10255759302926092,0.9055473349267436,1,0.20511518605852183
GLA,-+,0.078335955,0.9948783965160368,0.017231907043075922,-1,0.034463814086151845
PCCA,-+,0.135998221,0.8489675316996563,0.1396086044317041,-1,0.2792172088634082
ZFP30,--,0.324995693,0.38647435842669153,0.5045889276168141,1,0.7729487168533831
MAEL,++,0.267930805,0.5793275869291934,0.32373398670519427,-1,0.6474679734103885
HADH,-+,0.100973502,0.9468031536809003,0.07242624447226008,-1,0.14485248894452016
GSG1L,-+,0.115184363,0.9077932235686106,0.10123507394788292,-1,0.20247014789576584
POLI,++,0.343764513,0.4842092266813075,0.40545253734142817,-1,0.8109050746828563
FAM84B,+-,0.147255056,0.15832299453229978,0.8197999184131535,1,0.31664598906459956
C20orf111,-+,0.104804494,0.9366929147724163,0.08039609422128093,-1,0.16079218844256185
ANXA2,-+,0.09103764,0.9720101818685297,0.04977848466335508,-1,0.09955696932671015
AMN1,--,0.31212397,0.5208834177965629,0.37271789571318836,-1,0.7454357914263767
QRICH1,--,0.206675562,0.6846392295594462,0.24663424807263004,-1,0.4932684961452601
ZNF282,+-,0.142143258,0.1495702276771541,0.8339191991557304,1,0.2991404553543082
C11orf41,--,0.248572004,0.30036767948046506,0.6102909188224284,1,0.6007353589609301
JAKMIP2,--,0.269812734,0.5781547639700132,0.32552476896251564,-1,0.6510495379250313
TCHP,++,0.179016948,0.7437206700066032,0.2073668879188876,-1,0.4147337758377752
NDUFA4,-+,0.145842322,0.8247536488122185,0.1555513295498498,-1,0.3111026590996996
SLC12A7,+-,0.105487734,0.08127597333742494,0.9357869611961405,1,0.16255194667484987
KIF9,+-,0.105587453,0.08143287952749236,0.9356040296160087,1,0.1628657590549847
DENND4A,+-,0.093283895,0.054413357865818385,0.9675202732261425,1,0.10882671573163677
MIS12,+-,0.088018539,0.04169767223257201,0.9794165392744373,1,0.08339534446514402
UVRAG,++,0.182324064,0.2120171142491692,0.736984787701001,1,0.4240342284983384
NEK4,-+,0.087522846,0.9805156169304217,0.040382802725608354,-1,0.08076560545121671
PCGF6,--,0.345028839,0.48468305477030943,0.4062754438889499,-1,0.8125508877778999
ELP4,-+,0.097926779,0.9563758775044569,0.0647101968283865,-1,0.129420393656773
HARS,++,0.19071385800000001,0.22401625438949443,0.7190024003516416,1,0.44803250877898887
EXPH5,++,0.243067135,0.29320887735371665,0.6208297232513175,1,0.5864177547074333
SEC14L2,+-,0.078052903,0.01399226087684026,0.9961417977074385,1,0.02798452175368052
LMNA,+-,0.095270506,0.058432724412192404,0.9634296752270679,1,0.11686544882438481
OVGP1,++,0.264164045,0.31852790603694137,0.5880713232335814,1,0.6370558120738827
S100A11,-+,0.091573689,0.9721926537210476,0.049809414958095176,-1,0.09961882991619035
PRCP,+-,0.137904401,0.1413597900851461,0.8479792044531163,1,0.2827195801702922
NAB1,+-,0.126998315,0.12198255361810292,0.8779891265389463,1,0.24396510723620585
SCML1,++,0.200000187,0.23657709270334903,0.7012910403316395,1,0.47315418540669807
DMXL1,--,0.188997378,0.7243982868642995,0.2210730222216146,-1,0.4421460444432292
KATNB1,--,0.264599157,0.5884497917051468,0.31877781483076695,-1,0.6375556296615339
THAP6,-+,0.118080618,0.9031542279764937,0.10520163427566681,-1,0.21040326855133362
DPYSL5,+-,0.082418727,0.025878987306042826,0.9906773152350583,1,0.05175797461208565
EPAS1,++,0.258827903,0.5975249825548996,0.31186420502688517,-1,0.6237284100537703
TULP4,+-,0.080686517,0.02087044726233857,0.9932975477619139,1,0.04174089452467714
HCLS1,-+,0.116520131,0.9077656913277498,0.10207775614844211,-1,0.20415551229688422
CYP2R1,++,0.187751685,0.21909339501686245,0.7277531756694724,1,0.4381867900337249
MAP3K7IP2,-+,0.119769476,0.8991002779966579,0.10812193082127396,-1,0.2162438616425479
APBB1IP,+-,0.120857772,0.1100440420469659,0.8963745167280479,1,0.2200880840939318
SLU7,-+,0.144241386,0.8327715291778401,0.15153760504532462,-1,0.30307521009064925
FCER1G,--,0.153801217,0.8084391308049592,0.16715898051683156,-1,0.3343179610336631
HVCN1,+-,0.10479176,0.07787991678555786,0.9410166454071844,1,0.15575983357111572
DARS2,-+,0.105577715,0.938987796840785,0.07948639446793095,-1,0.1589727889358619
EPHX1,++,0.268565637,0.3229101629373921,0.5845766472807977,1,0.6458203258747842
C20orf27,-+,0.083465918,0.9897130953814943,0.02761142694232202,-1,0.05522285388464404
GIMAP6,++,0.26828764,0.3225758912571617,0.5850249778336857,1,0.6451517825143234
ATP6V1G2,--,0.226080056,0.6543151832683562,0.2706365594677421,-1,0.5412731189354842
RAB37,--,0.37875103,0.4380646761221743,0.45437032058313026,1,0.8761293522443486
LONP2,+-,0.080544288,0.01873680237073746,0.9942960918452797,1,0.03747360474147492
TLR4,--,0.207412547,0.6903022378609353,0.24566462790105398,-1,0.49132925580210796
ATP5F1,-+,0.113103745,0.9199508626385673,0.09404443966868893,-1,0.18808887933737786
TGFA,+-,0.088892697,0.040774493812419,0.9805153869805043,1,0.081548987624838
ZNF207,+-,0.142180431,0.14698214200033038,0.8411741453263546,1,0.29396428400066077
TTL,+-,0.117872846,0.10313080634336223,0.9073083047805637,1,0.20626161268672447
FES,+-,0.085823596,0.0327238262003416,0.9865195905910191,1,0.0654476524006832
OSBPL3,-+,0.087674813,0.983089749755727,0.0375075577946216,-1,0.0750151155892432
N4BP1,++,0.321140262,0.3805157032564954,0.5170477695927056,1,0.7610314065129908
SAT2,++,0.191757865,0.7230521602331392,0.22368858561447771,-1,0.44737717122895543
PCDH10,+-,0.086568258,0.03460629216011494,0.9852189165065297,1,0.06921258432022988
RRM2B,--,0.169958146,0.7719288006470308,0.19155535851130895,-1,0.3831107170226179
GZF1,-+,0.084629682,0.9887590923742626,0.029289184677536526,-1,0.05857836935507305
MRPL28,--,0.307241105,0.3655488404464955,0.5348044384311142,1,0.731097680892991
CCDC99,++,0.242747566,0.2910464811381768,0.628101687112268,1,0.5820929622763537
SNX4,--,0.338489981,0.39816627197794646,0.49809783310457384,1,0.7963325439558929
RPS7,-+,0.079657584,0.9959654279343164,0.01453986184127622,-1,0.02907972368255244
CCDC14,--,0.241139981,0.2889173939638726,0.631275695001619,1,0.5778347879277452
POMGNT1,++,0.243261517,0.6282687137461606,0.2914138035727641,-1,0.5828276071455282
JPH1,++,0.246209363,0.6234854451941214,0.2950362386415404,-1,0.5900724772830808
C9orf123,+-,0.103581648,0.07328142539464333,0.9474880949222891,1,0.14656285078928666
CRB3,++,0.154665543,0.1668513844471996,0.8112876427762591,1,0.3337027688943992
GLT25D1,++,0.293287828,0.5552373503367494,0.34969249601523594,-1,0.6993849920304719
SLC35C2,-+,0.096723502,0.9653854378334767,0.057490056861907154,-1,0.11498011372381431
LAMB1,-+,0.089852528,0.9804700414072345,0.04109580527304002,-1,0.08219161054608004
SLC6A12,+-,0.089248127,0.03953298515423896,0.9817101860877411,1,0.07906597030847792
RECQL4,-+,0.09609382,0.967013395224732,0.0559184737345578,-1,0.1118369474691156
PYGO2,++,0.281579307,0.33646639786772625,0.5715122553393792,1,0.6729327957354525
GLG1,--,0.261917884,0.6002987148851271,0.31360208835765435,-1,0.6272041767153087
HMGB1,--,0.286942978,0.3424923961657169,0.5642466622130143,1,0.6849847923314338
QRSL1,-+,0.098752247,0.960918262190197,0.061791906124709896,-1,0.12358381224941979
ZNF238,+-,0.087252715,0.03417877304359677,0.9856675120479688,1,0.06835754608719354
MRPL45,--,0.176266573,0.7615730198515179,0.1997575841209397,-1,0.3995151682418794
ATE1,+-,0.089249625,0.039112179379091665,0.9820748560260806,1,0.07822435875818333
OCIAD2,-+,0.102316011,0.9524263995063791,0.06942917770865276,-1,0.1388583554173055
BRD1,--,0.26177237799999997,0.31312158915156113,0.6017004367446753,1,0.6262431783031223
SDCCAG8,+-,0.146057959,0.15168981529799194,0.8360556281811986,1,0.3033796305959839
TIGD1,--,0.155512453,0.8119818349197191,0.16725346231515625,-1,0.3345069246303125
CRMP1,-+,0.139031554,0.8545746761597097,0.1396721771836899,-1,0.2793443543673798
NANP,-+,0.114823034,0.9201921904812989,0.09492147917662856,-1,0.18984295835325712
ZC3H18,+-,0.108663296,0.08246427375126286,0.9366697014765806,1,0.16492854750252572
CMYA5,++,0.344513577,0.40328594455536293,0.49537210121120295,1,0.8065718891107259
MRPL32,-+,0.136785674,0.860979737333666,0.13558970742030277,-1,0.27117941484060554
NHLH1,--,0.248931273,0.622642862408613,0.29742882877756427,-1,0.5948576575551285
NUBP1,--,0.353090169,0.411789270841813,0.4863502527936326,1,0.823578541683626
LOC169834,++,0.197781554,0.7166013535129814,0.23039978273497658,-1,0.46079956546995315
