gene_symbol,male_ACC.1_male_ACC.2_male_AMY_male_DLPFC,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p,meta_Up,meta_Down,empirical_meta_p
OSTM1,+--+,0.021155899,0.10065098383846252,0.07655849146669237,-1,0.15311698293338474,0.16273393002441008,0.21544095209032652,0.32546786004882017
DIP2A,++-+,0.095099064,0.07661136923445858,0.7645482129030914,1,0.15322273846891715,0.1627504831654969,0.21552074857607811,0.3255009663309938
SRFBP1,-+-+,0.014975094,0.07663143799896986,0.6133906381688328,1,0.15326287599793972,0.16285220221747534,0.21552074857607811,0.3257044044349507
C16orf5,----,0.138251498,0.9870728146847052,0.07666024970540827,-1,0.15332049941081655,0.1629373474369406,0.21554267114230496,0.3258746948738812
CASC4,-++-,0.054190543,0.0768026630079754,0.5153266277485683,1,0.1536053260159508,0.16295392126945377,0.21562245728234336,0.32590784253890753
MKLN1,-+-+,0.015179213,0.07696762566498032,0.10876388617528117,1,0.15393525132996064,0.16305564032143222,0.21562245728234336,0.32611128064286443
LCMT1,--+-,0.110157491,0.9488270059779109,0.07698799291347887,-1,0.15397598582695773,0.16314076484947113,0.2156443901942834,0.32628152969894225
DDX56,--+-,0.090562828,0.9518055203545794,0.07707693612164791,-1,0.15415387224329583,0.16314076484947113,0.21574610924626184,0.32628152969894225
PDE6D,++-+,0.185084176,0.07711252444340856,0.9435757235541141,1,0.15422504888681712,0.16315735937341064,0.21582587469487388,0.3263147187468213
KIAA1407,----,0.042774438,0.9457270503294479,0.07716640574132176,-1,0.15433281148264352,0.16324247355573637,0.21584782829824026,0.32648494711147275
ARGLU1,++++,0.073173408,0.07717270035074086,0.9736369845489157,1,0.15434540070148173,0.1632590784253891,0.21592758340113913,0.3265181568507782
C10orf72,---+,0.023497191,0.3008454496459136,0.07718833016707585,-1,0.1543766603341517,0.16334418226200162,0.2159495473502187,0.32668836452400324
MAN2A2,++--,0.014612547,0.07719842866818391,0.6221301411676836,1,0.15439685733636782,0.1633607974773675,0.2160292921074044,0.326721594954735
AZI2,++-+,0.118704963,0.07724712097395099,0.7686149985344612,1,0.15449424194790198,0.16346251652934596,0.2160292921074044,0.3269250330586919
FBXL2,+---,0.100380337,0.95670206321325,0.07733230753121945,-1,0.1546646150624389,0.16354759967453214,0.21605126640219713,0.3270951993490643
C22orf36,++--,0.021468165,0.535472674526474,0.07734566850047248,-1,0.15469133700094495,0.16354759967453214,0.21615298545417558,0.3270951993490643
ESCO1,+--+,0.04297088,0.07737487737675235,0.4683649422165815,1,0.1547497547535047,0.16356423558132438,0.2162327095199349,0.32712847116264876
TTLL5,--+-,0.072154588,0.5566354533430196,0.07738287341719212,-1,0.15476574683438424,0.1636493083807974,0.216254704506154,0.3272986167615948
ESD,+-++,0.078363109,0.0773919604821426,0.6875826297485795,1,0.1547839209642852,0.16366595463330283,0.21633441822620017,0.32733190926660566
PDLIM7,+--+,0.012637828,0.5557523953742145,0.07739970478321637,-1,0.15479940956643273,0.16375101708706266,0.21635642355813245,0.3275020341741253
DDX28,+---,0.082747566,0.9389593115622544,0.07740889546499677,-1,0.15481779092999354,0.16375101708706266,0.21645814261011087,0.3275020341741253
PPP1R1A,--+-,0.077529026,0.5167681242650065,0.07743415203521661,-1,0.15486830407043323,0.16375101708706266,0.21655986166208932,0.3275020341741253
CREM,+--+,0.014263764,0.07746423612033447,0.12098102674463533,1,0.15492847224066894,0.16376767368528125,0.21663954434499594,0.3275353473705625
C8orf4,---+,0.056863109,0.9287527538713919,0.07748121595508771,-1,0.15496243191017542,0.1638527257933279,0.21666158071406774,0.3277054515866558
BZW1,-+-+,0.007456648,0.39628653613230647,0.07750807981913102,-1,0.15501615963826204,0.1638527257933279,0.2167632997660462,0.3277054515866558
COQ2,+---,0.086498876,0.914248177879619,0.07751663724125497,-1,0.15503327448250995,0.1638527257933279,0.2168650188180246,0.3277054515866558
TOP3A,-++-,0.00843736,0.07752462449812923,0.6750405785918849,1,0.15504924899625847,0.1638693927372597,0.2169446704637917,0.3277387854745194
GTF2F1,---+,0.060905431,0.8852139514925804,0.07754304612832563,-1,0.15508609225665126,0.16395443449959315,0.21696673787000306,0.3279088689991863
YBX1,++++,0.181073034,0.07754865858947145,0.9900431113572372,1,0.1550973171789429,0.16397111178923812,0.21704637917005695,0.32794222357847624
ZNF140,++++,0.172002154,0.0775955044311004,0.9890361589728833,1,0.1551910088622008,0.16407283084121657,0.21704637917005695,0.32814566168243314
LGALS3BP,+-++,0.008283614,0.07760472962356044,0.13857148153118548,1,0.15520945924712087,0.164174549893195,0.21704637917005695,0.32834909978639
KIAA1543,----,0.114175281,0.9730931809213073,0.07761254017300097,-1,0.15522508034600194,0.16425956061838892,0.21706845692198148,0.32851912123677784
MTX2,---+,0.037523221,0.8912757467500703,0.07763131763788973,-1,0.15526263527577946,0.16425956061838892,0.21717017597395993,0.32851912123677784
UBE2B,----,0.269640918,0.9921292975639138,0.07764585117951969,-1,0.15529170235903939,0.16425956061838892,0.21727189502593836,0.32851912123677784
IGSF9B,+---,0.041114419,0.5284549438112546,0.07768502078522327,-1,0.15537004157044654,0.16425956061838892,0.2173736140779168,0.32851912123677784
LIN7B,+---,0.037367603,0.9303529782612878,0.07771061251715924,-1,0.1554212250343185,0.16425956061838892,0.21747533312989523,0.32851912123677784
WDR77,----,0.207194195,0.9900691733108028,0.07771305217865977,-1,0.15542610435731954,0.16425956061838892,0.21757705218187368,0.32851912123677784
