gene_symbol,female_ACC.1_female_ACC.2_female_AMY_female_DLPFC,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p
NHS,+--+,0.010167603,0.34596596137278784,0.07307438735852552,-1,0.14614877471705104
FADS2,+---,0.098074813,0.8916349180846767,0.07308111073170648,-1,0.14616222146341296
MRPL54,-+--,0.037012266,0.8346925947232195,0.07308470316720349,-1,0.14616940633440698
FAM83G,----,0.022857865,0.924158289585393,0.07309964616472883,-1,0.14619929232945766
KIAA1161,--+-,0.108256742,0.8765791845132318,0.07314143948501148,-1,0.14628287897002296
ZNF652,+-++,0.015296723,0.07314466801529741,0.18637582527974286,1,0.14628933603059482
EIF4E,++--,0.019527341,0.10998879905349171,0.07314639991708773,-1,0.14629279983417545
RAP1GAP,++-+,0.043996816,0.07315960856446618,0.6387531959624051,1,0.14631921712893237
MCTP1,++-+,0.012215824,0.07317235805004951,0.21417388677364138,1,0.14634471610009903
ARFGAP2,---+,0.049369382,0.6608410255726667,0.07317552569530467,-1,0.14635105139060933
GPC6,--++,0.0094939140000000009,0.0732438985518094,0.7252750538836874,1,0.1464877971036188
GADD45B,-+++,0.031857116,0.07324894551448831,0.8813974501667023,1,0.14649789102897662
TPSG1,-+-+,0.053260674,0.5851283431160289,0.07334741050425043,-1,0.14669482100850087
IRF3,+-++,0.022520599,0.07336727566389767,0.8777506262513037,1,0.14673455132779534
OMA1,--+-,0.136674064,0.909554836325287,0.07341497915265074,-1,0.1468299583053015
KCNS1,++-+,0.025181929,0.07342064639502524,0.8963369378528827,1,0.14684129279005048
SLITRK5,++-+,0.104818727,0.07345425475355044,0.682977378708864,1,0.14690850950710088
ARHGEF4,++++,0.164576311,0.07347059064213536,0.9851844896283776,1,0.14694118128427072
EIF1AY,-+-+,0.014850281,0.5675222043316978,0.07351303704482838,-1,0.14702607408965676
KCNQ4,-+-+,0.008327434,0.16255243728085256,0.07356144330139767,-1,0.14712288660279535
DNAJC4,-+--,0.021018727,0.5812668763707125,0.07362255786963438,-1,0.14724511573926877
DNAJC14,--+-,0.062025094,0.9007900653495771,0.07365848468759219,-1,0.14731696937518438
KBTBD6,-+-+,0.019111049,0.07367870632254174,0.24045550043786154,1,0.14735741264508348
TSFM,-+--,0.031420693,0.7606852542983638,0.07371277618732942,-1,0.14742555237465885
ZNF271,--+-,0.049074532,0.6615066069808779,0.07376408029692436,-1,0.1475281605938487
