gene_symbol,male_ACC.1_male_ACC.2_male_AMY_male_DLPFC,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p
IDI1,---+,0.112049064,0.9219065951769896,0.023994565586978694,-1,0.04798913117395739
C5orf28,-+--,0.02240927,0.9271660879270354,0.024014226431798645,-1,0.04802845286359729
FOXRED2,-+-+,0.018494195,0.6061478593289085,0.024031745220285634,-1,0.04806349044057127
AKT3,++-+,0.02927088,0.024057275790435765,0.9311305898409055,1,0.04811455158087153
ME1,-+++,0.035402715,0.02407326622583593,0.8774996362934928,1,0.04814653245167186
ZNF423,---+,0.016137828,0.9537876663950845,0.024074486784066245,-1,0.04814897356813249
CACNG3,--+-,0.113732959,0.9857411691196287,0.024084542517482193,-1,0.048169085034964386
RAB3GAP1,----,0.011200468,0.9620078225855933,0.024105195558421822,-1,0.048210391116843644
RNF41,---+,0.088787734,0.7040639328380589,0.024125515243986984,-1,0.04825103048797397
DPP6,--+-,0.083810019,0.8812238300352856,0.024131471012183693,-1,0.048262942024367386
ENAH,-+--,0.031382116,0.7317980049947745,0.02414619605133499,-1,0.04829239210266998
STAM2,----,0.065842978,0.9950900833616448,0.024146355343990504,-1,0.04829271068798101
MIAT,++-+,0.015083146,0.024157126123210446,0.4835230646166403,1,0.04831425224642089
FNBP1,++-+,0.04439897,0.024164448454924804,0.4384934308009952,1,0.04832889690984961
ANLN,++-+,0.006347004,0.024172653295052277,0.8577643187937395,1,0.04834530659010455
DSTN,---+,0.007808895,0.15131969206388313,0.02417275630479848,-1,0.04834551260959696
RNF141,++-+,0.051006742,0.02418214923850977,0.8507673688120353,1,0.04836429847701954
IGHMBP2,--+-,0.05563661,0.9723404006027239,0.024184294816366147,-1,0.048368589632732294
C15orf23,---+,0.064604401,0.9048114060993137,0.024198023784916072,-1,0.048396047569832144
MRPL28,----,0.01528764,0.977416123897031,0.02424050435726693,-1,0.04848100871453386
SPOCK3,++-+,0.061590075,0.02424460358790091,0.9460752741778172,1,0.04848920717580182
TUBGCP4,----,0.048713858,0.9902650793705711,0.024245529409715284,-1,0.04849105881943057
KIAA0652,----,0.029240543,0.9888508331148058,0.024260256915190712,-1,0.048520513830381425
THAP7,----,0.033751592,0.9912117620020167,0.02428200703528218,-1,0.04856401407056436
CSGALNACT2,++-+,0.100919569,0.02428399505983643,0.669398255384071,1,0.04856799011967286
HECTD3,+---,0.011597285,0.9243497764592173,0.024287686176501663,-1,0.04857537235300333
PTPRT,+---,0.083158427,0.9458034750074003,0.02433038197691898,-1,0.04866076395383796
NDRG2,+++-,0.013893446,0.02433692825685789,0.9367201060968549,1,0.04867385651371578
MEF2D,---+,0.061889513,0.8391667939949196,0.02434725208389811,-1,0.04869450416779622
NOL3,----,0.09671779,0.9971438055423778,0.024393419099536788,-1,0.048786838199073576
MYH14,----,0.058493914,0.995660064429809,0.024396087426426186,-1,0.04879217485285237
RAD50,++-+,0.004704775,0.024416301018174498,0.9212228953282908,1,0.048832602036348996
GBAP,----,0.034625655,0.9886932882350021,0.024422869176449855,-1,0.04884573835289971
