gene_symbol,female_ACC.1_female_ACC.2_female_DLPFC_male_ACC.1_male_ACC.2_male_DLPFC,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p
PRRX1,+---+-,0.102179775,0.8715800512694432,0.12839353215149207,-1,0.25678706430298415
GLT8D1,-+----,0.142890637,0.23685422835787773,0.8233340651706336,1,0.47370845671575545
EFHA1,-++-++,0.07916573,0.7483038473142558,0.2273798009818642,-1,0.4547596019637284
LRRC6,-++---,0.375350468,0.3996391988119337,0.8575982057498693,1,0.7992783976238674
SPNS1,++++--,0.05744897,0.1345952429590447,0.8907943363805444,1,0.2691904859180894
DBC1,+++---,0.150013764,0.022080862908552587,0.9995706623150614,1,0.044161725817105174
ZNF621,---++-,0.03969382,0.9713641854783305,0.03276327387848862,-1,0.06552654775697724
PCBP3,++++--,0.045883708,0.08094400418826586,0.9196993887189204,1,0.16188800837653172
APIP,-+++++,0.127825094,0.9484579059027971,0.19370217294184572,-1,0.38740434588369144
GBP2,--++--,0.241461049,0.6710953187723325,0.3657859697435123,-1,0.7315719394870246
AEBP2,-+----,0.246523127,0.47615641589805485,0.6104896014867953,1,0.9523128317961097
RPUSD2,-++-+-,0.023367603,0.11103799351099355,0.8175360218475572,1,0.2220759870219871
CECR6,+++---,0.112091292,0.019415064797012313,0.9990395989037131,1,0.038830129594024626
CTSL2,++-++-,0.1774603,0.5787893530627002,0.49237997041063986,-1,0.9847599408212797
IER3,-----+,0.318350749,0.6829831409741832,0.5939963582538756,-1,1.1879927165077513
TUSC1,+--+-+,0.06766264,0.4146145871779502,0.3092388403204184,-1,0.6184776806408367
TOP1,+-++-+,0.057832491,0.5821086837269842,0.13161143767281241,-1,0.26322287534562483
C7orf46,---+++,0.114242416,0.9413746039559298,0.22953789876969002,-1,0.45907579753938005
PTRF,+-++++,0.044245412,0.9316331905388502,0.0788973124670162,-1,0.1577946249340324
COLEC12,+---+-,0.055651217,0.8858123559485561,0.0911932758081599,-1,0.1823865516163198
FKBP3,-++--+,0.10550927,0.6050754841894547,0.4514164184964389,-1,0.9028328369928778
TMEM106C,+-----,0.177589232,0.6340556376567148,0.5806344332953173,-1,1.1612688665906346
GPATCH8,++++--,0.176297566,0.055173464724246495,0.9911560258487236,1,0.11034692944849299
NBN,--++-+,0.065208146,0.7842225192359974,0.07294470436101777,-1,0.14588940872203554
CHST3,---+++,0.056380712,0.9872094944779765,0.08225518475165879,-1,0.16451036950331757
MAMLD1,+-+---,0.162914232,0.18154834357013486,0.9702669202137005,1,0.3630966871402697
SYT1,++---+,0.146439419,0.45543468988438796,0.5741936453917079,1,0.9108693797687759
CYBRD1,----+-,0.152396348,0.6680207123195807,0.329732857089749,-1,0.659465714179498
MAOA,++--+-,0.032464794,0.7603111753017927,0.07269487402280886,-1,0.14538974804561772
SLC35C1,-++-+-,0.139731367,0.39923779070981924,0.542588159050184,1,0.7984755814196385
CTSO,----++,0.158452996,0.9691895713664163,0.09201245283994738,-1,0.18402490567989477
CLDN15,+---++,0.160014513,0.7270500935988337,0.20164662575712905,-1,0.4032932515142581
YIPF3,-++++-,0.279339981,0.37885159366753957,0.6984156589943101,1,0.7577031873350791
