gene_symbol,RamakerDir,LabonteDir,DingDir,meta_meta_higher_in_MDD_pvalue,meta_meta_lower_in_MDD_pvalue,meta_direction,meta_p,minp,Corrected_p,Bonferroni_meta_p
CCDC124,+-+-,+---++++,++-++-,3.895105539189022e-5,0.9162241495509847,+,7.79e-5,9.17799e-7,0.021,1
PPP1R3C,++++,-+------,+-----,0.9743929031306366,3.9204870413586245e-5,-,7.84e-5,0.00128633,0.0211,1
NDUFB9,--+-,++++++++,NA,3.930174548866242e-5,0.7508267186522971,+,7.86e-5,0.001398063,0.0211,1
PAQR8,-+--,+++-----,------,0.9971993659924625,3.9817722979695176e-5,-,7.96e-5,0.011591105,0.0214,1
KANSL1,-+++,+-+-----,+-++--,0.7538570277974683,4.0459374830869034e-5,-,8.09e-5,0.027807491,0.0218,1
KANSL1,-+++,+-+-----,---+--,0.7538570277974683,4.0459374830869034e-5,-,8.09e-5,0.027807491,0.0218,1
CLDN1,----,--------,NA,0.9999326944782542,4.186074120946931e-5,-,8.37e-5,0.002607686,0.0225,1
NOS3,++++,++--++++,NA,4.187865151181463e-5,0.9967469528471868,+,8.38e-5,8.2228e-4,0.0225,1
PRDM2,----,----+-++,+-----,0.9860614764605079,4.265670559857939e-5,-,8.53e-5,0.002031554,0.0229,1
ESYT1,+++-,++++++++,NA,4.273056534066061e-5,0.842190787301027,+,8.55e-5,0.002725509,0.023,1
HECTD2,++++,--------,-+----,0.9669139916029028,4.3705766408791935e-5,-,8.74e-5,0.003155724,0.0235,1
KLF4,--++,--------,NA,0.9222547687214027,4.403621328581917e-5,-,8.81e-5,2.45318e-4,0.0237,1
QPRT,----,++++++++,---+-+,4.458402249341742e-5,0.14034646925569078,+,8.92e-5,6.52847e-5,0.024,1
FOS,----,--------,----++,0.9971575321013365,4.6320318235151335e-05,-,9.26e-5,0.021513142,0.0249,1
FBXL18,---+,----++++,--+---,0.7216655253963797,4.660727969802892e-5,-,9.32e-5,0.00826264,0.0251,1
COPRS,+-+-,++++++++,-++--+,4.749782848682105e-5,0.9106048242633029,+,9.5e-5,9.94745e-4,0.0256,1
PLA2G5,--+-,-++-----,------,0.9855995426289706,4.873931391147691e-5,-,9.75e-5,8.33895e-4,0.0262,1
SNUPN,+-++,+-++-+++,++-+-+,4.9009882704396276e-5,0.9784536488342894,+,9.8e-5,0.001078206,0.0264,1
RPL10A,--+-,+++-++++,------,4.966718755309853e-5,0.31911694062045154,+,9.93e-5,2.61478e-4,0.0267,1
RPL18,--+-,+++-++++,-+----,5.033360486759846e-5,0.5873208322079748,+,1.01e-4,0.004467738,0.0271,1
RPL4,--+-,+++-++++,+++--+,5.2018315439580654e-5,0.9986426997612682,+,1.04e-4,0.00471706,0.028,1
FNBP1L,-+-+,--------,--++++,0.6062922857841305,5.2020063792963696e-5,-,1.04e-4,0.001051041,0.028,1
SESN1,++++,+++++---,+++---,5.278372745612771e-5,0.9439264892610375,+,1.06e-4,0.005077528,0.0284,1
BTG2,+---,--------,----++,0.8899493675304447,5.359446378140695e-5,-,1.07e-4,0.034984151,0.0288,1
PROCR,--+-,++++++++,NA,5.370855602174666e-5,0.8918611957907263,+,1.07e-4,0.007670732,0.0289,1
NDUFS6,+-+-,++++++++,-++--+,5.410659794055069e-5,0.6492424589062153,+,1.08e-4,0.002055551,0.0291,1
NHP2L1,+-+-,++++++++,-+-+-+,5.589013502407972e-5,0.23480723291009176,+,1.12e-4,6.21323e-4,0.0301,1
FAM118A,-+--,--------,+-++-+,0.8348636766198625,5.6510345819802576e-5,-,1.13e-4,0.0042653430000000004,0.0304,1
SLCO4C1,----,-----++-,NA,0.9865213800586153,5.776717826966183e-5,-,1.16e-4,0.001876387,0.0311,1
MDGA2,-+-+,--------,++-+-+,0.4855817215477616,5.9020124198662606e-5,-,1.18e-4,0.002616667,0.0318,1
DPYSL5,----,+-+----+,------,0.9972181566258544,6.079172720710188e-5,-,1.22e-4,0.001886142,0.0327,1
DCTN3,+-+-,++-+++++,-+---+,6.104472274415804e-5,0.4203995343369426,+,1.22e-4,5.09701e-4,0.0328,1
MYEOV2,--+-,++++++++,++--++,6.130367105175903e-5,0.6393709716182723,+,1.23e-4,2.72445e-4,0.033,1
ZMYM6,-+-+,++---+--,-----+,0.9255425653957764,6.469939400619801e-5,-,1.29e-4,3.34551e-4,0.0348,1
DBP,+-++,++++++++,+++---,6.526832175685564e-5,0.9955979350415078,+,1.31e-4,0.007579963,0.0351,1
SESN3,-+++,--------,----++,0.9820328776716347,6.548322553549422e-5,-,1.31e-4,0.001293481,0.0352,1
PGAP1,-+-+,--------,---+--,0.9968471144318958,6.593464289444246e-5,-,1.32e-4,0.001316292,0.0355,1
C17orf58,++++,++++--+-,++-+++,6.626257079196026e-5,0.9999298299265812,+,1.33e-4,0.00110281,0.0356,1
SHISA5,+++-,+++--+++,+++++-,6.708725189959427e-5,0.9995086192562852,+,1.34e-4,0.001828371,0.0361,1
