gene_symbol,RamakerDir,LabonteDir,DingDir,meta_meta_higher_in_MDD_pvalue,meta_meta_lower_in_MDD_pvalue,meta_direction,meta_p,signed_log_p,minp,Corrected_p,Bonferroni_meta_p
LYPLAL1,+++,++++++,----,1.4377956361344292e-5,0.201962827150209,+,2.88e-5,4.5412728431893195,8.96139e-4,0.00774,0.506
ZBTB21,-++,------,+-+-,0.6173016201528437,1.444246824923763e-5,-,2.89e-5,4.5393285828877445,0.004106003,0.00777,0.509
GDNF,--+,-++---,+---,0.7176341325424227,1.4784903385662459e-5,-,2.96e-5,4.529151513432,0.011846113,0.00795,0.521
GDNF,--+,-++---,-+--,0.7176341325424227,1.4784903385662459e-5,-,2.96e-5,4.529151513432,0.011846113,0.00795,0.521
GDNF,--+,++-+-+,+---,0.7176341325424227,1.4784903385662459e-5,-,2.96e-5,4.529151513432,0.011846113,0.00795,0.521
GDNF,--+,++-+-+,-+--,0.7176341325424227,1.4784903385662459e-5,-,2.96e-5,4.529151513432,0.011846113,0.00795,0.521
YPEL5,+++,++++-+,-+--,1.5503895183458946e-5,0.044278303453407476,+,3.1e-5,4.508529180736093,0.001303795,0.00834,0.546
ESYT1,+++,++++++,NA,1.556273734756437e-5,0.9999661106118863,+,3.11e-5,4.506884016413382,0.002725509,0.00837,0.548
MARCH4,-+-,------,NA,0.9181621244140954,1.6290670371288884e-5,-,3.26e-5,4.487031048169852,0.001438913,0.00876,0.574
TEF,+++,++-+--,++++,1.6326642632610726e-5,0.9997088535395416,+,3.27e-5,4.486073117580924,0.004226779,0.00878,0.575
CPSF2,+++,++++++,--++,1.6613888177017503e-5,0.906063920532268,+,3.32e-5,4.478498721299836,0.016079405,0.00894,0.585
EXOC7,+-+,-+----,++++,1.6656683641486582e-5,0.2927323990407285,+,3.33e-5,4.477381467023529,7.08895e-4,0.00896,0.587
GRIN3B,---,NA,NA,0.9999911256926812,1.674883145917384e-5,-,3.35e-5,4.4749854919802114,7.075803806206362e-4,0.00901,0.59
KLF5,+++,------,----,0.687456501985792,1.7080649107742463e-5,-,3.42e-5,4.466465633383845,0.006775655,0.00919,0.602
TRIQK,+++,++++-+,NA,1.753000414155142e-5,0.9998139303947077,+,3.51e-5,4.455187985637962,2.30034e-4,0.00943,0.617
CHST6,+++,++++++,--++,1.812700684394741e-5,0.3828803835379414,+,3.63e-5,4.4406439056168345,2.58333e-4,0.00975,0.638
RPAP1,+++,--+-+-,++++,1.8289719946822465e-5,0.9120595606881075,+,3.66e-5,4.4367629487492035,0.001111704,0.00984,0.644
FAM160B1,+++,++++-+,NA,1.847603919869879e-5,0.9999644936559072,+,3.7e-5,4.43236112936291,3.98538e-4,0.00994,0.651
PLA2G5,---,-++---,----,0.9997853389118623,1.852414913784879e-5,-,3.7e-5,4.431231735496994,8.33895e-4,0.00997,0.652
NUB1,-+-,++++++,++++,1.856682228122534e-5,0.9888047810201461,+,3.71e-5,4.430232423903806,0.006697449,0.00999,0.654
DDIT4L,--+,++++++,++++,1.8580674293426774e-5,0.9856969107056882,+,3.72e-5,4.429908533827979,0.0093103,0.01,0.654
WNT7A,---,------,+---,0.9988124128902977,2.07610463933668e-5,-,4.15e-5,4.381720765399842,0.005204522693047276,0.0112,0.731
UGCG,+++,++++-+,+-+-,2.143422623111023e-5,0.8390404302437036,+,4.29e-5,4.367862194101896,1.49e-5,0.0115,0.755
ACAT2,+++,++++++,----,2.2214258727986502e-5,0.005375943283239419,+,4.44e-5,4.352338178576201,0.0027592446484942515,0.012,0.782
DGCR2,++-,-++---,++++,2.2976263432789287e-5,0.6998553112603841,+,4.6e-5,4.337690602371355,6.76404e-4,0.0124,0.809
CAPN3,---,++++++,----,8.97838106894854e-5,2.4940048045501915e-5,-,4.99e-5,4.302072718550502,0.002785861,0.0134,0.878
CRISPLD1,+++,++++++,NA,2.5112287992764076e-5,0.9999998640006236,+,5.02e-5,4.2990837210391,0.002387417835603364,0.0135,0.884
DHRS9,---,++++++,----,6.658009354587792e-4,2.532565955460002e-5,-,5.07e-5,4.295409239851839,0.003274032,0.0136,0.892
MICU1,+++,++++-+,++++,2.534298846455662e-5,0.9999995677385943,+,5.07e-5,4.295112178431841,0.008978946,0.0136,0.893
CHST10,+++,-+++-+,++++,2.562099205990488e-5,0.9308136398867679,+,5.12e-5,4.290374062463612,6.14e-5,0.0138,0.902
KLF2,-+-,------,-++-,0.5280259067526667,2.7392812472323314e-5,-,5.48e-5,4.261333379949727,0.001068659,0.0147,0.965
CCDC28A,-+-,++++-+,-+--,2.7704792898962332e-5,0.43040449912537593,+,5.54e-5,4.256415096300087,2.76058e-4,0.0149,0.976
FOXL2,---,NA,NA,0.9999831483384025,2.8456050487152433e-5,-,5.69e-5,4.244795381625814,0.0023274191562202475,0.0153,1
ADGRE2,+++,++++++,NA,2.8988327772475436e-5,0.9999131257800907,+,5.8e-5,4.236746841072536,0.009930264,0.0156,1
PGAP1,-++,-----+,----,0.9787598496977368,2.8996647835773807e-5,-,5.8e-5,4.236622210249932,0.001316292,0.0156,1
CCR1,-++,++++++,NA,3.0151168357543977e-5,0.9860114782771441,+,6.03e-5,4.219665858625918,0.021530826,0.0162,1
PRDM1,+++,------,NA,0.23205356572294644,3.0170720128695666e-5,-,6.03e-5,4.219384328095854,0.005110793,0.0162,1
HSD11B1,--+,++++++,--+-,3.018688619453862e-5,0.06912002203093626,+,6.04e-5,4.2191516868834125,0.003603646,0.0162,1
FAM160A1,-+-,------,NA,0.9834932263417123,3.093557482435388e-5,-,6.19e-5,4.20851181413272,0.001171402,0.0166,1
GCDH,+--,------,+-+-,0.9662596191690926,3.1722309732289166e-5,-,6.34e-5,4.1976052031346995,1.25616e-4,0.0171,1
CCDC184,-+-,------,NA,0.9943964533464095,3.176172827473621e-5,-,6.35e-5,4.1970658783467085,0.0023082965632401703,0.0171,1
MAN1A1,-+-,-+----,----,0.997580648188507,3.2257493040860214e-5,-,6.45e-5,4.190339392083673,9.38764e-4,0.0174,1
VPS35,+++,++++-+,-+-+,3.239373127647662e-5,0.6882875525569367,+,6.48e-5,4.188509029173836,1.95494e-4,0.0174,1
APOBEC3G,++-,++++++,NA,3.2572600442966106e-5,0.6910239303002578,+,6.51e-5,4.186117572361622,0.005256815,0.0175,1
