gene_symbol,RamakerDir,LabonteDir,DingDir,meta_meta_higher_in_MDD_pvalue,meta_meta_lower_in_MDD_pvalue,meta_direction,meta_p,minp,Corrected_p,Bonferroni_Correction
QARS,+++-,++++++++,++-+--,0.1824682554043773,0.7770548556683703,+,0.3649365108087546,0.05072829506633563,98.16792140755499,1
MAATS1,----,+++-+---,NA,0.1825343920595538,0.8634596194012238,+,0.3650687841191076,0.012703049,98.20350292803994,1
VCAM1,----,++++++-+,NA,0.18254289824956066,0.7799819389788925,+,0.3650857964991213,0.077038442,98.20807925826364,1
KRR1,-+-+,++-+----,++-+++,0.1826226076359056,0.8472920893317359,+,0.3652452152718112,0.047341386,98.25096290811722,1
RYBP,-+--,---+----,+-++-+,0.18268480987858676,0.4712204262037444,+,0.3653696197571735,0.017295131,98.28442771467968,1
GGTLC1,++++,NA,NA,0.18272783551730012,0.6991244807407315,+,0.36545567103460025,0.05999777795708717,98.30757550830747,1
KISS1,--+-,NA,NA,0.8027415812468257,0.18282438622667974,-,0.36564877245335947,0.046284965159014896,98.3595197899537,1
HTRA2,+-+-,+++-++++,++-+-+,0.47695529124210373,0.18282588221187737,-,0.36565176442375474,0.014724441,98.36032462999003,1
PSMG2,+++-,-++++-+-,-+-+-+,0.18283199050962262,0.9726623452081562,+,0.36566398101924524,0.016798913,98.36361089417697,1
SCN10A,-++-,NA,NA,0.6941586370445616,0.18284603497056237,-,0.36569206994112474,0.09349041463076965,98.37116681416255,1
CPXM1,++++,NA,NA,0.18292750065725621,0.3335310500359684,+,0.36585500131451243,0.08274500838710507,98.41499535360384,1
KIAA1024L,----,NA,NA,0.7905914487105434,0.1829420917967632,-,0.3658841835935264,0.1012989151636939,98.42284538665861,1
WASF1,+++-,---++++-,-+--++,0.1829735208953724,0.8835432930599467,+,0.3659470417907448,0.07012905686169504,98.43975424171035,1
CD58,++++,-+++++--,NA,0.18300577112572844,0.5167969200004284,+,0.3660115422514569,0.018557955,98.4571048656419,1
ZNF71,----,----+---,-+---+,0.6538652279591954,0.1831476387754743,-,0.3662952775509486,0.105979869,98.53342966120518,1
ALPK3,+++-,--+-+--+,NA,0.41472858186954137,0.18315263184838274,-,0.36630526369676547,0.007943898,98.53611593442992,1
TEX101,--+-,NA,NA,0.7889774600398716,0.1831568611266399,-,0.3663137222532798,0.11432947389655988,98.53839128613227,1
POC5,+-++,+++-++--,--+++-,0.18320171398232396,0.598521799042085,+,0.3664034279646479,0.025714657114981578,98.5625221224903,1
