gene_symbol,RamakerDir,LabonteDir,DingDir,meta_meta_higher_in_MDD_genome_percentile_rank,meta_meta_lower_in_MDD_genome_percentile_rank,meta_direction,meta_empirical_p,minp,Corrected_meta_empirical_p,Bonferroni_meta_empirical_p
TP53I11,-+,--++,+-,0.432983274273806,0.09018105954368798,-,0.18,0.042009176,48.5,1
RAX,-+,NA,NA,0.8336185261236596,0.09023499885922884,-,0.18,0.06969520149742972,48.5,1
SFT2D2,++,-+--,NA,0.09025880162970616,0.7019596598088336,+,0.181,0.021422338,48.6,1
LPAR3,+-,++--,NA,0.0902916337456175,0.9817066455238338,+,0.181,0.0740351247464995,48.6,1
ITIH1,-+,NA,NA,0.9113620807665982,0.0902920374172941,-,0.181,0.10265771150068492,48.6,1
PLSCR4,+-,++--,++,0.09032815789751812,0.9641957468027307,+,0.181,0.03656339,48.6,1
DYSF,-+,+-++,+-,0.09035300390707936,0.1546273633956218,+,0.181,0.002199157,48.6,1
CERS6,+-,-+--,+-,0.09035720209035801,0.9653828384835029,+,0.181,0.07238121105931145,48.6,1
PGF,-+,+-+-,+-,0.7690429062187841,0.09040191548816355,-,0.181,0.013954444113213851,48.6,1
MIF,++,+-+-,-+,0.6116282238552906,0.09040464752703593,-,0.181,0.005328933,48.6,1
HOXB13,-+,NA,NA,0.952715035363906,0.09040611453342459,-,0.181,0.17280372139319283,48.6,1
MSH2,+-,-++-,-+,0.09044711441729274,0.8224309668568945,+,0.181,0.02240769267194678,48.7,1
IDO2,-+,NA,NA,0.8932808578599133,0.09046315309148985,-,0.181,0.09177215917212979,48.7,1
SEMA3G,-+,+-++,++,0.8884926237107353,0.09046934499324477,-,0.181,0.029786069,48.7,1
XIRP2,++,NA,NA,0.0905201916495551,0.5828770248688113,+,0.181,0.03397513394892221,48.7,1
HTR1B,+-,--++,NA,0.2526392087802319,0.09055936336804374,-,0.181,0.033387495,48.7,1
RPL26,++,+-++,NA,0.8958066636892583,0.09056127614310035,-,0.181,0.03541777660788014,48.7,1
SARAF,+-,-+--,--,0.09056862873576861,0.49614256580234156,+,0.181,0.017855243,48.7,1
GPR75-ASB3,+-,++++,-+,0.814517953957996,0.09057776046737796,-,0.181,0.008894101,48.7,1
NAGLU,-+,++++,NA,0.9346019178552327,0.09058555897700488,-,0.181,0.153840964,48.7,1
SLC9A9,--,++-+,++,0.09064341909130522,0.8814239768132814,+,0.181,0.022638133,48.8,1
UBALD2,++,+-++,+-,0.09068276606652512,0.4443267923698146,+,0.181,0.004905431,48.8,1
TATDN2,+-,--+-,+-,0.09073925982036221,0.8730081506139402,+,0.181,0.015710393,48.8,1
FAF1,+-,--++,+-,0.09078226568852352,0.7288228839447598,+,0.182,0.016457022,48.8,1
POLN,-+,--++,++,0.9847769288258068,0.09079455522431644,-,0.182,0.16236863549692346,48.8,1
B3GNT5,++,-+--,NA,0.09084554111738674,0.9237700534464612,+,0.182,0.091512224,48.9,1
SEC61A2,--,++--,-+,0.17875260657867847,0.09086138909238516,-,0.182,0.002315262,48.9,1
OR9A2,++,+++-,NA,0.09087510045889291,0.8568894454839512,+,0.182,0.091254874,48.9,1
MYO1E,-+,+++-,++,0.09087856678990391,0.5537675599983777,+,0.182,0.002695037,48.9,1
DHX40,+-,+++-,+-,0.09088639129122585,0.9820865216688074,+,0.182,0.048533333,48.9,1
