gene_symbol,RamakerDir,LabonteDir,DingDir,meta_meta_higher_in_MDD_pvalue,meta_meta_lower_in_MDD_pvalue,meta_direction,meta_p,signed_log_p,minp,Corrected_p,Bonferroni_meta_p
CEACAM4,++,NA,NA,0.0017501604456524778,0.9982498395543475,+,0.0035,2.4558921399540456,0.0035003208913049555,0.942,1
MOBP,-+,++++,+-,0.0017544578628339424,0.8857800279938842,+,0.00351,2.4548270621969372,4.18914e-4,0.944,1
PTPRR,+-,---+,--,0.9758437426610189,0.001763114247622547,-,0.00353,2.4526895493796097,0.002051311,0.949,1
KRT32,++,NA,NA,0.0017671509053618036,0.9982328490946383,+,0.00353,2.451696366788752,0.0035343018107236073,0.951,1
CDH10,--,---+,--,0.9756998222104187,0.00177226745302911,-,0.00354,2.450440742422734,0.041263951,0.953,1
PCBP4,-+,+-++,++,0.0017776063575708236,0.8853556896912419,+,0.00356,2.4491344094915952,1.92978e-4,0.956,1
VAMP5,-+,-+++,++,0.0017901893446597196,0.9995059712494792,+,0.00358,2.446071036489075,0.012201133533670338,0.963,1
TROVE2,-+,++--,++,0.0018043421611187796,0.7414995601691008,+,0.00361,2.442651107163699,3.95693e-4,0.971,1
FBXO21,+-,-+--,--,0.9797779927007125,0.0018078633420546923,-,0.00362,2.441804405649467,0.015673166,0.973,1
ZNF385D,-+,+--+,--,0.9153983774095406,0.0018133347837884853,-,0.00363,2.4404920119727125,6.28933e-4,0.976,1
ITFG1,+-,-++-,--,0.9852277051468388,0.0018139115759830912,-,0.00363,2.4403538919529577,0.005061236,0.976,1
KIAA0586,--,----,--,0.9876248063010977,0.0018196982910878175,-,0.00364,2.4389706171078873,0.001547472,0.979,1
TJP1,--,++++,++,0.0018270773881930412,0.7172300919296832,+,0.00365,2.4372130614972134,4.99625e-4,0.983,1
TTC17,-+,+++-,+-,0.001827235402442625,0.843839377733417,+,0.00365,2.4371755032909896,0.001094944,0.983,1
MDH2,+-,-+--,-+,0.8711086283210436,0.0018305573697809223,-,0.00366,2.436386660089322,6.34e-5,0.985,1
PRMT5,--,----,--,0.9972714610776481,0.001838209179029003,-,0.00368,2.434575073929583,0.003804775,0.989,1
THPO,++,NA,NA,0.0018495156350653433,0.9981504843649346,+,0.0037,2.4319119973172625,0.0036990312701306867,0.995,1
DAAM2,-+,++++,+-,0.0018675336765116679,0.7916067400517541,+,0.00374,2.42770156231374,2.27341e-4,1,1
CREB3L2,+-,++++,++,0.001870023145323015,0.8741247404797126,+,0.00374,2.4271230224926423,0.007079869,1.01,1
HEG1,-+,+-++,++,0.0018747420752652122,0.9621556537117528,+,0.00375,2.4260284778691745,0.024998127,1.01,1
CARD14,--,+++-,NA,0.0018747630869386542,0.7147721456764747,+,0.00375,2.426023610424839,0.001777061,1.01,1
WRNIP1,+-,-++-,--,0.9967931342378784,0.0018780378014061347,-,0.00376,2.4252656747782004,0.005051873,1.01,1
DDX55,-+,++++,-+,0.0019042499814879092,0.8511879654723639,+,0.00381,2.419246044292573,1.07752e-4,1.02,1
CD1D,++,NA,NA,0.0019137571962143211,0.9980862428037857,+,0.00383,2.417083167568803,0.0038275143924286423,1.03,1
CHGA,-+,---+,--,0.5854028720415382,0.0019178678454351687,-,0.00384,2.416151326410469,6.68914e-4,1.03,1
TESK2,-+,++++,++,0.0019531618091180583,0.8827289726304888,+,0.00391,2.4082317805585847,0.017225094,1.05,1
GBP3,-+,++++,NA,0.0019653110486133143,0.8628327095890669,+,0.00393,2.405538708654723,0.002975392,1.06,1
VPS41,+-,-+--,--,0.9788530258384003,0.0019671438180252927,-,0.00393,2.405133891955308,0.002224813,1.06,1
ARFGAP1,-+,+-++,++,0.001977539617057005,0.8321134403356876,+,0.00396,2.4028448116368977,2.66386e-4,1.06,1
CYTH4,++,++++,NA,0.001981038895171744,0.9950069699877836,+,0.00396,2.402077001895587,0.002469272,1.07,1
DST,+-,++++,++,0.0019927795372564347,0.9844849576832395,+,0.00399,2.399510749312909,0.004101079,1.07,1
SCG2,+-,-++-,--,0.9833023678734888,0.001996263716461353,-,0.00399,2.39875209111283,0.001567978,1.07,1
STAMBPL1,--,---+,--,0.9720502758817944,0.0020289672732826704,-,0.00406,2.391694962303842,0.008321161,1.09,1
CFB,++,NA,++,0.0020389897847549175,0.9956042542304252,+,0.00408,2.3895549543478167,0.003633052,1.1,1
LRRC8C,--,----,+-,0.8423865122789762,0.0020489615153450654,-,0.0041,2.3874362030018017,0.021012177,1.1,1
DNAJB5,--,----,+-,0.8385956703753148,0.0020601980011195663,-,0.00412,2.385061042869141,0.00549376,1.11,1
TRIM32,+-,-+--,--,0.9994634589920929,0.002073949489573774,-,0.00415,2.3821718292678153,0.009985955,1.12,1
GLTSCR2,-+,+-++,++,0.0020939841276999193,0.9584976176014381,+,0.00419,2.377996618912233,0.008854682,1.13,1
PACSIN1,+-,--++,--,0.9344103847496876,0.002096748900708789,-,0.00419,2.3774235803399675,0.001010955,1.13,1
LRRC4,+-,---+,--,0.9866509921962621,0.0021202253790862627,-,0.00424,2.3725879756285098,0.00586899,1.14,1
HK2,++,++--,NA,0.0021243929858711422,0.8432521525139216,+,0.00425,2.3717351455008413,0.001113167,1.14,1
KLRC4,--,NA,NA,0.9978660809389863,0.002133919061013702,-,0.00427,2.3697920616101507,0.004267838122027404,1.15,1
NR4A3,--,----,NA,0.9992621590467826,0.002153148357310047,-,0.00431,2.3658960495049457,0.07586837464916117,1.16,1
GFAP,++,+++-,+-,0.002176417057141688,0.9129967258579158,+,0.00435,2.3612278834109723,0.004480618,1.17,1
GANC,-+,++++,NA,0.0021928759470638596,0.7234043478807254,+,0.00439,2.357955940387403,5.87023e-4,1.18,1
TRAF2,-+,++++,+-,0.0022010169327868097,0.9485051633231544,+,0.0044,2.3563466206706365,9.93071e-4,1.18,1
MAP2K2,-+,+-++,++,0.002204498930223127,0.9074333182072349,+,0.00441,2.3556601119236458,8.40356e-4,1.19,1
LONRF2,+-,-+--,-+,0.9683676961419879,0.002204544059128875,-,0.00441,2.355651221452499,0.00102603,1.19,1
TIE1,-+,++++,NA,0.0022304459256178577,0.9987253742982586,+,0.00446,2.350578305559301,0.035353828,1.2,1
CORO7,++,+-+-,++,0.002246002333117835,0.8277753003804538,+,0.00449,2.3475598012709202,9.32e-5,1.21,1
ITPKB,++,++++,+-,0.002267252298421749,0.9626580975771255,+,0.00453,2.3434701535012565,0.005158146,1.22,1
NAALADL1,-+,NA,NA,0.002270198186141599,0.9977298018138584,+,0.00454,2.342906231992847,0.004540396372283198,1.22,1
AGPAT2,++,--++,++,0.0022777575195797677,0.9745693420234232,+,0.00456,2.341462515283716,0.010265351,1.23,1
STARD3NL,--,-++-,--,0.894309185100535,0.002284890386157488,-,0.00457,2.340104633990895,0.001550281,1.23,1
ALS2CL,-+,++++,NA,0.002290121000805373,0.9998066801363357,+,0.00458,2.339111575011943,0.03470710829758598,1.23,1
HSD17B1,++,+++-,NA,0.0023099490055755135,0.8059657557545608,+,0.00462,2.335367611821197,5.59702e-4,1.24,1
WBP2NL,-+,++++,NA,0.002318991777676653,0.9999196992237681,+,0.00464,2.3336707955496867,0.022029214132556076,1.25,1
