gene_symbol,RamakerDir,LabonteDir,DingDir,meta_meta_higher_in_MDD_pvalue,meta_meta_lower_in_MDD_pvalue,meta_direction,meta_p,minp,Corrected_p,Bonferroni_meta_p
GOLIM4,-++-+-,+++-++------,NA,0.801132353410079,0.4255416934491231,-,0.851,0.078724999,229,1
MANSC4,+++++-,NA,NA,0.6823308490352269,0.4257175469197858,-,0.851,0.2820247634444875,229,1
TMEM105,+---+-,NA,NA,0.42572979648247233,0.7129172222058184,+,0.851,0.3078911062318634,229,1
SLC36A2,+---++,NA,NA,0.425799484410628,0.69386781513605,+,0.852,0.291305238961183,229,1
INTS5,++++--,---+++-+-+++,-++-----,0.9111123913992387,0.4259023969221158,-,0.852,0.1047,229,1
GTPBP10,--+---,++++-++++++-,NA,0.4260050098983293,0.6134362350825275,+,0.852,0.089218399,229,1
BLK,+---+-,NA,NA,0.48853707979385735,0.4261391689889027,-,0.852,0.2682551016425677,229,1
LYPD6B,++-+-+,NA,NA,0.4262093525804041,0.647193017611786,+,0.852,0.30191348439738414,229,1
PTH,+++--+,NA,NA,0.42624081866977415,0.6343428102834103,+,0.852,0.30936514396723386,229,1
C20orf203,NA,------++++++,NA,0.426278886949127,0.5994532315535954,+,0.853,0.141540521,229,1
CD5L,+-++--,NA,NA,0.42654746402556476,0.8223874964048502,+,0.853,0.6026491233113644,229,1
RWDD4,++++-+,+-+-++------,-+-++---,0.8242319339219017,0.42657011731296585,-,0.853,0.060627162,229,1
VAPB,++++-+,---+-----+-+,--+++-++,0.4267371586240844,0.5312869336129667,+,0.853,0.05552088,230,1
UBE2F,+--++-,-++--+++-+--,++--+--+,0.4268048014618601,0.6070048042293846,+,0.854,0.053424064,230,1
ABTB1,+--++-,-+----+-++++,-++++-+-,0.42689487278814714,0.48177549878809456,+,0.854,0.014815747,230,1
RBMS2,--+++-,----+-++--++,NA,0.4270843850303351,0.6678626334021408,+,0.854,0.132948445,230,1
WDR36,++++-+,++++-++-----,---+-+-+,0.42709676520152023,0.7181749334508742,+,0.854,0.00281002,230,1
MIER1,-++-+-,++++++----+-,NA,0.4272081193611501,0.49343845480793486,+,0.854,0.024035521,230,1
CRIP3,----++,+-+-+-++-+++,NA,0.427317815162359,0.8271150250591254,+,0.855,0.018141322,230,1
