structure_name,genome_tissue_count,sample_tissue_count,expected_tissue_count,hypergeometric_p,corrected_hypergeometric_p,enclosing_regions,region_location
Crus I paravermis,12,NA,0.15410417365470314,NA,NA,Crus I paravermis <  crus I  <  Posterior Lobe  <  cerebellar hemispheres  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter,Crus I paravermis <  crus I  <  Posterior Lobe  <  cerebellar hemispheres  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter
Crus II lateral hemisphere,99,NA,1.271359432651301,NA,NA,Crus II lateral hemisphere <  crus II  <  Posterior Lobe  <  cerebellar hemispheres  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter,Crus II lateral hemisphere <  crus II  <  Posterior Lobe  <  cerebellar hemispheres  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter
Crus II paravermis,91,NA,1.168623316881499,NA,NA,Crus II paravermis <  crus II  <  Posterior Lobe  <  cerebellar hemispheres  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter,Crus II paravermis <  crus II  <  Posterior Lobe  <  cerebellar hemispheres  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter
cuneiform nucleus,42,NA,0.539364607791461,NA,NA,cuneiform nucleus <  midbrain reticular formation  <  midbrain tegmentum  <  mesencephalon  < gray matter,cuneiform nucleus <  midbrain reticular formation  <  midbrain tegmentum  <  mesencephalon  < gray matter
cuneus peristriate,10,NA,0.12842014471225263,NA,NA,cuneus peristriate <  cuneus  <  occipital lobe  <  cerebral cortex  <  telencephalon  < gray matter,cuneus peristriate <  cuneus  <  occipital lobe  <  cerebral cortex  <  telencephalon  < gray matter
dorsomedial hypothalamic nucleus,21,NA,0.2696823038957305,NA,NA,dorsomedial hypothalamic nucleus <  tuberal region  <  hypothalamus  <  diencephalon  < gray matter,dorsomedial hypothalamic nucleus <  tuberal region  <  hypothalamus  <  diencephalon  < gray matter
facial motor nucleus,168,NA,2.157458431165844,NA,NA,facial motor nucleus <  pontine tegmentum  <  pons  <  metencephalon  < gray matter,facial motor nucleus <  pontine tegmentum  <  pons  <  metencephalon  < gray matter
frontal operculum,3,NA,0.038526043413675784,NA,NA,frontal operculum <  frontal lobe  <  cerebral cortex  <  telencephalon  < gray matter,frontal operculum <  frontal lobe  <  cerebral cortex  <  telencephalon  < gray matter
fusiform gyrus bank of the its,2,NA,0.025684028942450525,NA,NA,fusiform gyrus bank of the its <  fusiform gyrus  <  temporal lobe  <  cerebral cortex  <  telencephalon  < gray matter,fusiform gyrus bank of the its <  fusiform gyrus  <  temporal lobe  <  cerebral cortex  <  telencephalon  < gray matter
gigantocellular group,13,NA,0.1669461881259284,NA,NA,gigantocellular group <  medullary reticular formation  <  myelencephalon  < gray matter,gigantocellular group <  medullary reticular formation  <  myelencephalon  < gray matter
gyrus rectus,4,NA,0.05136805788490105,NA,NA,gyrus rectus <  frontal lobe  <  cerebral cortex  <  telencephalon  < gray matter,gyrus rectus <  frontal lobe  <  cerebral cortex  <  telencephalon  < gray matter
head of caudate nucleus,63,NA,0.8090469116871916,NA,NA,head of caudate nucleus <  head of the caudate nucleus  <  caudate nucleus  <  striatum  <  basal ganglia  <  cerebral nuclei  <  telencephalon  < gray matter,head of caudate nucleus <  head of the caudate nucleus  <  caudate nucleus  <  striatum  <  basal ganglia  <  cerebral nuclei  <  telencephalon  < gray matter
Heschl's gyrus,7,NA,0.08989410129857683,NA,NA,Heschl's gyrus <  temporal lobe  <  cerebral cortex  <  telencephalon  < gray matter,Heschl's gyrus <  temporal lobe  <  cerebral cortex  <  telencephalon  < gray matter
