gene_symbol,mouseGene,cns_cell_type_taxon,cell_type_taxon
TMX2,Tmx2,Cholinergic and monoaminergic neurons,Sympathetic noradrenergic neurons
MED19,Med19,Ependymal cells,Sympathetic cholinergic neurons
ZNF638,Zfml,NA,NA
CDH22,Cdh22,Cholinergic and monoaminergic neurons,Cholinergic and monoaminergic neurons
GRIK5,Grik5,Telencephalon projecting excitatory neurons,Telencephalon projecting excitatory neurons
HARS,Hars,Cholinergic and monoaminergic neurons,Sympathetic noradrenergic neurons
EP300,Ep300,Cholinergic and monoaminergic neurons,Enteric neurons
HLA-DQB1,H2-Ab1,Oligodendrocytes,Oligodendrocytes
PCNP,Pcnp,Cholinergic and monoaminergic neurons,Enteric neurons
ZHX3,Zhx3,Cholinergic and monoaminergic neurons,Cholinergic and monoaminergic neurons
BCHE,Bche,Cholinergic and monoaminergic neurons,Enteric neurons
CRB1,Crb1,Cholinergic and monoaminergic neurons,Cholinergic and monoaminergic neurons
MICB,Mill2,Pericytes,Sympathetic noradrenergic neurons
SLC30A9,Slc30a9,Cholinergic and monoaminergic neurons,Cholinergic and monoaminergic neurons
MARK3,Mark3,Hindbrain neurons,Peripheral sensory neurofilament neurons
FHIT,Fhit,Choroid epithelial cells,Choroid epithelial cells
MARCH10,March10,Ependymal cells,Ependymal cells
CDK14,Cdk14,Cholinergic and monoaminergic neurons,Cholinergic and monoaminergic neurons
PLCG1,Plcg1,Cholinergic and monoaminergic neurons,Cholinergic and monoaminergic neurons
AP3B1,Ap3b1,Choroid epithelial cells,Sympathetic noradrenergic neurons
POGZ,Pogz,Cholinergic and monoaminergic neurons,Enteric neurons
TRAF3,Traf3,Hindbrain neurons,Hindbrain neurons
CSMD1,Csmd1,Telencephalon projecting excitatory neurons,Peripheral sensory non-peptidergic neurons
TMEM67,Tmem67,Ependymal cells,Ependymal cells
PCDHA4,Pcdha4,Telencephalon inhibitory interneurons,Enteric neurons
TOPAZ1,Topaz1,Hindbrain neurons,Peripheral sensory non-peptidergic neurons
PMFBP1,Pmfbp1,Cholinergic and monoaminergic neurons,Peripheral sensory neurofilament neurons
CNTN5,Cntn5,Telencephalon projecting inhibitory neurons,Enteric neurons
INPP4B,Inpp4b,Cholinergic and monoaminergic neurons,Cholinergic and monoaminergic neurons
ZNF322,Zfp322a,Cholinergic and monoaminergic neurons,Cholinergic and monoaminergic neurons
ASIC2,Asic2,Cholinergic and monoaminergic neurons,Peripheral sensory non-peptidergic neurons
PLA2R1,Pla2r1,Vascular smooth muscle cells,Vascular smooth muscle cells
CHMP3,Chmp3,Cholinergic and monoaminergic neurons,Sympathetic cholinergic neurons
SOX6,Sox6,Oligodendrocyte precursor cells,Oligodendrocyte precursor cells
PCDHA5,Pcdha5,Telencephalon projecting excitatory neurons,Telencephalon projecting excitatory neurons
FANCL,Fancl,Choroid epithelial cells,Sympathetic noradrenergic neurons
ZNF35,Zfp105,Subcommissural organ hypendymal cells,Sympathetic cholinergic neurons
TMEM42,Tmem42,Telencephalon projecting excitatory neurons,Peripheral sensory non-peptidergic neurons
KIAA1143,1110059G10Rik,Telencephalon projecting excitatory neurons,Sympathetic noradrenergic neurons
C11orf31,2700094K13Rik,Telencephalon inhibitory interneurons,Sympathetic cholinergic neurons
ACVR1B,Acvr1b,Cholinergic and monoaminergic neurons,Cholinergic and monoaminergic neurons
ZNF501,NA,NA,NA
RFTN2,Rftn2,Enteric glia,Enteric glia
TMEM258,Tmem258,Oligodendrocytes,Sympathetic noradrenergic neurons
TAL1,Tal1,Di- and mesencephalon inhibitory neurons,Di- and mesencephalon inhibitory neurons
